WORD,FREQUENCY_RANKING
の,1
は,2
に,3
が,4
を,5
と,6
で,7
も,8
です,9
だ,10
よ,11
か,12
から,13
する,14
さん,15
ね,16
な,17
って,18
私,19
んだ,20
ある,21
はい,22
んです,23
ん,24
言う,25
これ,26
なる,27
それ,28
こと,29
いい,30
そう,31
この,32
でも,33
思う,34
もう,35
じゃない,36
ですか,37
けど,38
お,39
いる,40
その,41
何,42
俺,43
ない,44
やる,45
には,46
うん,47
どう,48
ちょっと,49
来る,50
そんな,51
し,52
行く,53
だから,54
ここ,55
だけ,56
だった,57
人,58
今,59
見る,60
あの,61
いや,62
や,63
ああ,64
いう,65
なん,66
お前,67
まで,68
あなた,69
あっ,70
聞く,71
待つ,72
えっ,73
できる,74
あ,75
とか,76
何か,77
知る,78
大丈夫,79
前,80
なら,81
だって,82
では,83
なんて,84
出る,85
こんな,86
自分,87
今日,88
じゃ,89
ため,90
じゃあ,91
まだ,92
のに,93
また,94
もの,95
あれ,96
という,97
違う,98
話,99
どこ,100
行う,101
よね,102
へ,103
かな,104
みたい,105
とは,106
だろう,107
帰る,108
え,109
うち,110
よい,111
して,112
なんだ,113
早い,114
ちゃん,115
会う,116
みんな,117
だろ,118
考える,119
やめる,120
ぞ,121
さ,122
誰,123
入る,124
好き,125
僕,126
わ,127
おい,128
一緒,129
すごい,130
として,131
ありがとう,132
あと,133
食べる,134
仕事,135
中,136
より,137
持つ,138
悪い,139
どうぞ,140
そこ,141
ので,142
ずっと,143
こっち,144
作る,145
ように,146
ような,147
でしょう,148
家,149
話す,150
ほら,151
本当,152
男,153
ごめん,154
よく,155
方,156
やっぱり,157
ええ,158
年,159
しか,160
ご,161
同じ,162
よし,163
戻る,164
ただ,165
どうして,166
なの,167
もっと,168
ちゃんと,169
ありがとうございます,170
出す,171
君,172
顔,173
どんな,174
使う,175
どういう,176
いつも,177
時間,178
もん,179
ところ,180
分かる,181
少し,182
かも,183
こう,184
頼む,185
見える,186
終わる,187
先生,188
だけど,189
お願いします,190
次,191
教える,192
まあ,193
ほしい,194
全部,195
子,196
日,197
絶対,198
２人,199
つもり,200
忘れる,201
死ぬ,202
頑張る,203
こちら,204
無理,205
らしい,206
いく,207
ねえ,208
心配,209
だったら,210
誰か,211
目,212
まま,213
入れる,214
そして,215
あんた,216
人間,217
生きる,218
大変,219
怖い,220
よう,221
気持ち,222
本当に,223
取る,224
なんで,225
いつ,226
書く,227
かもしれない,228
あんな,229
たち,230
初めて,231
買う,232
わけ,233
飲む,234
今度,235
最後,236
全然,237
呼ぶ,238
くる,239
女,240
いける,241
手,242
かける,243
うまい,244
すぐ,245
やつ,246
大事,247
覚える,248
さっき,249
名前,250
まさか,251
決める,252
ごめんなさい,253
必要,254
はっ,255
場所,256
見せる,257
もちろん,258
なのに,259
きっと,260
信じる,261
もし,262
彼女,263
一度,264
昔,265
ほど,266
相手,267
さあ,268
とこ,269
声,270
変わる,271
実は,272
言える,273
どうした,274
彼,275
あー,276
意味,277
楽しい,278
気,279
助ける,280
許す,281
逃げる,282
こういう,283
嫌,284
確か,285
最初,286
心,287
くらい,288
おいしい,289
始める,290
元気,291
うーん,292
あいつ,293
続ける,294
守る,295
新しい,296
ではない,297
である,298
上,299
感じ,300
こそ,301
すみません,302
そういう,303
もらう,304
ありがとうございました,305
そうか,306
えー,307
見つける,308
結構,309
強い,310
決まる,311
昨日,312
伝える,313
最近,314
連絡,315
でしょうか,316
幸せ,317
寝る,318
せい,319
送る,320
起きる,321
なくなる,322
はず,323
願う,324
かわいい,325
別に,326
どうしたの,327
遅い,328
何も,329
皆さん,330
問題,331
にとって,332
急に,333
ください,334
痛い,335
失礼します,336
家族,337
お母さん,338
普通,339
人生,340
変,341
おかしい,342
部屋,343
関係,344
ぐらい,345
夢,346
受ける,347
以上,348
何で,349
言葉,350
すぐに,351
多い,352
とにかく,353
いやいや,354
困る,355
つける,356
明日,357
置く,358
お願い,359
今まで,360
働く,361
１人,362
べき,363
一番,364
頭,365
間,366
気になる,367
理由,368
しかし,369
今回,370
失礼,371
確かに,372
必ず,373
一緒に,374
探す,375
お父さん,376
電話,377
笑う,378
ことになる,379
夜,380
時,381
そうです,382
それだけ,383
怒る,384
誰も,385
かかる,386
私たち,387
なるほど,388
先,389
動く,390
あの人,391
なあ,392
そろそろ,393
世界,394
よろしく,395
結婚,396
友達,397
体,398
う,399
約束,400
黙る,401
なぜ,402
ことがある,403
について,404
泣く,405
連れる,406
しっかり,407
感じる,408
先に,409
たくさん,410
思い出す,411
残る,412
優しい,413
ばかり,414
別,415
欲しい,416
返す,417
落ち着く,418
すいません,419
お金,420
力,421
そっち,422
選ぶ,423
高い,424
外,425
簡単,426
捨てる,427
もしかして,428
見つかる,429
店,430
忙しい,431
もしもし,432
ねー,433
フッ,434
始まる,435
座る,436
よろしくお願いします,437
乗る,438
毎日,439
変える,440
勝手に,441
どっち,442
ひどい,443
結局,444
ちょ,445
ようになる,446
いらっしゃる,447
など,448
朝,449
一人,450
歳,451
いいよ,452
せっかく,453
さすが,454
渡す,455
はあ,456
開ける,457
女性,458
近く,459
まず,460
読む,461
調べる,462
会社,463
続く,464
長い,465
聞こえる,466
おお,467
おう,468
難しい,469
落ちる,470
若い,471
ただいま,472
任せる,473
そっか,474
わよ,475
何の,476
来てる,477
写真,478
親,479
にして,480
やっと,481
ふん,482
この人,483
謝る,484
わけない,485
いつか,486
娘,487
おっ,488
安心,489
なかなか,490
こいつ,491
あそこ,492
いただきます,493
うわっ,494
以外,495
ばっかり,496
離れる,497
あの子,498
終わり,499
似る,500
つまり,501
それでも,502
者,503
お疲れさま,504
隠す,505
しかも,506
ゆっくり,507
手伝う,508
正直,509
喜ぶ,510
危ない,511
うるさい,512
上がる,513
確認,514
認める,515
いっぱい,516
思い,517
うれしい,518
殺す,519
場合,520
諦める,521
いただく,522
準備,523
大きな,524
くれる,525
歩く,526
バカ,527
分,528
そりゃ,529
生まれる,530
て,531
いろいろ,532
大きい,533
じゃん,534
負ける,535
嫌い,536
こんにちは,537
どうしても,538
止める,539
俺たち,540
助かる,541
だが,542
気がする,543
住む,544
なー,545
ところで,546
口,547
邪魔,548
関係ない,549
いくら,550
切る,551
最高,552
いたす,553
つらい,554
道,555
かどうか,556
相談,557
後,558
向かう,559
本気,560
件,561
そしたら,562
消える,563
大好き,564
所,565
思える,566
わけじゃない,567
それも,568
着る,569
大切,570
突然,571
それで,572
おはようございます,573
どうせ,574
ううん,575
下,576
説明,577
食う,578
そうですね,579
面白い,580
行ける,581
わざわざ,582
ほう,583
姿,584
結果,585
向こう,586
しばらく,587
これ以上,588
用意,589
まずは,590
そういえば,591
どこか,592
１つ,593
じゃねえ,594
子供,595
だよね,596
あら,597
久しぶり,598
愛する,599
とき,600
立つ,601
辞める,602
十分,603
よいしょ,604
知らない,605
とても,606
あんまり,607
やっぱ,608
金,609
残す,610
でもない,611
おはよう,612
３人,613
そうそう,614
自分で,615
おる,616
取れる,617
そうする,618
おかげで,619
元,620
日本,621
出会う,622
休む,623
なので,624
うっ,625
マジ,626
ございます,627
いいから,628
特に,629
くせに,630
息子,631
状況,632
はぁ,633
いやー,634
円,635
ハハハ,636
音,637
えっと,638
っていう,639
疲れる,640
ことができる,641
合う,642
紹介,643
どうしよう,644
貸す,645
そのまま,646
起こす,647
他,648
つく,649
なれる,650
あっち,651
病院,652
命,653
撮る,654
何度,655
学校,656
父親,657
いいえ,658
母,659
借りる,660
持ってくる,661
答える,662
暮らす,663
一生,664
恥ずかしい,665
でもある,666
足,667
お話,668
申す,669
遊ぶ,670
迷惑,671
父,672
たって,673
驚く,674
待たせる,675
払う,676
一つ,677
断る,678
きれい,679
あげる,680
用,681
てる,682
当たり前,683
残念,684
っけ,685
頑張って,686
母親,687
本,688
生活,689
余計,690
うわー,691
別れる,692
可能性,693
どうも,694
もうすぐ,695
何だ,696
車,697
勝手,698
仲間,699
警察,700
走る,701
とる,702
感謝,703
勝つ,704
捜す,705
かい,706
様,707
売る,708
知り合い,709
亡くなる,710
時代,711
当たる,712
なさる,713
とする,714
存在,715
いきなり,716
勉強,717
過ぎる,718
済む,719
大学,720
ー,721
間違う,722
たまに,723
なし,724
フフ,725
全て,726
冗談,727
かなり,728
急ぐ,729
ために,730
周り,731
楽しむ,732
やがる,733
珍しい,734
近い,735
様子,736
届く,737
当然,738
責任,739
ダメ,740
いらっしゃいませ,741
しゃべる,742
一,743
頃,744
事件,745
いなくなる,746
全員,747
代わり,748
誰にも,749
人たち,750
うわ,751
失う,752
どれ,753
特別,754
気にする,755
呼ばれる,756
今夜,757
ようです,758
わあ,759
どんどん,760
そもそも,761
情報,762
水,763
変わった,764
進む,765
そば,766
そうだね,767
申し訳ありません,768
止まる,769
申し訳ない,770
引,771
もういい,772
先輩,773
甘い,774
ありがと,775
うまくいく,776
お前ら,777
見られる,778
足りる,779
誘う,780
一応,781
期待,782
お店,783
やだ,784
いろんな,785
へえ,786
覚悟,787
無事,788
詳しい,789
意外,790
おいおい,791
お世話になる,792
なんです,793
おめでとう,794
失敗,795
絶対に,796
報告,797
例えば,798
求める,799
回る,800
っす,801
気分,802
厳しい,803
よろしい,804
ちょうど,805
何て,806
一体,807
方法,808
いかが,809
あああ,810
すむ,811
女の子,812
すぎる,813
お互い,814
触る,815
２つ,816
おかげ,817
完全,818
しれる,819
はずだ,820
自信,821
予定,822
集まる,823
本人,824
東京,825
証拠,826
途中,827
上げる,828
奥さん,829
増える,830
現れる,831
ぜ,832
こうする,833
さえ,834
料理,835
お待たせしました,836
不安,837
寂しい,838
おっしゃる,839
本日,840
とりあえず,841
はは,842
近づく,843
食事,844
必死,845
楽しみ,846
逆,847
妻,848
今から,849
まるで,850
いただける,851
でよ,852
暇,853
立派,854
考え,855
ことはない,856
あまり,857
状態,858
小さい,859
物,860
ようにする,861
出てくる,862
思われる,863
お疲れ,864
我慢,865
応援,866
後悔,867
事,868
まだまだ,869
気に入る,870
まずい,871
未来,872
今すぐ,873
大人,874
実,875
この間,876
１回,877
その人,878
育てる,879
ことにする,880
じゃないか,881
間違い,882
大,883
自由,884
お客さん,885
通る,886
世の中,887
我々,888
かもしれません,889
落とす,890
ご存じ,891
社長,892
不思議,893
担当,894
形,895
狙う,896
愛,897
間に合う,898
過ごす,899
つながる,900
それより,901
万,902
協力,903
楽,904
どっか,905
過去,906
笑顔,907
似合う,908
１年,909
フフフ,910
起こる,911
救う,912
運ぶ,913
隣,914
奪う,915
わね,916
つい,917
二人,918
消す,919
とおり,920
バレる,921
となる,922
ホント,923
想像,924
使える,925
理解,926
相変わらず,927
開く,928
直接,929
ついて,930
３年,931
間違える,932
現場,933
倒れる,934
離す,935
伺う,936
ママ,937
これまで,938
今後,939
預かる,940
お礼,941
事実,942
ほとんど,943
どちら,944
言い方,945
遅れる,946
興味,947
悩む,948
事情,949
与える,950
慣れる,951
まったく,952
みたいな,953
受け取る,954
ど,955
疑う,956
深い,957
集める,958
弱い,959
それじゃ,960
聞かせる,961
お茶,962
胸,963
じゃあね,964
ふう,965
やはり,966
男性,967
裏,968
味,969
おー,970
勘違い,971
かわいそう,972
目の前,973
どの,974
ほうがいい,975
掛ける,976
本物,977
原因,978
おかえり,979
よかったら,980
苦手,981
偶然,982
になると,983
秘密,984
何もない,985
進める,986
話をする,987
間違いない,988
いえいえ,989
成功,990
もしかしたら,991
高校,992
重い,993
望む,994
さっさと,995
関わる,996
どうか,997
あのね,998
超,999
客,1000
海,1001
ってことは,1002
切れる,1003
平気,1004
目的,1005
３日,1006
希望,1007
危険,1008
納得,1009
しょうがない,1010
病気,1011
追う,1012
そうね,1013
それとも,1014
悲しい,1015
目指す,1016
苦しい,1017
頂く,1018
立場,1019
くん,1020
によって,1021
引く,1022
頼る,1023
番,1024
つかむ,1025
ってのは,1026
なんじゃ,1027
服,1028
前に,1029
帰ってくる,1030
正しい,1031
傷つける,1032
はっきり,1033
外す,1034
張る,1035
判断,1036
ついに,1037
大した,1038
他人,1039
ばっか,1040
苦労,1041
裏切る,1042
瞬間,1043
乾杯,1044
