WORD,FREQUENCY_RANKING
の,1
は,2
に,3
を,4
が,5
と,6
も,7
で,8
だ,9
から,10
か,11
する,12
よ,13
な,14
です,15
こと,16
ある,17
なる,18
ね,19
それ,20
ん,21
その,22
んだ,23
この,24
って,25
言う,26
そう,27
さん,28
でも,29
私,30
ない,31
いい,32
には,33
思う,34
これ,35
だった,36
いる,37
だけ,38
もう,39
し,40
そんな,41
けど,42
あ,43
じゃない,44
まで,45
見る,46
お,47
ここ,48
だから,49
俺,50
だろう,51
やる,52
どう,53
なら,54
今,55
来る,56
はい,57
や,58
ああ,59
あの,60
もの,61
へ,62
できる,63
行く,64
人,65
んです,66
聞く,67
こんな,68
という,69
前,70
では,71
知る,72
なんて,73
いう,74
ちょっと,75
自分,76
また,77
うん,78
何,79
いや,80
まだ,81
ですか,82
待つ,83
出る,84
とは,85
なん,86
だって,87
ぞ,88
ように,89
中,90
わ,91
のに,92
ため,93
して,94
じゃ,95
とか,96
今日,97
ような,98
え,99
より,100
みたい,101
話,102
そこ,103
なんだ,104
あれ,105
大丈夫,106
どこ,107
考える,108
お前,109
行う,110
入る,111
何か,112
として,113
かな,114
持つ,115
違う,116
さ,117
早い,118
みんな,119
あなた,120
帰る,121
悪い,122
顔,123
少し,124
よい,125
たち,126
よく,127
じゃあ,128
ただ,129
しか,130
誰,131
あと,132
ちゃん,133
同じ,134
一緒,135
うち,136
やめる,137
もっと,138
だろ,139
ので,140
あっ,141
こっち,142
本当,143
会う,144
ところ,145
まま,146
見える,147
らしい,148
そして,149
好き,150
ええ,151
手,152
やっぱり,153
よう,154
なの,155
出す,156
使う,157
わけ,158
でしょう,159
目,160
男,161
ずっと,162
だけど,163
よね,164
おい,165
方,166
まあ,167
時間,168
戻る,169
作る,170
いつも,171
えっ,172
ほら,173
分かる,174
もん,175
どんな,176
どうして,177
死ぬ,178
くる,179
すごい,180
話す,181
ありがとう,182
ちゃんと,183
つもり,184
人間,185
である,186
声,187
僕,188
よし,189
かも,190
こう,191
次,192
終わる,193
食べる,194
いく,195
忘れる,196
ほど,197
家,198
教える,199
ご,200
あんた,201
う,202
頼む,203
子,204
きっと,205
年,206
今度,207
なんで,208
ごめん,209
仕事,210
心配,211
上,212
しかし,213
日,214
くらい,215
気持ち,216
見せる,217
君,218
入れる,219
さっき,220
呼ぶ,221
だが,222
生きる,223
誰か,224
相手,225
ねえ,226
かもしれない,227
全部,228
かける,229
絶対,230
どういう,231
取る,232
あんな,233
場所,234
いつ,235
一度,236
こちら,237
ではない,238
最後,239
気,240
まさか,241
だったら,242
逃げる,243
強い,244
本当に,245
必要,246
女,247
あー,248
さあ,249
いける,250
名前,251
言葉,252
初めて,253
無理,254
大変,255
はず,256
彼女,257
こそ,258
続ける,259
はっ,260
すぐ,261
ことになる,262
怖い,263
助ける,264
あいつ,265
頭,266
動く,267
覚える,268
もし,269
世界,270
確か,271
始める,272
時,273
心,274
どうぞ,275
力,276
なあ,277
意味,278
部屋,279
ほしい,280
ばかり,281
など,282
もちろん,283
そうか,284
なのに,285
許す,286
やつ,287
昔,288
買う,289
ことがある,290
信じる,291
決める,292
言える,293
なくなる,294
最初,295
守る,296
変わる,297
先生,298
どうした,299
楽しい,300
とこ,301
間,302
者,303
彼,304
つける,305
せい,306
受ける,307
書く,308
すぐに,309
以上,310
起きる,311
体,312
こいつ,313
飲む,314
感じる,315
寝る,316
フッ,317
変,318
置く,319
おかしい,320
全然,321
先,322
先に,323
問題,324
別に,325
大事,326
ありがとうございます,327
夢,328
笑う,329
こういう,330
誰も,331
決まる,332
多い,333
にとって,334
見つける,335
それだけ,336
一番,337
頑張る,338
感じ,339
うーん,340
元気,341
かかる,342
おお,343
えー,344
そろそろ,345
とにかく,346
聞こえる,347
とき,348
ぜ,349
遅い,350
欲しい,351
残る,352
はあ,353
べき,354
ごめんなさい,355
ほう,356
新しい,357
関係,358
痛い,359
外,360
ください,361
願う,362
昨日,363
実は,364
しっかり,365
もらう,366
姿,367
明日,368
夜,369
うまい,370
困る,371
送る,372
それでも,373
思い出す,374
黙る,375
なるほど,376
高い,377
について,378
何も,379
なぜ,380
今まで,381
普通,382
ダメ,383
理由,384
乗る,385
嫌,386
最近,387
返す,388
長い,389
止める,390
そういう,391
連れる,392
私たち,393
伝える,394
怒る,395
殺す,396
探す,397
向かう,398
約束,399
別,400
落ちる,401
どうしたの,402
口,403
わよ,404
音,405
お願いします,406
必ず,407
でしょうか,408
つまり,409
はぁ,410
大きい,411
ところで,412
簡単,413
歩く,414
一緒に,415
結構,416
ようになる,417
他,418
離れる,419
にして,420
泣く,421
開ける,422
下,423
消える,424
続く,425
お願い,426
急に,427
大きな,428
バカ,429
以外,430
ふん,431
どこか,432
今回,433
気になる,434
始まる,435
とても,436
まず,437
幸せ,438
ゆっくり,439
せっかく,440
立つ,441
て,442
ぐらい,443
そっち,444
かい,445
様,446
安心,447
たくさん,448
勝手に,449
近く,450
場合,451
確かに,452
変える,453
よろしく,454
道,455
いっぱい,456
あそこ,457
優しい,458
負ける,459
結局,460
ひどい,461
任せる,462
一人,463
なー,464
落ち着く,465
おる,466
２人,467
そのまま,468
所,469
いただく,470
危ない,471
読む,472
そりゃ,473
それも,474
なかなか,475
朝,476
見つかる,477
選ぶ,478
足,479
分,480
さすが,481
何で,482
気がする,483
しかも,484
ことができる,485
渡す,486
準備,487
まるで,488
いつか,489
上がる,490
やがる,491
とする,492
終わり,493
やっと,494
存在,495
連絡,496
くれる,497
着る,498
かわいい,499
捨てる,500
似る,501
友達,502
すみません,503
隠す,504
そうする,505
失礼,506
ちょ,507
もしかして,508
いくら,509
俺たち,510
子供,511
本,512
何の,513
走る,514
おう,515
でもない,516
はずだ,517
邪魔,518
どっち,519
用,520
ねー,521
しばらく,522
あら,523
ー,524
面白い,525
家族,526
一,527
後,528
確認,529
助かる,530
思える,531
用意,532
説明,533
あまり,534
喜ぶ,535
座る,536
状況,537
勝つ,538
生まれる,539
うっ,540
うわっ,541
働く,542
十分,543
娘,544
向こう,545
水,546
遊ぶ,547
あの人,548
そういえば,549
難しい,550
手伝う,551
あんまり,552
命,553
どうせ,554
そうです,555
わけじゃない,556
驚く,557
様子,558
じゃねえ,559
止まる,560
とる,561
毎日,562
残す,563
どうしても,564
元,565
いろいろ,566
仲間,567
これ以上,568
さえ,569
うるさい,570
物,571
あの子,572
人生,573
わあ,574
若い,575
認める,576
一体,577
となる,578
まったく,579
いやいや,580
お母さん,581
結果,582
全員,583
調べる,584
本気,585
皆さん,586
女の子,587
それで,588
食う,589
行ける,590
何度,591
嫌い,592
わけない,593
ことはない,594
そっか,595
でもある,596
おかげで,597
答える,598
おいしい,599
特に,600
完全,601
いきなり,602
当然,603
女性,604
ばっかり,605
かどうか,606
おっ,607
大切,608
突然,609
近い,610
諦める,611
住む,612
あげる,613
つく,614
最高,615
正直,616
恥ずかしい,617
お父さん,618
来てる,619
ありがとうございました,620
起こす,621
なので,622
切る,623
やはり,624
進む,625
わざわざ,626
小さい,627
じゃん,628
こうする,629
謝る,630
忙しい,631
胸,632
楽しむ,633
届く,634
過ぎる,635
さて,636
まずは,637
かなり,638
ううん,639
思い,640
店,641
学校,642
無事,643
冗談,644
いらっしゃる,645
とりあえず,646
残念,647
当たる,648
情報,649
事,650
方法,651
休む,652
大好き,653
電話,654
あああ,655
関係ない,656
いたす,657
すぎる,658
おく,659
うわ,660
くせに,661
済む,662
失う,663
この人,664
現れる,665
ど,666
状態,667
親,668
えっと,669
自分で,670
可能性,671
呼ばれる,672
開く,673
なし,674
気分,675
特別,676
どうしよう,677
っけ,678
足りる,679
感謝,680
不思議,681
近づく,682
急ぐ,683
お金,684
腕,685
求める,686
ようにする,687
形,688
途中,689
なれる,690
集まる,691
当たり前,692
愛する,693
疲れる,694
生活,695
頃,696
気にする,697
わね,698
持ってくる,699
知らない,700
出会う,701
そもそも,702
そうそう,703
マジ,704
１人,705
理解,706
回る,707
二人,708
狙う,709
全て,710
期待,711
合う,712
上げる,713
甘い,714
与える,715
深い,716
使える,717
なに,718
借りる,719
見られる,720
珍しい,721
引,722
大,723
貸す,724
なさる,725
相談,726
飛ぶ,727
敵,728
一つ,729
ことにする,730
覚悟,731
後ろ,732
取れる,733
ホント,734
久しぶり,735
周り,736
どれ,737
ただいま,738
だよね,739
へえ,740
いただきます,741
によって,742
意外,743
目的,744
失敗,745
人たち,746
あっち,747
歳,748
出てくる,749
危険,750
ほとんど,751
一応,752
先輩,753
金,754
すむ,755
たまに,756
時代,757
やっぱ,758
落とす,759
写真,760
勝手,761
余計,762
海,763
いいえ,764
起こる,765
服,766
けれど,767
うれしい,768
フフ,769
増える,770
暮らす,771
どんどん,772
ために,773
目の前,774
隣,775
まだまだ,776
勉強,777
それとも,778
考え,779
しれる,780
結婚,781
戦う,782
件,783
不安,784
つい,785
想像,786
逆,787
もうすぐ,788
自由,789
追う,790
瞬間,791
そうですね,792
風,793
断る,794
変わった,795
わかる,796
我々,797
空,798
我慢,799
奥,800
血,801
売る,802
ようです,803
代わり,804
集める,805
誰にも,806
くん,807
相変わらず,808
触る,809
小さな,810
引く,811
奪う,812
未来,813
紹介,814
名,815
気に入る,816
いいよ,817
による,818
間違う,819
そうだね,820
ようだ,821
一生,822
お前ら,823
やってくる,824
予定,825
払う,826
すいません,827
慣れる,828
さっさと,829
たって,830
行動,831
協力,832
おいおい,833
通る,834
んん,835
動き,836
車,837
得る,838
光,839
倒れる,840
弱い,841
詳しい,842
ハハハ,843
報告,844
熱い,845
迷惑,846
いなくなる,847
事件,848
的,849
自信,850
誘う,851
良い,852
運ぶ,853
日本,854
遠い,855
ちょうど,856
何だ,857
記憶,858
お互い,859
軽い,860
重い,861
興味,862
父,863
いいから,864
以前,865
離す,866
気づく,867
それより,868
国,869
そいつ,870
それじゃ,871
ございます,872
失礼します,873
本人,874
みせる,875
身,876
みる,877
本物,878
よろしくお願いします,879
笑顔,880
ら,881
消す,882
決して,883
立派,884
張る,885
眠る,886
むしろ,887
過ごす,888
おはよう,889
これまで,890
ありがと,891
向ける,892
待たせる,893
色,894
楽しみ,895
意識,896
責任,897
ってのは,898
事実,899
今夜,900
実,901
どの,902
なんです,903
きれい,904
合わせる,905
望む,906
直接,907
そしたら,908
どうも,909
なぁ,910
アーッ,911
必死,912
まずい,913
山,914
大人,915
返事,916
やだ,917
気をつける,918
ほうがいい,919
触れる,920
母,921
抜ける,922
知り合い,923
楽,924
絶対に,925
寂しい,926
冷たい,927
愛,928
間違い,929
一瞬,930
空気,931
平気,932
似合う,933
過去,934
どちら,935
程度,936
間に合う,937
料理,938
秘密,939
反応,940
お話,941
美しい,942
自身,943
こんにちは,944
こら,945
食事,946
救う,947
番,948
厳しい,949
受け取る,950
少ない,951
ついに,952
どうやら,953
裏,954
正しい,955
話をする,956
さすがに,957
円,958
暇,959
たとえ,960
切れる,961
彼ら,962
せめて,963
事情,964
はは,965
首,966
側,967
すべて,968
思われる,969
しょうがない,970
すら,971
お礼,972
苦しい,973
素直,974
よろしい,975
答え,976
納得,977
成功,978
ようやく,979
いただける,980
はっきり,981
隠れる,982
実際,983
おかげ,984
他人,985
花,986
利用,987
目指す,988
動かす,989
勝負,990
たった,991
前に,992
味,993
調子,994
遅れる,995
んー,996
原因,997
後悔,998
ひとつ,999
悲しい,1000
描く,1001
流れる,1002
もしもし,1003
そうね,1004
押す,1005
証拠,1006
客,1007
希望,1008
母親,1009
それにしても,1010
外す,1011
捜す,1012
そば,1013
別れる,1014
つらい,1015
すっかり,1016
点,1017
打つ,1018
面倒,1019
腹,1020
っていう,1021
死,1022
になると,1023
迷う,1024
妙,1025
と言った,1026
それなら,1027
バレる,1028
進める,1029
下がる,1030
現実,1031
それぞれ,1032
苦手,1033
間違いない,1034
今すぐ,1035
妹,1036
襲う,1037
手に入れる,1038
格好,1039
もういい,1040
質問,1041
緊張,1042
１つ,1043
出来る,1044
おー,1045
余裕,1046
３人,1047
指,1048
経験,1049
対して,1050
広い,1051
いやー,1052
申す,1053
偶然,1054
他に,1055
判断,1056
つ,1057
