WORD,FREQUENCY_RANKING
の,1
は,2
に,3
が,4
を,5
と,6
で,7
も,8
だ,9
か,10
よ,11
から,12
です,13
する,14
な,15
んだ,16
こと,17
この,18
って,19
ある,20
さん,21
ね,22
なる,23
私,24
ん,25
いい,26
それ,27
これ,28
でも,29
そう,30
し,31
けど,32
言う,33
その,34
いる,35
思う,36
ない,37
じゃない,38
やる,39
には,40
もう,41
お,42
あ,43
そんな,44
や,45
だけ,46
ここ,47
だった,48
まで,49
あの,50
わかる,51
どう,52
見る,53
だから,54
今,55
来る,56
なら,57
人,58
ちゃん,59
なん,60
はい,61
こんな,62
なんて,63
いう,64
できる,65
んです,66
とか,67
わ,68
いや,69
では,70
へ,71
ぞ,72
じゃ,73
年,74
ちょっと,75
前,76
行く,77
俺,78
何,79
ああ,80
という,81
ですか,82
また,83
知る,84
だろ,85
もの,86
のに,87
だって,88
だろう,89
今日,90
とは,91
なんか,92
話,93
え,94
うん,95
まだ,96
大丈夫,97
自分,98
聞く,99
待つ,100
あれ,101
時,102
出る,103
中,104
じゃあ,105
なんで,106
なんだ,107
あっ,108
さ,109
みたい,110
お前,111
して,112
より,113
ため,114
う,115
あー,116
どこ,117
ので,118
かな,119
くる,120
何か,121
行う,122
入る,123
あなた,124
帰る,125
考える,126
早い,127
方,128
として,129
好き,130
本当,131
持つ,132
そこ,133
事,134
だけど,135
みんな,136
悪い,137
違う,138
しか,139
よい,140
時間,141
ように,142
よね,143
えっ,144
すごい,145
そして,146
やっぱり,147
目,148
あと,149
よく,150
ただ,151
家,152
日,153
同じ,154
一,155
なの,156
少し,157
誰,158
子,159
ええ,160
ような,161
うち,162
やめる,163
である,164
かも,165
まま,166
あんた,167
もっと,168
使う,169
いつも,170
こっち,171
顔,172
ー,173
死ぬ,174
次,175
しかし,176
ご,177
作る,178
見える,179
いく,180
わけ,181
出す,182
はぁ,183
なー,184
会う,185
ちゃんと,186
など,187
食べる,188
おい,189
もん,190
ずっと,191
手,192
て,193
くらい,194
ごめん,195
人間,196
一緒,197
こう,198
まあ,199
らしい,200
男,201
くん,202
まさか,203
ではない,204
えー,205
女,206
なぁ,207
はっ,208
どんな,209
よう,210
全部,211
ほら,212
でしょう,213
なに,214
終わる,215
ぜ,216
気,217
話す,218
教える,219
ねー,220
ありがとう,221
ところ,222
ダメ,223
本,224
様,225
先生,226
さっき,227
あんな,228
たち,229
彼女,230
よし,231
きっと,232
絶対,233
おお,234
上,235
戻る,236
それでも,237
世界,238
僕,239
忘れる,240
だが,241
なのに,242
強い,243
そういえば,244
いつ,245
仕事,246
入れる,247
相手,248
こいつ,249
良い,250
あいつ,251
一番,252
つもり,253
本当に,254
はあ,255
君,256
逃げる,257
かける,258
一人,259
楽しい,260
おまえ,261
初めて,262
部屋,263
買う,264
他,265
変,266
場所,267
どうして,268
とこ,269
気持ち,270
明日,271
まぁ,272
多い,273
見せる,274
生きる,275
力,276
呼ぶ,277
名前,278
かもしれない,279
はず,280
こそ,281
最後,282
あぁ,283
関係,284
奴,285
寝る,286
いける,287
無理,288
心配,289
こちら,290
なあ,291
最近,292
全然,293
誰か,294
作品,295
今度,296
必要,297
者,298
後,299
とる,300
ほど,301
ねえ,302
すぐ,303
一度,304
声,305
わあ,306
動く,307
以上,308
つける,309
大変,310
頭,311
心,312
怖い,313
でしょうか,314
ねぇ,315
もし,316
今回,317
別に,318
つ,319
夢,320
昔,321
最初,322
やつ,323
だったら,324
なくなる,325
外,326
助ける,327
場合,328
変わる,329
取る,330
二人,331
バカ,332
第,333
間,334
どういう,335
感じる,336
せい,337
について,338
感じ,339
もちろん,340
以外,341
頼む,342
読む,343
所,344
普通,345
体,346
ください,347
意味,348
彼,349
夜,350
起きる,351
今まで,352
先,353
かい,354
送る,355
昨日,356
月,357
別,358
そうか,359
ありがとうございます,360
そろそろ,361
ほしい,362
始める,363
そういう,364
こういう,365
覚える,366
姿,367
言える,368
決める,369
おかしい,370
ちょ,371
じゃん,372
問題,373
言葉,374
続ける,375
ばかり,376
先に,377
理由,378
さあ,379
友達,380
き,381
うっ,382
新しい,383
巻,384
はは,385
高い,386
許す,387
確か,388
書く,389
用,390
信じる,391
元気,392
円,393
みる,394
ようになる,395
二,396
探す,397
なぜ,398
大,399
やがる,400
わよ,401
嫌,402
欲しい,403
守る,404
見つける,405
かかる,406
気になる,407
かわいい,408
どうした,409
飲む,410
あああ,411
それだけ,412
子供,413
学校,414
まず,415
日本,416
物,417
もしかして,418
落ちる,419
殺す,420
いただく,421
大事,422
受ける,423
うーん,424
長い,425
ことになる,426
描く,427
怒る,428
分,429
とにかく,430
ことがある,431
急に,432
何も,433
遅い,434
とき,435
にとって,436
とても,437
わたし,438
下,439
ふん,440
決まる,441
ごめんなさい,442
ら,443
水,444
朝,445
結局,446
誰も,447
実は,448
なので,449
大きい,450
せっかく,451
フッ,452
発行,453
困る,454
遊ぶ,455
部,456
にして,457
残る,458
もー,459
なるほど,460
服,461
頃,462
思い出す,463
よー,464
だめ,465
泣く,466
ン,467
あまり,468
始まる,469
おっ,470
しっかり,471
存在,472
おく,473
べき,474
つまり,475
ところで,476
いっぱい,477
やっぱ,478
オレ,479
着る,480
しかも,481
どこか,482
よろしく,483
とりあえず,484
そりゃ,485
へー,486
返す,487
株式会社,488
うわ,489
離れる,490
口,491
うまい,492
気がする,493
選ぶ,494
状況,495
足,496
おー,497
さて,498
勝つ,499
続く,500
全て,501
あら,502
おる,503
もらう,504
乗る,505
止める,506
いやいや,507
近く,508
達,509
あげる,510
置く,511
家族,512
お母さん,513
すみません,514
勝手に,515
そっち,516
やっと,517
音,518
痛い,519
聞こえる,520
笑う,521
マジ,522
一緒に,523
簡単,524
どうぞ,525
女の子,526
安心,527
的,528
回,529
毎日,530
歩く,531
いつか,532
伝える,533
さすが,534
道,535
くれる,536
元,537
たくさん,538
号,539
皆,540
消える,541
嬉しい,542
そのまま,543
約束,544
負ける,545
願う,546
まつ,547
変える,548
似る,549
面白い,550
認める,551
情報,552
まるで,553
まったく,554
近い,555
すぎる,556
お兄ちゃん,557
一部,558
あんまり,559
準備,560
特に,561
ほんと,562
そっか,563
完全,564
特別,565
連絡,566
助かる,567
見つかる,568
どっち,569
１０月,570
娘,571
んー,572
電話,573
国,574
通り,575
わけじゃない,576
こ,577
終わり,578
ほう,579
すむ,580
お願い,581
一体,582
危ない,583
楽しむ,584
いいよ,585
渡す,586
食う,587
んな,588
とする,589
うるさい,590
走る,591
幸せ,592
すぐに,593
生活,594
あたし,595
す,596
コミックス,597
となる,598
連れる,599
はー,600
親,601
どうしたの,602
分かる,603
それも,604
っけ,605
どうしよう,606
あそこ,607
気づく,608
一つ,609
手伝う,610
第１,611
つく,612
いやー,613
全,614
私たち,615
全員,616
お客様,617
歳,618
でもない,619
番,620
優しい,621
ひどい,622
隠す,623
無い,624
これまで,625
開ける,626
ははは,627
ふふ,628
仲間,629
結構,630
アレ,631
確認,632
なかなか,633
しれる,634
海,635
１１月,636
結果,637
えっと,638
いきなり,639
向かう,640
わけない,641
何で,642
内容,643
住む,644
予定,645
上がる,646
捨てる,647
それで,648
先輩,649
状態,650
なんだか,651
嘘,652
行ける,653
頑張る,654
大好き,655
出来る,656
じゃねー,657
第２,658
方法,659
説明,660
必ず,661
ホント,662
黙る,663
ありがと,664
立つ,665
おいしい,666
いくら,667
お父さん,668
邪魔,669
ううん,670
ぶ,671
写真,672
あの子,673
ゆっくり,674
あの人,675
くそ,676
小さい,677
来てる,678
東京都,679
等,680
つい,681
ことができる,682
やだ,683
確かに,684
おう,685
逆,686
ひとつ,687
風,688
おかげで,689
使える,690
失礼,691
まー,692
んん,693
生まれる,694
発売,695
休む,696
この人,697
正直,698
さぁ,699
大きな,700
難しい,701
楽,702
無事,703
人生,704
本気,705
三,706
思える,707
大切,708
やはり,709
愛,710
お金,711
事件,712
用意,713
嫌い,714
人物,715
しばらく,716
突然,717
によって,718
残念,719
恥ずかしい,720
進む,721
止まる,722
そうする,723
こうする,724
仕方ない,725
わね,726
当然,727
最高,728
ほとんど,729
漫画,730
切る,731
合う,732
付き合う,733
勉強,734
喜ぶ,735
お願いします,736
まずは,737
見られる,738
そもそも,739
かなり,740
記憶,741
ふー,742
これ以上,743
大人,744
東京,745
どうせ,746
血,747
形,748
十分,749
山,750
ことはない,751
様子,752
うわっ,753
夏,754
どれ,755
目的,756
気にする,757
べ,758
けれど,759
命,760
ありがとうございました,761
バレる,762
意外,763
出会う,764
だよね,765
若い,766
届く,767
一応,768
でもある,769
増える,770
あはは,771
名,772
さえ,773
なんと,774
による,775
足りる,776
期待,777
たまに,778
っす,779
失敗,780
神,781
可愛い,782
何度,783
さま,784
何の,785
現在,786
どうしても,787
なれる,788
実際,789
協力,790
もつ,791
調べる,792
呼ばれる,793
自由,794
今年,795
わざわざ,796
なし,797
自分で,798
求める,799
ふる,800
その時,801
発行所,802
はずだ,803
超,804
借りる,805
ゲーム,806
気分,807
抜ける,808
側,809
空,810
働く,811
ちゃ,812
時代,813
味,814
１２月,815
結婚,816
がんばる,817
過ぎる,818
興味,819
まだまだ,820
かっ,821
クラス,822
感謝,823
途中,824
周り,825
不安,826
きる,827
不思議,828
そうです,829
残す,830
実,831
遠い,832
木,833
知らない,834
疲れる,835
くせに,836
いま,837
女性,838
すべて,839
甘い,840
敵,841
貸す,842
理解,843
利用,844
当たる,845
色々,846
忙しい,847
花,848
時期,849
さらに,850
ノー,851
意識,852
関係ない,853
新,854
行,855
にて,856
弱い,857
そうですね,858
行動,859
気をつける,860
胸,861
腕,862
あっち,863
起こす,864
紹介,865
以前,866
いろいろ,867
店,868
っぽい,869
ついに,870
可能性,871
いたす,872
死,873
雨,874
楽しみ,875
相談,876
狙う,877
それより,878
のみ,879
編集,880
お客さん,881
わっ,882
反応,883
おはよう,884
第３,885
ただいま,886
重い,887
へえ,888
想像,889
どんどん,890
隣,891
一瞬,892
苦手,893
じゃないか,894
平気,895
それじゃ,896
落ち着く,897
車,898
担当,899
当時,900
により,901
驚く,902
妹,903
深い,904
冗談,905
ギャー,906
もうすぐ,907
っち,908
なんです,909
ばっかり,910
仲良く,911
高校,912
集まる,913
答える,914
危険,915
飛ぶ,916
すら,917
おかげ,918
ファン,919
いいから,920
数,921
まずい,922
ぷ,923
本人,924
久しぶり,925
それぞれ,926
我々,927
近づく,928
失う,929
落とす,930
してい,931
むしろ,932
なんじゃ,933
なさる,934
てる,935
おーい,936
それとも,937
どの,938
裏,939
自信,940
座る,941
合わせる,942
誘う,943
猫,944
金,945
慣れる,946
び,947
普段,948
愛する,949
ド,950
点,951
にゃ,952
色,953
時に,954
物語,955
戦う,956
たって,957
後ろ,958
それにしても,959
母,960
さー,961
客,962
変わった,963
さすがに,964
謝る,965
父,966
現れる,967
空気,968
そうそう,969
全く,970
珍しい,971
迷惑,972
売る,973
系,974
出てくる,975
せめて,976
他人,977
任せる,978
方がいい,979
持ってくる,980
そうだね,981
会,982
そいつ,983
引,984
少ない,985
身,986
ばっか,987
恋,988
追う,989
ヤツ,990
ようにする,991
こんにちは,992
髪,993
光,994
消す,995
向こう,996
さっさと,997
じゃねえ,998
本物,999
火,1000
３月,1001
直接,1002
過ごす,1003
勝手,1004
皆さん,1005
一生,1006
えーと,1007
秘密,1008
いただきます,1009
気に入る,1010
ございます,1011
４月,1012
というか,1013
通る,1014
噂,1015
ど,1016
掲載,1017
他に,1018
料理,1019
程度,1020
集める,1021
ネット,1022
女子,1023
件,1024
かう,1025
やすい,1026
こら,1027
ま,1028
タイプ,1029
気付く,1030
かどうか,1031
複製,1032
与える,1033
起こる,1034
会社,1035
アーッ,1036
ってのは,1037
街,1038
ママ,1039
暗い,1040
過去,1041
たぶん,1042
真,1043
未来,1044
第一,1045
目の前,1046
回る,1047
ちなみに,1048
隠れる,1049
一日,1050
思い,1051
２人,1052
９月,1053
触る,1054
お礼,1055
経験,1056
やあ,1057
練習,1058
大学,1059
お話,1060
ござる,1061
日々,1062
奥,1063
覚悟,1064
急ぐ,1065
引く,1066
なお,1067
そしたら,1068
地,1069
