WORD,FREQUENCY_RANKING
の,1
は,2
に,3
が,4
を,5
で,6
と,7
も,8
だ,9
よ,10
か,11
です,12
から,13
する,14
な,15
んだ,16
ね,17
こと,18
ん,19
さん,20
って,21
ある,22
はい,23
言う,24
私,25
なる,26
これ,27
この,28
それ,29
そう,30
もう,31
いい,32
でも,33
思う,34
何,35
その,36
お,37
やる,38
いる,39
俺,40
ああ,41
どう,42
来る,43
ない,44
んです,45
行く,46
には,47
ここ,48
じゃない,49
あの,50
けど,51
うん,52
そんな,53
今,54
だけ,55
お前,56
し,57
待つ,58
見る,59
いや,60
ちょっと,61
や,62
まで,63
ですか,64
あっ,65
人,66
だから,67
知る,68
だった,69
あ,70
聞く,71
じゃ,72
分かる,73
どこ,74
こんな,75
出る,76
できる,77
おい,78
なら,79
なん,80
いう,81
まだ,82
だって,83
大丈夫,84
また,85
前,86
早い,87
へ,88
帰る,89
行う,90
して,91
今日,92
え,93
なんて,94
ぞ,95
やめる,96
誰,97
何か,98
あれ,99
なんだ,100
えっ,101
ため,102
だろう,103
なんか,104
みんな,105
では,106
違う,107
話,108
のに,109
とか,110
うち,111
自分,112
入る,113
あなた,114
とは,115
まあ,116
死ぬ,117
もの,118
持つ,119
ええ,120
よい,121
こっち,122
悪い,123
会う,124
さ,125
みたい,126
じゃあ,127
一緒,128
ねえ,129
わ,130
あんた,131
中,132
考える,133
もん,134
ほら,135
男,136
という,137
より,138
たち,139
あと,140
よく,141
はっ,142
そこ,143
よし,144
かな,145
だろ,146
ちゃん,147
どうぞ,148
ような,149
さあ,150
ように,151
わけ,152
頼む,153
でしょう,154
として,155
ただ,156
好き,157
出す,158
ありがとう,159
しか,160
同じ,161
やっぱり,162
顔,163
なあ,164
ご,165
僕,166
女,167
２人,168
もっと,169
どうして,170
よう,171
フッ,172
本当,173
ずっと,174
とこ,175
君,176
生きる,177
仕事,178
年,179
話す,180
少し,181
どんな,182
こう,183
すいません,184
使う,185
忘れる,186
戻る,187
ごめん,188
人間,189
ちゃんと,190
らしい,191
よね,192
手,193
つもり,194
いく,195
今度,196
見える,197
いつも,198
いつ,199
なんで,200
ところ,201
取る,202
ので,203
作る,204
入れる,205
目,206
くる,207
だけど,208
方,209
家,210
どういう,211
誰か,212
なの,213
ほう,214
時間,215
だったら,216
心配,217
全部,218
子,219
逃げる,220
すごい,221
すぐ,222
終わる,223
ぐらい,224
あんな,225
教える,226
食べる,227
あいつ,228
お願いします,229
まま,230
１人,231
あー,232
呼ぶ,233
絶対,234
大変,235
はあ,236
飲む,237
気持ち,238
じゃねえ,239
次,240
殺す,241
おう,242
どうした,243
かける,244
バカ,245
先生,246
かも,247
ことになる,248
一度,249
ありがとうございます,250
買う,251
日,252
気,253
こちら,254
声,255
ハハハ,256
ください,257
きっと,258
ダメ,259
はは,260
しかし,261
さっき,262
やつ,263
無理,264
怖い,265
昔,266
名前,267
見せる,268
ほしい,269
そうか,270
ほど,271
いける,272
最後,273
とき,274
そして,275
もらう,276
ことがある,277
助ける,278
もし,279
うまい,280
何で,281
フフ,282
許す,283
う,284
書く,285
上,286
こいつ,287
うーん,288
いえ,289
つける,290
覚える,291
初めて,292
相手,293
えー,294
私たち,295
黙る,296
はぁ,297
俺たち,298
全然,299
言える,300
痛い,301
頑張る,302
者,303
時,304
ごめんなさい,305
寝る,306
所,307
決める,308
やがる,309
である,310
まさか,311
確か,312
頭,313
本当に,314
連れる,315
元気,316
電話,317
遅い,318
信じる,319
だが,320
体,321
かい,322
おる,323
おお,324
大事,325
乗る,326
こそ,327
子供,328
場所,329
必要,330
へえ,331
実は,332
必ず,333
うわっ,334
いやいや,335
願う,336
どうしたの,337
何の,338
おかしい,339
何も,340
決まる,341
ホント,342
かもしれない,343
誰も,344
変,345
心,346
かかる,347
お願い,348
嫌,349
動く,350
ありがとうございました,351
部屋,352
とにかく,353
返す,354
起きる,355
こういう,356
危ない,357
なぜ,358
守る,359
続ける,360
送る,361
一番,362
音,363
変わる,364
皆さん,365
くらい,366
ばかり,367
いただく,368
結構,369
かわいい,370
強い,371
別に,372
置く,373
困る,374
受ける,375
もちろん,376
いたす,377
始める,378
いろいろ,379
明日,380
そりゃ,381
おっ,382
最初,383
はず,384
あの人,385
意味,386
お父さん,387
約束,388
幸せ,389
連絡,390
若い,391
なくなる,392
ふん,393
もしもし,394
いいよ,395
わよ,396
関係,397
しっかり,398
て,399
せい,400
ちょ,401
昨日,402
何だ,403
金,404
先,405
働く,406
アーッ,407
ぜ,408
食う,409
お母さん,410
間,411
夢,412
でしょうか,413
欲しい,414
泣く,415
彼女,416
新しい,417
うっ,418
彼,419
以上,420
楽しい,421
問題,422
捨てる,423
１つ,424
怒る,425
世界,426
それだけ,427
娘,428
そういう,429
命,430
よろしく,431
ではない,432
ばっかり,433
そっち,434
面白い,435
開ける,436
今まで,437
いらっしゃる,438
すぐに,439
夜,440
一体,441
うれしい,442
ひどい,443
いくら,444
最近,445
くれる,446
言葉,447
失礼,448
残る,449
車,450
あああ,451
一緒に,452
どうも,453
座る,454
笑う,455
お金,456
そうです,457
なさる,458
あそこ,459
警察,460
そろそろ,461
見つける,462
東京,463
など,464
きれい,465
力,466
他,467
急に,468
あら,469
失礼します,470
向こう,471
上がる,472
円,473
よいしょ,474
どっち,475
止める,476
ございます,477
うるさい,478
歩く,479
なのに,480
結婚,481
先に,482
聞こえる,483
店,484
渡す,485
なるほど,486
どうせ,487
友達,488
ただいま,489
ねー,490
いやあ,491
フフフ,492
伝える,493
お前ら,494
日本,495
じゃないか,496
やっと,497
思い出す,498
長い,499
下,500
邪魔,501
物,502
貸す,503
多い,504
感じ,505
おいおい,506
落ちる,507
どうしても,508
高い,509
おいしい,510
立つ,511
今夜,512
親,513
落ち着く,514
あんまり,515
せっかく,516
ほうがいい,517
こら,518
口,519
行ける,520
普通,521
道,522
いただきます,523
にとって,524
なかなか,525
まず,526
いつか,527
それで,528
人生,529
とる,530
について,531
始まる,532
一人,533
つまり,534
家族,535
勝手に,536
見つかる,537
持ってくる,538
大きな,539
あの子,540
この野郎,541
簡単,542
探す,543
すみません,544
なー,545
外,546
たくさん,547
捜す,548
読む,549
朝,550
ところで,551
任せる,552
女性,553
済む,554
この人,555
調べる,556
消える,557
負ける,558
ゆっくり,559
忙しい,560
にして,561
来てる,562
払う,563
続く,564
しばらく,565
それでも,566
切る,567
着る,568
向かう,569
別,570
いいえ,571
ようになる,572
分,573
べき,574
結局,575
終わり,576
生まれる,577
毎日,578
野郎,579
嫌い,580
よろしくお願いします,581
足,582
わけない,583
離れる,584
へへ,585
理由,586
我々,587
てめえ,588
様,589
ウソ,590
会社,591
仲間,592
安心,593
申す,594
水,595
歳,596
住む,597
マジ,598
近く,599
じゃん,600
しょうがない,601
あっち,602
写真,603
３人,604
そうする,605
おく,606
こんにちは,607
諦める,608
学校,609
病院,610
そしたら,611
いっぱい,612
全て,613
場合,614
後,615
喜ぶ,616
急ぐ,617
確かに,618
遊ぶ,619
それも,620
勝つ,621
ううん,622
つらい,623
変える,624
一,625
そっか,626
助かる,627
売る,628
謝る,629
冗談,630
借りる,631
ことができる,632
相談,633
似る,634
父,635
隠す,636
元,637
走る,638
優しい,639
ってのは,640
とても,641
ど,642
くせに,643
感じる,644
久しぶり,645
用意,646
そうそう,647
人たち,648
用,649
暮らす,650
やあ,651
客,652
はずだ,653
残す,654
わあ,655
たって,656
事件,657
愛する,658
手伝う,659
一生,660
わし,661
さえ,662
うわ,663
気になる,664
回る,665
十分,666
どっか,667
大きい,668
ヤツ,669
万,670
何て,671
わざわざ,672
今回,673
わけじゃない,674
本,675
つく,676
取れる,677
さすが,678
起こす,679
かどうか,680
お疲れさま,681
やっぱ,682
いらっしゃいませ,683
これ以上,684
しゃべる,685
っす,686
勝手,687
おかげで,688
頃,689
関係ない,690
ことはない,691
辞める,692
当たる,693
当たり前,694
そいつ,695
以外,696
立派,697
しかも,698
姿,699
止まる,700
オラ,701
休む,702
すむ,703
本気,704
亡くなる,705
おっしゃる,706
別れる,707
開く,708
それじゃ,709
難しい,710
どこか,711
うるせえ,712
ー,713
全員,714
お客さん,715
あげる,716
選ぶ,717
件,718
なし,719
いいから,720
ようです,721
んん,722
そのまま,723
思い,724
最高,725
まったく,726
酒,727
狙う,728
しれる,729
気をつける,730
母,731
こりゃ,732
海,733
っていう,734
驚く,735
母親,736
紹介,737
時代,738
突然,739
奥さん,740
まるで,741
っけ,742
確認,743
迷惑,744
引,745
準備,746
やだ,747
もういい,748
もうすぐ,749
生活,750
女の子,751
うわー,752
ありがと,753
おーい,754
知らない,755
説明,756
社長,757
どうしよう,758
まいる,759
わね,760
大切,761
断る,762
よろしい,763
何とか,764
大学,765
離す,766
待たせる,767
ござる,768
でよ,769
おはよう,770
国,771
腹,772
間違い,773
撮る,774
でもない,775
過ぎる,776
えっと,777
でもある,778
ふう,779
いただける,780
疲れる,781
責任,782
ハァハァ,783
勉強,784
恥ずかしい,785
自分で,786
世の中,787
あした,788
上げる,789
事,790
正直,791
アッ,792
覚悟,793
とする,794
何度,795
おはようございます,796
集まる,797
血,798
代わり,799
お前たち,800
ら,801
だよね,802
とおり,803
もしかして,804
連中,805
我慢,806
随分,807
息子,808
２つ,809
結果,810
認める,811
ひとつ,812
おかえり,813
出てくる,814
１回,815
追う,816
証拠,817
大好き,818
思える,819
おいで,820
大体,821
無事,822
ほんと,823
敵,824
男性,825
預かる,826
お世話になる,827
気がする,828
通る,829
そば,830
触る,831
余計,832
そうですね,833
ヘイ,834
いかが,835
いやー,836
ママ,837
大,838
知り合い,839
バカ野郎,840
なに,841
山,842
兄貴,843
とりあえず,844
父親,845
一応,846
ちょうど,847
飛ぶ,848
まあまあ,849
すんな,850
お話,851
となる,852
本日,853
気に入る,854
病気,855
ほか,856
あいつら,857
どんどん,858
こうする,859
張る,860
勝負,861
３日,862
たまに,863
ことにする,864
腕,865
はっきり,866
誰にも,867
なれる,868
落とす,869
あまり,870
おー,871
いかん,872
ああああ,873
ドア,874
残念,875
かわいそう,876
情報,877
打つ,878
んな,879
帰ってくる,880
そういえば,881
先輩,882
起こる,883
ちょうだい,884
番,885
イヤ,886
うわあ,887
ケンカ,888
様子,889
妻,890
ために,891
裏,892
おめでとう,893
やろ,894
花,895
大した,896
運ぶ,897
んー,898
旦那,899
いろんな,900
クソ,901
貴様,902
状況,903
胸,904
特に,905
答える,906
何にも,907
途中,908
一つ,909
親父,910
やってくる,911
１年,912
引く,913
ヤバい,914
３年,915
ウッ,916
近い,917
町,918
楽しむ,919
殴る,920
合う,921
足りる,922
届く,923
集める,924
ご存じ,925
変わった,926
相変わらず,927
ガキ,928
遠い,929
てる,930
チッ,931
あのね,932
小さい,933
自由,934
死,935
どれ,936
いなくなる,937
方法,938
つきあう,939
考え,940
現れる,941
いきなり,942
消す,943
おじさん,944
うまくいく,945
たった,946
気分,947
君たち,948
なんです,949
感謝,950
罪,951
倒れる,952
実,953
後ろ,954
存在,955
出来る,956
テレビ,957
頑張って,958
全く,959
出会う,960
たる,961
組,962
ころ,963
さて,964
寂しい,965
まだまだ,966
ようにする,967
参る,968
珍しい,969
隣,970
詳しい,971
放す,972
名,973
苦労,974
首,975
寄る,976
失う,977
愛,978
お店,979
周り,980
呼ばれる,981
とんでもない,982
身,983
ついて,984
すぎる,985
決して,986
だいぶ,987
だます,988
申し訳ありません,989
ふざける,990
犯人,991
それより,992
お茶,993
特別,994
下がる,995
切れる,996
その人,997
そうだね,998
間違う,999
静かに,1000
美しい,1001
近づく,1002
さっさと,1003
状態,1004
つい,1005
つかむ,1006
楽,1007
歌う,1008
バレる,1009
現場,1010
それとも,1011
やはり,1012
頂く,1013
この辺,1014
歌,1015
妹,1016
いけない,1017
風,1018
かなり,1019
悲しい,1020
戦う,1021
返事,1022
当然,1023
今すぐ,1024
この間,1025
間に合う,1026
アハハ,1027
手紙,1028
お互い,1029
与える,1030
まずは,1031
気づく,1032
良い,1033
苦しい,1034
すべて,1035
暇,1036
たつ,1037
不思議,1038
可能性,1039
パパ,1040
冷たい,1041
