WORD,FREQUENCY_RANKING
の,1
を,2
に,3
は,4
が,5
と,6
で,7
も,8
こと,9
から,10
ある,11
する,12
その,13
です,14
なる,15
である,16
この,17
という,18
か,19
や,20
には,21
だ,22
では,23
もの,24
それ,25
人,26
ので,27
ため,28
として,29
ように,30
ない,31
これ,32
など,33
自分,34
思う,35
できる,36
いる,37
ような,38
見る,39
でも,40
言う,41
な,42
まで,43
年,44
また,45
について,46
とは,47
へ,48
し,49
だけ,50
中,51
とき,52
考える,53
ではない,54
私,55
前,56
より,57
ここ,58
行う,59
たち,60
場合,61
だった,62
そこ,63
お,64
いう,65
使う,66
によって,67
しかし,68
多い,69
書く,70
ようになる,71
必要,72
すべて,73
聞く,74
そして,75
ことができる,76
知る,77
よ,78
して,79
言葉,80
方,81
ね,82
いい,83
次,84
日本,85
ところ,86
同じ,87
そう,88
となる,89
持つ,90
だろう,91
だから,92
意味,93
人間,94
ことになる,95
のに,96
べき,97
何,98
うち,99
読む,100
来る,101
なら,102
よく,103
問題,104
話,105
よい,106
もう,107
出る,108
とする,109
行く,110
本,111
時間,112
上,113
仕事,114
関係,115
多く,116
ほど,117
他,118
つまり,119
与える,120
目,121
心,122
新しい,123
大きな,124
による,125
間,126
少し,127
高い,128
説明,129
感じる,130
世界,131
どう,132
得る,133
存在,134
的,135
受ける,136
やる,137
入る,138
家,139
まだ,140
今,141
とか,142
にとって,143
まず,144
対して,145
そんな,146
彼,147
以上,148
おく,149
場所,150
あなた,151
強い,152
さん,153
時代,154
点,155
ただ,156
重要,157
理由,158
手,159
見える,160
生まれる,161
ことがある,162
後,163
よう,164
内容,165
しか,166
最初,167
大きい,168
彼ら,169
それぞれ,170
さらに,171
でしょう,172
日,173
結果,174
最後,175
示す,176
対する,177
わかる,178
わけ,179
話す,180
求める,181
例,182
長い,183
違う,184
あまり,185
章,186
方法,187
ばかり,188
別,189
どんな,190
何か,191
者,192
もちろん,193
ようにする,194
どこ,195
出す,196
相手,197
理解,198
今日,199
意識,200
置く,201
かかる,202
なの,203
現在,204
生活,205
もし,206
にして,207
なくなる,208
以外,209
変化,210
選ぶ,211
時,212
人々,213
よる,214
伝える,215
かける,216
入れる,217
始める,218
まま,219
一方,220
続く,221
変わる,222
状態,223
なので,224
なぜ,225
んだ,226
一度,227
部分,228
教える,229
変える,230
経験,231
声,232
関する,233
二,234
全体,235
一,236
こそ,237
もっと,238
こう,239
ほとんど,240
力,241
子,242
悪い,243
これら,244
働く,245
自然,246
生きる,247
とても,248
かもしれない,249
決める,250
あと,251
呼ぶ,252
かどうか,253
すぐに,254
でもある,255
送る,256
形,257
続ける,258
実際,259
一部,260
終わる,261
紹介,262
目的,263
といった,264
作る,265
取る,266
以前,267
状況,268
って,269
表現,270
進む,271
そうする,272
くる,273
先に,274
つける,275
少ない,276
とる,277
これまで,278
自身,279
食べる,280
守る,281
当時,282
向かう,283
正しい,284
語る,285
女性,286
忘れる,287
ん,288
必ず,289
利用,290
情報,291
すでに,292
ではないか,293
いつも,294
により,295
国,296
ですか,297
やはり,298
ご,299
学ぶ,300
呼ばれる,301
ものである,302
立つ,303
いただく,304
歳,305
頭,306
深い,307
影響,308
でしょうか,309
社会,310
道,311
考え,312
ことはない,313
いろいろ,314
における,315
どの,316
こんな,317
くらい,318
答える,319
たくさん,320
ために,321
初めて,322
実は,323
水,324
可能,325
十分,326
下,327
考え方,328
誰,329
なり,330
過去,331
そのまま,332
中心,333
それら,334
だが,335
認める,336
だけでなく,337
ほか,338
住む,339
側,340
最近,341
いける,342
先,343
なん,344
違い,345
可能性,346
簡単,347
ほう,348
確認,349
たとえば,350
数,351
あるいは,352
失う,353
一つ,354
なかなか,355
行動,356
ことにする,357
一人,358
昔,359
本当,360
さまざま,361
従う,362
残る,363
当然,364
かなり,365
原因,366
外,367
通り,368
知識,369
若い,370
覚える,371
けど,372
やすい,373
歴史,374
待つ,375
三,376
ことがない,377
事実,378
起こる,379
彼女,380
イメージ,381
人生,382
対象,383
残す,384
まとめる,385
ほしい,386
好き,387
はず,388
行為,389
常に,390
とともに,391
始まる,392
になると,393
自由,394
小さな,395
化,396
買う,397
以下,398
人たち,399
同様,400
非常,401
顔,402
男,403
思われる,404
むしろ,405
どちら,406
近い,407
判断,408
成功,409
大,410
現実,411
本来,412
似る,413
信じる,414
難しい,415
一緒,416
活動,417
特に,418
見せる,419
早い,420
ところで,421
低い,422
帰る,423
すぎる,424
歩く,425
名前,426
評価,427
のみ,428
会社,429
まったく,430
広い,431
それだけ,432
しかも,433
大切,434
神,435
技術,436
ちょっと,437
つながる,438
いえる,439
増える,440
他人,441
みる,442
具体的,443
近く,444
逆,445
うまい,446
性,447
こうする,448
ずっと,449
程度,450
ただし,451
それでも,452
一般的,453
こちら,454
注意,455
有名,456
らしい,457
比べる,458
五,459
超える,460
日本人,461
物,462
文章,463
かも,464
あの,465
その後,466
起きる,467
というもの,468
しっかり,469
飲む,470
通じる,471
通す,472
つつ,473
動く,474
努力,475
大学,476
