WORD,FREQUENCY_RANKING
の,1
を,2
は,3
に,4
が,5
と,6
で,7
も,8
だ,9
から,10
する,11
か,12
こと,13
な,14
ある,15
その,16
それ,17
なる,18
よ,19
です,20
だった,21
には,22
ない,23
この,24
という,25
そう,26
ね,27
思う,28
だろう,29
言う,30
さん,31
だけ,32
いる,33
でも,34
へ,35
ように,36
もの,37
んだ,38
って,39
見る,40
まで,41
である,42
し,43
ような,44
や,45
自分,46
これ,47
そんな,48
いい,49
では,50
だから,51
私,52
顔,53
なら,54
じゃない,55
もう,56
けど,57
ん,58
ので,59
として,60
だが,61
できる,62
そして,63
中,64
前,65
とは,66
ここ,67
お,68
ではない,69
声,70
聞く,71
ため,72
いう,73
そこ,74
知る,75
考える,76
彼女,77
言葉,78
あの,79
より,80
とか,81
どう,82
来る,83
人,84
話,85
出る,86
手,87
わ,88
やる,89
など,90
目,91
また,92
らしい,93
なんて,94
して,95
ほど,96
見える,97
まだ,98
のに,99
ところ,100
少し,101
まま,102
あ,103
持つ,104
今,105
ただ,106
よう,107
上,108
しかし,109
こんな,110
入る,111
何,112
いや,113
なん,114
だって,115
行く,116
彼,117
ぞ,118
同じ,119
ちょっと,120
んです,121
しか,122
ですか,123
姿,124
俺,125
たち,126
使う,127
男,128
みたい,129
え,130
方,131
家,132
待つ,133
感じる,134
人間,135
部屋,136
笑う,137
頭,138
かな,139
かもしれない,140
なの,141
行う,142
時間,143
さ,144
相手,145
よく,146
ああ,147
ばかり,148
場所,149
力,150
はい,151
こちら,152
あれ,153
今日,154
世界,155
強い,156
二,157
悪い,158
出す,159
うち,160
表情,161
あと,162
なんだ,163
くらい,164
一,165
でしょう,166
作る,167
話す,168
必要,169
違う,170
かける,171
わけ,172
口,173
立つ,174
だけど,175
ずっと,176
どこ,177
見せる,178
つもり,179
間,180
動く,181
いつも,182
帰る,183
じゃ,184
本当,185
続ける,186
すぐに,187
戻る,188
歩く,189
意味,190
まるで,191
はず,192
大きい,193
答える,194
にとって,195
大きな,196
とする,197
受ける,198
それでも,199
視線,200
うん,201
存在,202
日,203
けれど,204
早い,205
くる,206
わかる,207
どんな,208
一度,209
外,210
について,211
好き,212
どうして,213
心,214
べき,215
もっと,216
向ける,217
となる,218
三,219
理由,220
様子,221
多い,222
置く,223
そのまま,224
よい,225
音,226
聞こえる,227
食べる,228
以上,229
きっと,230
本,231
他,232
あまり,233
長い,234
ことになる,235
会う,236
教える,237
名前,238
時,239
下,240
呼ぶ,241
かも,242
ようだ,243
胸,244
次,245
高い,246
書く,247
大丈夫,248
向かう,249
死ぬ,250
仕事,251
気,252
とても,253
あなた,254
最後,255
二人,256
どこか,257
心配,258
先に,259
問題,260
やっぱり,261
なくなる,262
走る,263
者,264
入れる,265
こう,266
最初,267
先,268
光,269
でもない,270
小さな,271
足,272
年,273
女,274
瞬間,275
思える,276
夜,277
ちゃんと,278
子,279
こそ,280
腕,281
それだけ,282
空,283
小さい,284
なのに,285
本当に,286
じゃあ,287
説明,288
消える,289
ゆっくり,290
思い出す,291
よね,292
何か,293
忘れる,294
取る,295
つまり,296
残る,297
後,298
せい,299
そうする,300
風,301
つつ,302
みんな,303
今度,304
止める,305
なので,306
もし,307
離れる,308
一瞬,309
まさか,310
ことがある,311
誰,312
落ちる,313
驚く,314
感じ,315
もちろん,316
以外,317
ええ,318
理解,319
生きる,320
逃げる,321
はずだ,322
やはり,323
さっき,324
ところで,325
ようになる,326
こっち,327
軽い,328
近く,329
いける,330
だろ,331
場合,332
進む,333
つける,334
髪,335
別,336
かかる,337
ちゃん,338
続く,339
状況,340
いく,341
覚える,342
肩,343
深い,344
信じる,345
終わる,346
始める,347
にして,348
気持ち,349
開ける,350
当然,351
気がする,352
開く,353
奥,354
似る,355
一番,356
さえ,357
壁,358
ようにする,359
楽しい,360
どういう,361
白い,362
読む,363
無理,364
守る,365
それも,366
見つめる,367
起きる,368
水,369
やめる,370
なんで,371
変える,372
しかも,373
目の前,374
一緒,375
かなり,376
様,377
形,378
道,379
確認,380
すぐ,381
着る,382
色,383
ご,384
普通,385
笑顔,386
関係,387
背中,388
完全,389
おかしい,390
とき,391
隠す,392
誰か,393
伝える,394
両手,395
許す,396
だったら,397
乗る,398
決める,399
近い,400
助ける,401
状態,402
返す,403
簡単,404
ことができる,405
買う,406
まあ,407
浮かべる,408
一人,409
記憶,410
しばらく,411
座る,412
気になる,413
思わず,414
意識,415
赤い,416
後ろ,417
自身,418
頼む,419
不思議,420
叫ぶ,421
ことはない,422
でもある,423
へと,424
全部,425
想像,426
首,427
夢,428
絶対,429
残す,430
通り,431
指,432
女性,433
結果,434
空気,435
によって,436
誰も,437
あんな,438
動き,439
選ぶ,440
まず,441
変わる,442
寝る,443
用,444
反応,445
怒る,446
五,447
言える,448
不安,449
こういう,450
耳,451
初めて,452
黙る,453
送る,454
ことにする,455
僕,456
ほとんど,457
事実,458
過ぎる,459
確か,460
認める,461
得る,462
先生,463
もん,464
飲む,465
困る,466
ほら,467
昔,468
