WORD,FREQUENCY_RANKING
の,1
を,2
に,3
は,4
が,5
と,6
も,7
で,8
だ,9
か,10
な,11
から,12
よ,13
する,14
ね,15
です,16
こと,17
ある,18
この,19
んだ,20
なる,21
それ,22
その,23
には,24
でも,25
これ,26
って,27
いる,28
ない,29
いい,30
だった,31
ここ,32
もの,33
そう,34
だろう,35
私,36
し,37
けど,38
もう,39
なら,40
だけ,41
できる,42
お,43
ぞ,44
まで,45
さん,46
ため,47
ん,48
へ,49
では,50
わ,51
じゃない,52
たち,53
どう,54
やる,55
あなた,56
や,57
また,58
という,59
思う,60
だから,61
あの,62
とは,63
言う,64
そんな,65
として,66
見る,67
まだ,68
より,69
行く,70
よう,71
みたい,72
来る,73
じゃ,74
なんて,75
ように,76
さ,77
だが,78
今,79
わかる,80
みんな,81
こんな,82
前,83
知る,84
ような,85
そして,86
である,87
ああ,88
のに,89
人,90
かな,91
時,92
中,93
何,94
あ,95
ところ,96
ぜ,97
自分,98
いう,99
そこ,100
だって,101
とか,102
して,103
なん,104
よく,105
なの,106
きっと,107
ちょっと,108
なんだ,109
よい,110
ですか,111
行う,112
らしい,113
んです,114
待つ,115
持つ,116
聞く,117
ので,118
どこ,119
必要,120
しかし,121
何か,122
使う,123
はい,124
ことができる,125
出る,126
え,127
しか,128
あんた,129
話,130
もっと,131
ただ,132
かも,133
すごい,134
少し,135
世界,136
でしょう,137
ようだ,138
場所,139
入る,140
悪い,141
くる,142
本当,143
だろ,144
ありがとう,145
方,146
話す,147
かもしれない,148
力,149
など,150
すべて,151
だけど,152
うち,153
あれ,154
いや,155
ではない,156
よね,157
もし,158
もん,159
者,160
わけ,161
ことがある,162
作る,163
戻る,164
ずっと,165
時間,166
ほど,167
まあ,168
同じ,169
今日,170
について,171
さあ,172
考える,173
どんな,174
会う,175
はず,176
見える,177
まま,178
強い,179
あと,180
助ける,181
次,182
探す,183
うん,184
つもり,185
こそ,186
教える,187
他,188
帰る,189
じゃあ,190
なに,191
とき,192
心,193
見つける,194
どうして,195
後,196
まさか,197
べき,198
ご,199
いつも,200
彼,201
敵,202
やっぱり,203
となる,204
彼女,205
とても,206
はずだ,207
かける,208
人間,209
やめる,210
ー,211
よし,212
ばかり,213
最後,214
ダメ,215
ええ,216
ことになる,217
本当に,218
う,219
目,220
たくさん,221
名前,222
戦う,223
早い,224
終わる,225
かい,226
忘れる,227
いく,228
どこか,229
向かう,230
ほしい,231
上,232
男,233
なくなる,234
道,235
なんで,236
かしら,237
こう,238
いつ,239
信じる,240
日,241
守る,242
事,243
お前,244
もちろん,245
手,246
くらい,247
家,248
続ける,249
夢,250
こっち,251
高い,252
心配,253
あいつ,254
死ぬ,255
一度,256
大きな,257
手に入れる,258
やつ,259
君,260
誰,261
感じる,262
どうやら,263
声,264
ようになる,265
彼ら,266
生きる,267
姿,268
顔,269
外,270
子,271
おお,272
仕事,273
とにかく,274
ちゃんと,275
先に,276
好き,277
様,278
大丈夫,279
違う,280
ください,281
受ける,282
出す,283
相手,284
おく,285
こいつ,286
倒す,287
見せる,288
いける,289
入れる,290
すぐに,291
なぜ,292
仲間,293
新しい,294
逃げる,295
用,296
動く,297
せい,298
あんな,299
こちら,300
間,301
ほら,302
まったく,303
なあ,304
方法,305
進む,306
呼ぶ,307
言葉,308
そうか,309
始める,310
最近,311
存在,312
おる,313
あまり,314
しっかり,315
多い,316
部屋,317
昔,318
おい,319
見つかる,320
私たち,321
無事,322
消える,323
別,324
にとって,325
ねえ,326
なのに,327
食べる,328
俺,329
準備,330
によって,331
以上,332
長い,333
ちゃん,334
光,335
おかげで,336
まるで,337
気持ち,338
今度,339
ようです,340
一緒,341
頼む,342
現れる,343
つける,344
買う,345
攻撃,346
なかなか,347
さて,348
おまえ,349
だったら,350
覚える,351
娘,352
残る,353
ところで,354
いつか,355
近く,356
年,357
まずは,358
海,359
元気,360
取る,361
もらう,362
誰か,363
オレ,364
くれる,365
負ける,366
戦い,367
伝える,368
さっき,369
物,370
水,371
さらに,372
最初,373
場合,374
そろそろ,375
変わる,376
先,377
必ず,378
ほう,379
かかる,380
気,381
夜,382
とする,383
わたし,384
大変,385
我々,386
ことはない,387
いっぱい,388
やはり,389
なぁ,390
人々,391
のみ,392
以外,393
しばらく,394
絶対,395
うまい,396
選ぶ,397
下,398
よろしく,399
渡す,400
思い出す,401
大事,402
あそこ,403
良い,404
なるほど,405
ことにする,406
勝つ,407
すでに,408
風,409
失う,410
いったい,411
ついに,412
願う,413
情報,414
わよ,415
集める,416
止める,417
さえ,418
安心,419
許す,420
旅,421
でしょうか,422
なんと,423
やがる,424
それでも,425
与える,426
あら,427
全部,428
うーん,429
とる,430
求める,431
変える,432
誰も,433
おかしい,434
あたし,435
武器,436
みせる,437
頭,438
楽しい,439
空,440
命,441
分かる,442
聞こえる,443
危険,444
名,445
体,446
ひどい,447
意味,448
約束,449
やっと,450
それも,451
気がする,452
小さな,453
地,454
残す,455
状態,456
歩く,457
落ちる,458
ために,459
まず,460
かなり,461
