WORD,FREQUENCY_RANKING
の,1
は,2
に,3
を,4
が,5
と,6
も,7
で,8
だ,9
から,10
か,11
する,12
よ,13
な,14
ん,15
こと,16
あ,17
です,18
それ,19
ね,20
なる,21
んだ,22
って,23
さん,24
ある,25
言う,26
その,27
そう,28
私,29
いい,30
でも,31
けど,32
思う,33
だった,34
この,35
ない,36
そんな,37
だけ,38
し,39
には,40
じゃない,41
だろう,42
これ,43
俺,44
もう,45
だから,46
まで,47
いる,48
見る,49
なら,50
ように,51
という,52
わ,53
もの,54
ああ,55
なんて,56
お,57
へ,58
今,59
中,60
わかる,61
ここ,62
ような,63
自分,64
はぁ,65
こんな,66
ちゃん,67
や,68
いう,69
うん,70
う,71
どう,72
だって,73
顔,74
とか,75
では,76
え,77
来る,78
できる,79
聞く,80
ぞ,81
ちょっと,82
人,83
少し,84
とは,85
なん,86
んです,87
やる,88
かな,89
前,90
はい,91
のに,92
また,93
みたい,94
あの,95
いや,96
まだ,97
今日,98
知る,99
そして,100
ですか,101
彼女,102
として,103
考える,104
出る,105
そこ,106
より,107
行く,108
して,109
方,110
手,111
なんだ,112
声,113
何,114
さ,115
まま,116
言葉,117
話,118
もっと,119
感じる,120
ところ,121
入る,122
だけど,123
待つ,124
違う,125
じゃ,126
大丈夫,127
だろ,128
気持ち,129
だが,130
ため,131
好き,132
くる,133
である,134
なの,135
時,136
本当,137
じゃあ,138
あぁ,139
ただ,140
くらい,141
事,142
あー,143
よね,144
時間,145
らしい,146
見える,147
目,148
部屋,149
悪い,150
やっぱり,151
みんな,152
んん,153
よう,154
しか,155
同じ,156
すごい,157
ずっと,158
ではない,159
一緒,160
ので,161
ほど,162
あれ,163
出す,164
かもしれない,165
戻る,166
持つ,167
ちゃんと,168
強い,169
あなた,170
いつも,171
どうして,172
帰る,173
姿,174
早い,175
わけ,176
頭,177
かも,178
男,179
上,180
よく,181
なんで,182
話す,183
行う,184
何か,185
口,186
本当に,187
続ける,188
食べる,189
胸,190
場所,191
どこ,192
動く,193
さっき,194
なぁ,195
家,196
きっと,197
なに,198
使う,199
でしょう,200
つもり,201
終わる,202
ええ,203
こっち,204
たち,205
よい,206
しかし,207
笑う,208
力,209
作る,210
人間,211
始める,212
良い,213
奥,214
分かる,215
いく,216
欲しい,217
なのに,218
子,219
あと,220
表情,221
誰,222
ほら,223
見せる,224
感じ,225
ゆっくり,226
ごめん,227
ばかり,228
うち,229
恥ずかしい,230
はず,231
相手,232
後,233
など,234
指,235
世界,236
やめる,237
様,238
腰,239
大きい,240
すぐに,241
けれど,242
会う,243
こう,244
心配,245
そのまま,246
意味,247
今度,248
確か,249
ふー,250
必要,251
向かう,252
聞こえる,253
女,254
心,255
どんな,256
一度,257
まさか,258
それでも,259
まるで,260
忘れる,261
次,262
他,263
熱い,264
ふふ,265
いっぱい,266
嬉しい,267
最後,268
楽しい,269
音,270
教える,271
初めて,272
入れる,273
とする,274
だったら,275
死ぬ,276
誰か,277
いける,278
くん,279
日,280
あまり,281
視線,282
様子,283
ぜ,284
一番,285
かける,286
間,287
お前,288
歩く,289
全部,290
思い出す,291
気,292
とき,293
覚える,294
まあ,295
呼ぶ,296
無理,297
女の子,298
仕事,299
ありがとう,300
せい,301
理由,302
変わる,303
もん,304
にとって,305
最初,306
気がする,307
べき,308
こそ,309
それだけ,310
ー,311
こちら,312
優しい,313
止める,314
変,315
外,316
とても,317
別に,318
どこか,319
夜,320
痛い,321
もちろん,322
絶対,323
夢,324
寝る,325
震える,326
普通,327
見つめる,328
逃げる,329
ダメ,330
嫌,331
存在,332
名前,333
言える,334
おかしい,335
反応,336
彼,337
先に,338
以上,339
そろそろ,340
動き,341
腕,342
触れる,343
激しい,344
なくなる,345
怖い,346
置く,347
問題,348
先生,349
どういう,350
あんな,351
もしかして,352
許す,353
向ける,354
唇,355
多い,356
笑顔,357
離れる,358
こういう,359
そうする,360
起きる,361
ご,362
瞬間,363
幸せ,364
生きる,365
昨日,366
ことになる,367
目の前,368
受ける,369
気になる,370
もし,371
足,372
でもない,373
状況,374
驚く,375
動かす,376
思える,377
大きな,378
取る,379
軽い,380
わたし,381
なんだか,382
小さい,383
答える,384
立つ,385
しっかり,386
先,387
信じる,388
明日,389
深い,390
おお,391
いつ,392
今まで,393
以外,394
助ける,395
そうか,396
怒る,397
別,398
ところで,399
そういう,400
走る,401
誰も,402
意識,403
なるほど,404
探す,405
ようだ,406
舌,407
について,408
開ける,409
可愛い,410
残る,411
つまり,412
消える,413
理解,414
よし,415
頼む,416
こうする,417
止まる,418
それも,419
伝える,420
困る,421
何度,422
全然,423
すぐ,424
買う,425
長い,426
朝,427
ねぇ,428
関係,429
僕,430
下,431
飲む,432
いきなり,433
確認,434
決める,435
ようにする,436
不安,437
小さな,438
ごめんなさい,439
出来る,440
つつ,441
ことがある,442
大変,443
守る,444
安心,445
我慢,446
ようになる,447
へと,448
求める,449
最近,450
昔,451
一瞬,452
当然,453
書く,454
続く,455
気分,456
泣く,457
通り,458
まったく,459
とにかく,460
感覚,461
落ちる,462
背中,463
服,464
隠す,465
形,466
身体,467
気持ちいい,468
えー,469
おい,470
決まる,471
準備,472
記憶,473
完全,474
願う,475
想像,476
うーん,477
説明,478
て,479
簡単,480
開く,481
あんた,482
状態,483
はずだ,484
不思議,485
にして,486
一緒に,487
はあ,488
元気,489
やつ,490
黙る,491
約束,492
む,493
風,494
思わず,495
高い,496
座る,497
結局,498
感触,499
さて,500
仕方ない,501
者,502
見つける,503
急に,504
返す,505
とりあえず,506
わよ,507
後ろ,508
二人,509
落ち着く,510
本,511
興奮,512
となる,513
つける,514
大好き,515
どうやら,516
確かに,517
正直,518
甘い,519
特に,520
これ以上,521
気にする,522
やはり,523
赤い,524
かかる,525
だめ,526
変える,527
ああああ,528
部分,529
過ぎる,530
大事,531
こいつ,532
ど,533
喜ぶ,534
しばらく,535
選ぶ,536
体,537
頬,538
素直,539
き,540
見られる,541
真,542
一,543
頑張る,544
さらに,545
空,546
瞳,547
今回,548
わけじゃない,549
光,550
ねー,551
そういえば,552
慌てる,553
再び,554
かなり,555
勝手に,556
浮かべる,557
頃,558
緊張,559
殺す,560
さえ,561
むしろ,562
触る,563
楽しむ,564
なあ,565
近く,566
すら,567
ちょ,568
刺激,569
ふん,570
場合,571
キス,572
遅い,573
白い,574
物,575
空気,576
伝わる,577
あんまり,578
隣,579
似る,580
進む,581
遊ぶ,582
しかも,583
近い,584
感情,585
髪,586
届く,587
肩,588
抱く,589
分,590
結構,591
あいつ,592
慣れる,593
匂い,594
期待,595
ようやく,596
普段,597
なので,598
せっかく,599
ことはない,600
ううん,601
難しい,602
濡れる,603
自然,604
与える,605
読む,606
でもある,607
ことにする,608
返事,609
面白い,610
送る,611
そっと,612
離す,613
一人,614
冗談,615
嘘,616
着る,617
撫でる,618
水,619
自身,620
必死,621
実は,622
何度も,623
突然,624
だろうか,625
愛する,626
謝る,627
過ごす,628
結果,629
そっか,630
綺麗,631
全身,632
任せる,633
たくさん,634
それとも,635
引,636
用意,637
血,638
負ける,639
新しい,640
耳,641
本気,642
認める,643
君,644
そっち,645
あげる,646
そりゃ,647
そもそも,648
どうしたの,649
向こう,650
事実,651
身,652
さすが,653
みる,654
肌,655
握る,656
誘う,657
ベッド,658
可能性,659
道,660
大切,661
女性,662
合わせる,663
行動,664
残す,665
会話,666
意外,667
失う,668
あああ,669
なかなか,670
当たる,671
お願い,672
無い,673
つい,674
涙,675
上げる,676
近づく,677
どうした,678
雰囲気,679
響く,680
起こす,681
手伝う,682
終わり,683
冷たい,684
元,685
すぎる,686
途中,687
自分で,688
眠る,689
乗る,690
味,691
とこ,692
ほしい,693
じっと,694
お互い,695
繰り返す,696
同時,697
さすがに,698
すっかり,699
微笑む,700
始まる,701
付き合う,702
息,703
現れる,704
当たり前,705
やってくる,706
どうしても,707
まず,708
周り,709
妙,710
引く,711
どんどん,712
見つかる,713
程度,714
壁,715
全て,716
以前,717
振る,718
相変わらず,719
目的,720
赤,721
寂しい,722
かどうか,723
床,724
逆,725
答え,726
いくら,727
痛み,728
なー,729
ほとんど,730
張る,731
何も,732
疲れる,733
耐える,734
子供,735
嫌い,736
色,737
上がる,738
邪魔,739
眺める,740
あはは,741
肉,742
苦しい,743
でしょうか,744
とる,745
あそこ,746
勢い,747
飛ぶ,748
気づく,749
年,750
興味,751
それなら,752
受け入れる,753
余裕,754
両手,755
広がる,756
毎日,757
くれる,758
情報,759
くー,760
渡す,761
料理,762
愛,763
ありがとうございます,764
用,765
納得,766
舐める,767
静か,768
望む,769
余計,770
わね,771
まずは,772
んー,773
っけ,774
特別,775
まぁ,776
扉,777
的,778
得る,779
掴む,780
実際,781
感謝,782
生活,783
いつか,784
熱,785
休む,786
襲う,787
包む,788
叩く,789
限界,790
揺れる,791
連れる,792
色々,793
はは,794
側,795
残念,796
方法,797
重い,798
助かる,799
立ち上がる,800
見上げる,801
かい,802
先輩,803
吸う,804
珍しい,805
汗,806
平気,807
流れる,808
どうぞ,809
どっち,810
家族,811
ほんと,812
ことができる,813
抜ける,814
満足,815
足りる,816
えっと,817
気配,818
考え,819
つく,820
話をする,821
笑み,822
少女,823
失礼,824
受け取る,825
さあ,826
全員,827
口にする,828
まだまだ,829
ほう,830
ばっかり,831
一応,832
たまに,833
取り出す,834
そうです,835
光景,836
あら,837
勝つ,838
終える,839
どうせ,840
自信,841
みせる,842
首,843
現実,844
否定,845
ひどい,846
限り,847
回る,848
ような気がする,849
わざわざ,850
対して,851
落とす,852
生まれる,853
奪う,854
よろしく,855
突,856
集まる,857
勉強,858
そうだね,859
同時に,860
やっと,861
どうしよう,862
うわ,863
振り返る,864
倒れる,865
場,866
出てくる,867
白,868
調べる,869
友達,870
諦める,871
改めて,872
覚悟,873
わあ,874
なり,875
こうして,876
直接,877
によって,878
柔らかい,879
ねえ,880
ごく,881
ら,882
済む,883
最高,884
増える,885
決して,886
放つ,887
ひとつ,888
娘,889
窓,890
浮かぶ,891
呼ばれる,892
暗い,893
ください,894
合う,895
格好,896
味わう,897
溢れる,898
自ら,899
行為,900
抵抗,901
その時,902
起こる,903
それ以上,904
だよね,905
何の,906
弱い,907
なれる,908
指先,909
態度,910
ふと,911
わけない,912
閉じる,913
それで,914
危ない,915
少ない,916
関係ない,917
危険,918
捨てる,919
もらう,920
とはいえ,921
確かめる,922
経験,923
距離,924
思い,925
そうそう,926
無駄,927
避ける,928
本人,929
内容,930
鳴る,931
人生,932
押す,933
食事,934
未来,935
っぽい,936
というか,937
じゃん,938
運ぶ,939
並ぶ,940
他に,941
もしかしたら,942
こんなに,943
叫ぶ,944
集中,945
抱える,946
声をかける,947
質問,948
一気,949
その場,950
つ,951
出会う,952
必ず,953
それじゃ,954
周囲,955
頷く,956
かのように,957
来てる,958
十分,959
命,960
ぶ,961
くせに,962
えっ,963
視界,964
横,965
それにしても,966
どれ,967
失敗,968
正しい,969
きる,970
連絡,971
対する,972
切る,973
大きくなる,974
迎える,975
はっきり,976
おかげで,977
脱ぐ,978
無事,979
照れる,980
移動,981
廊下,982
悩む,983
方がいい,984
働く,985
さっさと,986
一体,987
喉,988
明るい,989
やだ,990
間違う,991
断る,992
心臓,993
悲しい,994
すみません,995
辺り,996
過去,997
やがる,998
美味しい,999
せめて,1000
責める,1001
おる,1002
住む,1003
忙しい,1004
半分,1005
変化,1006
伸ばす,1007
海,1008
さっきから,1009
お腹,1010
知らない,1011
真剣,1012
と言った,1013
このまま,1014
モノ,1015
嬉しそう,1016
ははは,1017
他人,1018
だからこそ,1019
気に入る,1020
似合う,1021
機会,1022
なぜ,1023
前に,1024
言い方,1025
外す,1026
なんです,1027
そうですね,1028
隠れる,1029
抱きしめる,1030
抑える,1031
たっぷり,1032
予定,1033
遠慮,1034
すべて,1035
私たち,1036
あっ,1037
それじゃあ,1038
うるさい,1039
による,1040
変わった,1041
妹,1042
焦る,1043
無視,1044
恋人,1045
繋がる,1046
立てる,1047
使える,1048
大人,1049
遠い,1050
詳しい,1051
重ねる,1052
少なくとも,1053
甘える,1054
快感,1055
