WORD,FREQUENCY_RANKING
の,1
を,2
に,3
は,4
が,5
と,6
も,7
で,8
だ,9
する,10
から,11
その,12
か,13
こと,14
それ,15
ある,16
な,17
なる,18
よ,19
そう,20
言う,21
ない,22
には,23
だった,24
私,25
思う,26
である,27
だろう,28
この,29
という,30
もの,31
だが,32
です,33
だけ,34
へ,35
自分,36
彼女,37
わかる,38
でも,39
見る,40
いる,41
さん,42
って,43
し,44
いい,45
ように,46
そんな,47
ね,48
まで,49
なら,50
ような,51
んだ,52
そして,53
けど,54
言葉,55
だから,56
今,57
中,58
聞く,59
顔,60
や,61
では,62
として,63
できる,64
とは,65
これ,66
ではない,67
話,68
声,69
ん,70
たち,71
前,72
じゃない,73
考える,74
彼,75
手,76
知る,77
ここ,78
ため,79
なんて,80
より,81
そこ,82
とか,83
相手,84
二人,85
もう,86
目,87
ので,88
あの,89
ほど,90
いう,91
どう,92
体,93
まま,94
やる,95
何,96
くる,97
らしい,98
など,99
人,100
のに,101
世界,102
けれど,103
俺,104
違う,105
とき,106
見える,107
同じ,108
存在,109
して,110
持つ,111
上,112
ただ,113
かもしれない,114
出る,115
お,116
わ,117
男,118
時間,119
悪い,120
部屋,121
しか,122
力,123
また,124
頭,125
理由,126
戻る,127
だって,128
ところ,129
少し,130
強い,131
なん,132
いや,133
死ぬ,134
感じる,135
よう,136
続ける,137
はず,138
視線,139
べき,140
者,141
一人,142
姿,143
状況,144
場所,145
何か,146
必要,147
ぞ,148
受ける,149
まだ,150
あ,151
入る,152
なの,153
みたい,154
ちょっと,155
意味,156
無い,157
つもり,158
心,159
名前,160
腕,161
んです,162
なに,163
ですか,164
今日,165
こんな,166
行う,167
来る,168
待つ,169
こちら,170
使う,171
にとって,172
作る,173
つつ,174
へと,175
わけ,176
ああ,177
問題,178
となる,179
瞬間,180
記憶,181
とする,182
動く,183
聞こえる,184
じゃ,185
行く,186
一つ,187
以上,188
はずだ,189
人間,190
そうする,191
向ける,192
それでも,193
時,194
あと,195
瞳,196
答え,197
だろ,198
まあ,199
気持ち,200
あれ,201
足,202
呼ぶ,203
話す,204
理解,205
意識,206
笑う,207
事,208
出す,209
指,210
誰,211
かける,212
答える,213
血,214
触れる,215
口,216
表情,217
そのまま,218
もっと,219
ばかり,220
家,221
思える,222
終わる,223
どこ,224
唇,225
ちゃん,226
良い,227
なんで,228
間,229
攻撃,230
事実,231
奴,232
守る,233
最初,234
可能性,235
胸,236
でしょう,237
一度,238
長い,239
他,240
え,241
だけど,242
立つ,243
結果,244
向かう,245
はい,246
一緒,247
大きい,248
以外,249
最後,250
本当,251
許す,252
態度,253
当然,254
すぐに,255
言える,256
なんだ,257
食べる,258
髪,259
さ,260
見せる,261
置く,262
感情,263
大丈夫,264
反応,265
変わる,266
始める,267
信じる,268
確か,269
頷く,270
外,271
様子,272
ようだ,273
通り,274
すら,275
消える,276
多い,277
感じ,278
女,279
かな,280
ずっと,281
誰か,282
小さい,283
くらい,284
ちゃんと,285
光,286
今回,287
よく,288
先,289
状態,290
目の前,291
愛する,292
形,293
ほしい,294
国,295
覚える,296
嫌,297
早い,298
得る,299
好き,300
白い,301
残る,302
でもない,303
止める,304
行動,305
高い,306
なんか,307
心配,308
いく,309
会う,310
人物,311
失う,312
じゃあ,313
どうして,314
隣,315
きっと,316
方,317
口にする,318
子,319
思い出す,320
について,321
どんな,322
次,323
あまり,324
一番,325
いつも,326
目的,327
教える,328
風,329
場,330
様,331
対する,332
忘れる,333
それだけ,334
座る,335
肩,336
わけではない,337
首,338
音,339
こそ,340
扉,341
それも,342
帰る,343
逃げる,344
別,345
つまり,346
感覚,347
全員,348
選ぶ,349
頬,350
もん,351
後,352
落ちる,353
掴む,354
判断,355
歩く,356
ゆっくり,357
日,358
助ける,359
後ろ,360
よい,361
お前,362
しかし,363
もちろん,364
ことになる,365
全部,366
二,367
生きる,368
一瞬,369
本,370
空,371
背中,372
約束,373
痛い,374
大きな,375
隠す,376
離れる,377
なので,378
かも,379
決める,380
まるで,381
やめる,382
走る,383
いける,384
関係,385
自身,386
一,387
不安,388
魂,389
情報,390
考え,391
命令,392
うん,393
説明,394
なくなる,395
じゃん,396
届く,397
わたし,398
確認,399
場合,400
耳,401
地面,402
本当に,403
身,404
みんな,405
そもそも,406
うち,407
軽い,408
部分,409
壁,410
抱く,411
求める,412
放つ,413
起きる,414
初めて,415
動き,416
小さな,417
先に,418
上げる,419
与える,420
気がする,421
立ち上がる,422
よね,423
取る,424
誰も,425
による,426
う,427
つける,428
なのに,429
怒り,430
勝つ,431
続く,432
さっき,433
内容,434
会話,435
驚く,436
対して,437
完全,438
さらに,439
変える,440
的,441
まさか,442
簡単,443
視界,444
可愛い,445
撫でる,446
全身,447
振り返る,448
赤い,449
こう,450
可能,451
伝える,452
すごい,453
発言,454
探す,455
用意,456
剣,457
期待,458
ことがある,459
開ける,460
嘘,461
かなり,462
ええ,463
叩く,464
気,465
立場,466
実際,467
年,468
ベッド,469
十分,470
姉,471
残す,472
道,473
