WORD,FREQUENCY_RANKING
の,1
は,2
に,3
だ,4
が,5
を,6
する,7
か,8
よ,9
と,10
も,11
で,12
ね,13
な,14
です,15
から,16
いる,17
こと,18
って,19
何,20
じゃ,21
なる,22
ある,23
んだ,24
私,25
ん,26
ない,27
俺,28
いい,29
言う,30
それ,31
さん,32
けど,33
やる,34
この,35
思う,36
これ,37
でも,38
あっ,39
わ,40
お前,41
君,42
くる,43
だけ,44
行く,45
くれる,46
あ,47
その,48
ぞ,49
あの,50
く,51
分かる,52
ちゃん,53
もう,54
ー,55
見る,56
や,57
今,58
まで,59
そう,60
ああ,61
うん,62
どう,63
お,64
できる,65
え,66
来る,67
ここ,68
ちょっと,69
そんな,70
し,71
さ,72
えっ,73
はい,74
んです,75
なんだ,76
僕,77
だって,78
人,79
いや,80
とか,81
なんて,82
出る,83
じゃあ,84
ぜ,85
知る,86
いう,87
聞く,88
みたい,89
という,90
へ,91
誰,92
もの,93
あれ,94
いく,95
よい,96
自分,97
こんな,98
気,99
大丈夫,100
まだ,101
待つ,102
みんな,103
今日,104
のに,105
よう,106
前,107
すごい,108
ねえ,109
あなた,110
ため,111
どこ,112
くださる,113
また,114
もん,115
かも,116
わけ,117
まあ,118
より,119
時,120
みる,121
違う,122
う,123
話,124
もらう,125
好き,126
だから,127
先生,128
なんか,129
一緒,130
音,131
考える,132
入る,133
早い,134
持つ,135
帰る,136
として,137
男,138
そうだ,139
ほう,140
悪い,141
しまう,142
２人,143
じゃん,144
食べる,145
死ぬ,146
ありがとう,147
あんた,148
中,149
なん,150
しか,151
そういう,152
なあ,153
おい,154
ダメ,155
そこ,156
作る,157
やめる,158
山里,159
っていう,160
何だ,161
手,162
本当に,163
あと,164
ところ,165
ちゃう,166
様,167
雄,168
ええ,169
人間,170
終わる,171
こっち,172
おる,173
しれる,174
ので,175
そして,176
ただ,177
ごめん,178
使う,179
同じ,180
やつ,181
絶対,182
あいつ,183
やっぱり,184
事,185
頑張る,186
うち,187
聖,188
よく,189
見える,190
のだ,191
時間,192
確か,193
ような,194
ほら,195
花,196
南,197
楠,198
いいん,199
とき,200
目,201
感じ,202
おく,203
力,204
殺す,205
うる,206
女,207
ちゃんと,208
もっと,209
なさる,210
しかし,211
出す,212
くん,213
全然,214
先輩,215
ずっと,216
ま,217
あげる,218
仕事,219
なんです,220
方,221
おお,222
バカ,223
何で,224
こいつ,225
夢,226
声,227
海,228
どうして,229
戻る,230
くらい,231
次,232
あー,233
いつも,234
こそ,235
相手,236
さあ,237
っす,238
なんで,239
話す,240
ほど,241
ご,242
世界,243
敵,244
会う,245
顔,246
入れる,247
さっき,248
いける,249
すぎる,250
強い,251
てる,252
んで,253
ちゃ,254
わかる,255
心,256
おっ,257
つける,258
必要,259
つく,260
まさか,261
うつ,262
のです,263
こう,264
たり,265
つもり,266
なの,267
教える,268
だが,269
家,270
マジ,271
少し,272
逃げる,273
無理,274
なぜ,275
取る,276
らしい,277
すぐ,278
どんな,279
生きる,280
俺たち,281
最後,282
奴,283
子,284
以上,285
変わる,286
空,287
忘れる,288
全部,289
など,290
本当,291
いつ,292
さくら,293
きっと,294
彼,295
うい,296
あんな,297
名前,298
かける,299
ちる,300
どういう,301
明日,302
ぐらい,303
かわいい,304
それで,305
うまい,306
寝る,307
楽しい,308
とこ,309
これから,310
見せる,311
呼ぶ,312
者,313
１人,314
気持ち,315
怖い,316
結構,317
私たち,318
頼む,319
行う,320
助ける,321
ほしい,322
友達,323
はず,324
買う,325
体,326
て,327
かい,328
あたし,329
一同,330
信じる,331
普通,332
決める,333
だったん,334
はあ,335
彼女,336
心配,337
負ける,338
守る,339
上,340
っけ,341
一番,342
今度,343
問題,344
いただく,345
意味,346
先,347
所,348
他,349
勝つ,350
飲む,351
学校,352
戦う,353
初めて,354
大樹,355
頭,356
平,357
大志,358
我々,359
である,360
笑い声,361
フッ,362
なに,363
最初,364
こちら,365
ながら,366
動く,367
ど,368
食う,369
さすが,370
別に,371
よし,372
お前ら,373
なるほど,374
続ける,375
ござる,376
覚える,377
場所,378
千,379
うわ,380
このまま,381
決まる,382
どうした,383
日,384
子供,385
変,386
せい,387
一体,388
月,389
どうぞ,390
おいしい,391
それに,392
かしら,393
昨日,394
部屋,395
命,396
書く,397
全て,398
そうです,399
大変,400
ふる,401
やっぱ,402
言える,403
お願い,404
べし,405
とも,406
とる,407
乗る,408
こういう,409
もし,410
とく,411
始める,412
ありがとうございます,413
銀,414
一,415
男性,416
女性,417
今回,418
そんなに,419
１,420
勝手,421
つまり,422
華,423
大事,424
大河,425
一人,426
起きる,427
すみません,428
では,429
ちょ,430
春花,431
藤,432
そっか,433
怒る,434
仲間,435
言葉,436
金,437
攻撃,438
いろいろ,439
お母さん,440
受ける,441
夜,442
見つける,443
探す,444
ごめんなさい,445
３人,446
残る,447
最近,448
多分,449
よる,450
かかる,451
貴様,452
ウソ,453
面白い,454
オレ,455
昔,456
父,457
そろそろ,458
こ,459
お願いします,460
どっち,461
理由,462
つ,463
もちろん,464
まま,465
勝負,466
け,467
開く,468
遅い,469
女の子,470
野郎,471
ばかり,472
うーん,473
おう,474
高い,475
欲しい,476
える,477
すむ,478
ねる,479
してん,480
まったく,481
うれしい,482
止める,483
なれる,484
元気,485
実は,486
超,487
許す,488
痛い,489
お父さん,490
もらえる,491
選ぶ,492
泣く,493
姿,494
生徒,495
り,496
約束,497
多い,498
とにかく,499
女子,500
オール,501
必ず,502
感じる,503
２,504
おかしい,505
そうなん,506
したん,507
落ちる,508
にとって,509
困る,510
めっちゃ,511
１つ,512
すべて,513
お兄ちゃん,514
おはよう,515
母,516
真,517
まず,518
てめえ,519
わし,520
連れる,521
ヒーロー,522
存在,523
大,524
そりゃ,525
新しい,526
マイン,527
始まる,528
ようだ,529
皆さん,530
谷,531
任せる,532
ちまう,533
ううん,534
さえ,535
間,536
大きい,537
良い,538
いえ,539
すいません,540
ゲーム,541
能力,542
とりあえず,543
はずだ,544
置く,545
別,546
娘,547
第,548
全員,549
狼,550
読む,551
笑う,552
合う,553
消える,554
あら,555
簡単,556
道,557
どうも,558
吉,559
戦い,560
しかも,561
電話,562
名,563
国,564
わたし,565
黙る,566
外,567
以外,568
太,569
あの子,570
関係,571
雪,572
デート,573
練習,574
一度,575
走る,576
結局,577
準備,578
せっかく,579
高木,580
元,581
最高,582
男子,583
口,584
優しい,585
急,586
み,587
血,588
状況,589
そっち,590
幸せ,591
あんまり,592
ひる,593
森,594
恩,595
水,596
返す,597
向かう,598
くい,599
料理,600
き,601
皆,602
どれ,603
上がる,604
連絡,605
物,606
あそこ,607
足,608
やはり,609
わっ,610
聞こえる,611
立つ,612
切る,613
下,614
もしかして,615
気づく,616
開ける,617
用意,618
本気,619
綾,620
至,621
ふう,622
変える,623
ゼロ,624
おかげ,625
によって,626
朝,627
落ち着く,628
後,629
付き合う,630
佳,631
よろしく,632
描く,633
過ぎる,634
そうそう,635
場合,636
我,637
伝える,638
そいつ,639
ただいま,640
長い,641
なかなか,642
勉強,643
試合,644
渚,645
あの人,646
着る,647
間違い,648
遠い,649
里,650
とても,651
急ぐ,652
邪魔,653
魔法,654
つば,655
逆,656
マイト,657
当然,658
ひどい,659
こんなに,660
けれど,661
さて,662
完全,663
倒す,664
一つ,665
いやいや,666
町,667
こら,668
家族,669
捨てる,670
いきなり,671
日本,672
閣下,673
きれい,674
ドア,675
それでも,676
誘う,677
わあ,678
しっかり,679
日向,680
冴,681
二人,682
連中,683
愛,684
遊ぶ,685
べ,686
身,687
そ,688
いくら,689
嫌,690
結果,691
くせ,692
手伝う,693
ママ,694
人生,695
服,696
たつ,697
久しぶり,698
あああ,699
認める,700
提督,701
妹,702
送る,703
クソ,704
我が,705
さる,706
写真,707
離れる,708
失う,709
作戦,710
小,711
大人,712
危ない,713
帝国,714
打つ,715
地球,716
未,717
ほる,718
得る,719
やっと,720
沙子,721
本,722
柚子,723
方法,724
なり,725
確認,726
諦める,727
くう,728
大切,729
みのり,730
事件,731
たくさん,732
無事,733
彼ら,734
忍,735
住む,736
情報,737
にゃ,738
そういえば,739
与える,740
危険,741
結婚,742
霊,743
について,744
残念,745
楽しみ,746
自由,747
チーム,748
気付く,749
希,750
ヤバい,751
出来る,752
腕,753
鬼,754
ほか,755
幻,756
ハハハ,757
助かる,758
どうせ,759
よろしくお願いします,760
可能性,761
車,762
ノア,763
安心,764
記憶,765
羅,766
殿,767
オーケー,768
そうですね,769
火,770
フン,771
全く,772
へえ,773
まい,774
失敗,775
奉る,776
実,777
もつ,778
影,779
どうやって,780
猫,781
魁,782
星,783
続く,784
してやる,785
なくなる,786
次回,787
見つかる,788
思い出す,789
難しい,790
駄目,791
似る,792
向こう,793
神,794
いっぱい,795
タイプ,796
疲れる,797
しゃべる,798
やん,799
十分,800
おおう,801
使える,802
冗談,803
歩く,804
剣,805
うまる,806
それでは,807
失礼,808
はかせ,809
利,810
也,811
思い,812
あおい,813
ガキ,814
宇宙,815
残す,816
まずは,817
何度,818
轟,819
ピカ,820
行動,821
ご飯,822
ねん,823
陛下,824
きたん,825
プレゼント,826
引く,827
隠す,828
みお,829
犬,830
狙う,831
喜ぶ,832
斬る,833
唯,834
凛,835
狸,836
どうしよう,837
上げる,838
動き,839
麻,840
恥ずかしい,841
お金,842
かなう,843
近く,844
すげえ,845
はいはい,846
い,847
る,848
少年,849
個性,850
クラス,851
説明,852
進む,853
わける,854
山,855
艦隊,856
まるで,857
もう少し,858
由,859
覚悟,860
っぽい,861
うるさい,862
大好き,863
乃,864
奥,865
あいつら,866
甘い,867
目的,868
アル,869
謝る,870
バイト,871
街,872
生まれる,873
勇気,874
嘘,875
店,876
迷惑,877
仁,878
じ,879
是,880
追う,881
嫌い,882
試験,883
丸,884
調べる,885
イヤ,886
高校,887
しょうが,888
いらっしゃる,889
毎日,890
お姉ちゃん,891
よろしい,892
奪う,893
いいえ,894
のう,895
僕ら,896
光,897
止まる,898
いつか,899
３,900
当たる,901
生活,902
うわる,903
無駄,904
そうね,905
安,906
なお,907
貸す,908
ひな,909
チセ,910
足りる,911
頃,912
起こす,913
姉,914
目指す,915
はねる,916
合わせる,917
大体,918
す,919
テラスハウス,920
救う,921
遊び,922
風,923
英,924
近い,925
未来,926
求める,927
だけど,928
カード,929
桂馬,930
親,931
こんにちは,932
俺達,933
飛ぶ,934
いろんな,935
何とか,936
白,937
期待,938
炭,939
パパ,940
おかえり,941
もう一度,942
一応,943
思える,944
答える,945
傷,946
調子,947
鳥,948
ハァハァ,949
売る,950
卿,951
命令,952
姫,953
渡す,954
どっか,955
ふん,956
万,957
新,958
時代,959
捜す,960
速い,961
ゆっくり,962
そもそも,963
若い,964
落とす,965
働く,966
選手,967
近づく,968
状態,969
紅,970
いたす,971
理解,972
会長,973
弱い,974
形,975
カイザー,976
おまえ,977
ついに,978
モブ,979
今年,980
驚く,981
しかた,982
現れる,983
仕方,984
魂,985
恋,986
黒,987
特に,988
君たち,989
光る,990
澪,991
この人,992
撮る,993
責任,994
おいおい,995
チャンス,996
それとも,997
ふざける,998
下さる,999
回る,1000
客,1001
息,1002
うわあ,1003
メール,1004
運命,1005
こうして,1006
緑,1007
それだけ,1008
ようです,1009
本物,1010
休む,1011
王,1012
木,1013
店員,1014
暇,1015
済む,1016
ナレーション,1017
耳,1018
どうしたん,1019
あした,1020
ばっかり,1021
大きな,1022
寒い,1023
しばらく,1024
死,1025
正直,1026
斗,1027
かなり,1028
そのまま,1029
取れる,1030
付ける,1031
気分,1032
借りる,1033
父さん,1034
奴ら,1035
人たち,1036
おれ,1037
集める,1038
消す,1039
協力,1040
我ら,1041
あっち,1042
歓声,1043
楽しむ,1044
平気,1045
なのだ,1046
うんうん,1047
了,1048
忙しい,1049
おめでとう,1050
わざわざ,1051
お疲れさま,1052
くそ,1053
アハハ,1054
蝶,1055
兄ちゃん,1056
様子,1057
パンダ,1058
悪魔,1059
入江,1060
さま,1061
撃つ,1062
起こる,1063
教師,1064
半田,1065
師匠,1066
座る,1067
プロ,1068
たぶん,1069
他人,1070
ろ,1071
