WORD,FREQUENCY_RANKING
の,1
は,2
に,3
が,4
を,5
で,6
と,7
も,8
だ,9
から,10
よ,11
する,12
か,13
こと,14
なる,15
ある,16
それ,17
ね,18
いる,19
な,20
って,21
んだ,22
です,23
だった,24
その,25
には,26
この,27
そう,28
でも,29
ない,30
くる,31
さん,32
だけ,33
いい,34
くれる,35
これ,36
だろう,37
けど,38
しまう,39
そんな,40
やる,41
わ,42
だから,43
まで,44
し,45
もの,46
ん,47
あの,48
なら,49
という,50
もう,51
じゃない,52
ここ,53
いく,54
とする,55
ああ,56
ような,57
お,58
とは,59
なんて,60
や,61
ように,62
ながら,63
へ,64
そして,65
ぞ,66
こんな,67
だが,68
にも,69
である,70
どう,71
いや,72
なの,73
はい,74
ちょっと,75
とか,76
さ,77
まだ,78
のに,79
じゃ,80
また,81
だって,82
できる,83
いう,84
うん,85
たち,86
ため,87
そこ,88
ではない,89
もらう,90
あっ,91
みる,92
ちゃん,93
ですか,94
みたい,95
ところ,96
ので,97
あれ,98
かな,99
あなた,100
よね,101
らしい,102
ただ,103
ほど,104
わかる,105
しかし,106
として,107
なん,108
え,109
かもしれない,110
など,111
より,112
なんだ,113
でしょう,114
なんか,115
しか,116
だけど,117
わけ,118
なんだ,119
まあ,120
ください,121
よい,122
とも,123
まま,124
よく,125
どこ,126
くらい,127
みんな,128
ええ,129
おく,130
よう,131
もっと,132
ずっと,133
あげる,134
どうして,135
いつも,136
こう,137
のように,138
やっぱり,139
つもり,140
じゃないか,141
あと,142
こちら,143
はず,144
なに,145
ばかり,146
きっと,147
すごい,148
えっ,149
ちゃんと,150
ようだ,151
すぐに,152
どんな,153
なんで,154
による,155
とき,156
へと,157
だろうか,158
うち,159
かける,160
となる,161
おる,162
すぎる,163
やめる,164
まさか,165
なのに,166
ことになる,167
それでも,168
よりも,169
にとって,170
まるで,171
そういう,172
ありがとう,173
さっき,174
もちろん,175
かも,176
こそ,177
あんた,178
そうか,179
そのまま,180
なんです,181
について,182
これから,183
べき,184
ごめん,185
いけない,186
とても,187
おい,188
ゆっくり,189
あんな,190
ほら,191
どういう,192
ご,193
だったら,194
ダメ,195
ううん,196
どこか,197
なるほど,198
そう,199
つまり,200
このまま,201
はぁ,202
ことがある,203
そんなに,204
はずだ,205
やはり,206
あまり,207
かしら,208
そうです,209
あいつ,210
やつ,211
もし,212
いつ,213
いただく,214
ほう,215
おかしい,216
もん,217
んん,218
でもない,219
わたし,220
つつ,221
ことができる,222
ほしい,223
それから,224
こいつ,225
かなり,226
でしょうか,227
かかる,228
なぁ,229
なので,230
こういう,231
もん,232
ですから,233
ようになる,234
としても,235
どうやら,236
まったく,237
つける,238
なぜ,239
そろそろ,240
しっかり,241
しかない,242
そこまで,243
しかも,244
どうした,245
すぐ,246
ではある,247
とにかく,248
くん,249
せい,250
しばらく,251
もしかして,252
ことはない,253
さあ,254
さらに,255
あたし,256
はっ,257
とりあえず,258
そもそも,259
すむ,260
ようにする,261
ことにする,262
ごめんなさい,263
さて,264
げ,265
いきなり,266
というか,267
さえ,268
というのは,269
すら,270
ようやく,271
そういえば,272
ほとんど,273
ありがとうございます,274
さすがに,275
つく,276
じゃん,277
あら,278
よし,279
おお,280
まず,281
すべて,282
たくさん,283
なんだか,284
なかなか,285
いっぱい,286
むしろ,287
どうしたの,288
やってくる,289
としては,290
いる,291
なくなる,292
やがる,293
どうぞ,294
まずは,295
かい,296
せっかく,297
おりる,298
きる,299
えっと,300
ひどい,301
かよ,302
かどうか,303
いくら,304
バカ,305
いいから,306
すみません,307
わけじゃない,308
すでに,309
そりゃ,310
ベッド,311
そっち,312
うまい,313
でない,314
にして,315
ふふ,316
さま,317
ないと,318
あそこ,319
そうする,320
っぽい,321
おかげで,322
それでは,323
みせる,324
なんとか,325
ひとつ,326
とる,327
やすい,328
いらっしゃる,329
どうしても,330
ようです,331
レベル,332
よろしく,333
いつか,334
っけ,335
わざわざ,336
ドア,337
そうですね,338
ながらも,339
つい,340
さすが,341
どれ,342
どうも,343
やっと,344
どうせ,345
であろう,346
それぞれ,347
くださる,348
そっと,349
だからこそ,350
マジ,351
なさる,352
どうか,353
そうね,354
それじゃ,355
いろいろ,356
どうやって,357
だよね,358
さっさ,359
おいて,360
ないか,361
ゲーム,362
はっきり,363
これまで,364
かわいい,365
うわ,366
だけに,367
だす,368
かのように,369
ちょ,370
それにしても,371
クラス,372
どうしよう,373
いたす,374
わけではない,375
ふと,376
そのため,377
すぎ,378
どんどん,379
テーブル,380
になると,381
すっかり,382
どちら,383
たぶん,384
ということは,385
まい,386
どっち,387
どれだけ,388
もしかしたら,389
ちなみに,390
そいつ,391
っす,392
おいしい,393
といった,394
のみ,395
であれば,396
キス,397
そうだね,398
たまに,399
っていう,400
ある,401
まだまだ,402
つく,403
よろしい,404
やがて,405
かね,406
かもしれません,407
うるさい,408
というもの,409
そうそう,410
ではないか,411
くせに,412
じっと,413
まさに,414
たとえ,415
ときに,416
いったい,417
いいか,418
のせいで,419
おそらく,420
いやいや,421
そのもの,422
まずい,423
せめて,424
ああ,425
なんじゃ,426
タイミング,427
あああ,428
いなくなる,429
かつて,430
もはや,431
ってのは,432
ああああ,433
それじゃあ,434
よー,435
ほぼ,436
ちょうど,437
っていうか,438
ぜ,439
それまで,440
ことがない,441
おまえ,442
というのに,443
なんでも,444
もつ,445
そちら,446
おはよう,447
ござる,448
いずれ,449
ついに,450
える,451
タイプ,452
わあ,453
ふん,454
わけない,455
いま,456
やっぱ,457
よし,458
どの,459
まとも,460
そのこと,461
なし,462
なぜか,463
ふむ,464
どうでもいい,465
やら,466
といい,467
ども,468
そのよう,469
ほどに,470
において,471
ともかく,472
オレ,473
にしても,474
なりに,475
いつまでも,476
あるいは,477
てる,478
というより,479
ほうがいい,480
あたり,481
ほんと,482
でる,483
それら,484
きり,485
バレる,486
そのとき,487
へえ,488
とんでもない,489
がな,490
わずか,491
ずいぶん,492
わけにはいかない,493
デート,494
わたくし,495
ごと,496
もうすぐ,497
どころか,498
おおう,499
どうにか,500
なんとなく,501
そば,502
イメージ,503
やってみる,504
あっさり,505
まとめる,506
ということだ,507
ふざける,508
こら,509
はは,510
ほう,511
しれる,512
ものがある,513
あっち,514
あまりにも,515
ただし,516
そんなもの,517
っち,518
チャンス,519
うれしい,520
すいません,521
パン,522
ありがたい,523
きちんと,524
とともに,525
たった,526
ついでに,527
となると,528
さっきから,529
たる,530
あいつら,531
ついてる,532
メートル,533
ぶり,534
ただいま,535
ふう,536
ありがとうございました,537
ど,538
もしも,539
すっごい,540
おいおい,541
だい,542
すべき,543
なお,544
にくい,545
いや,546
たっぷり,547
ははは,548
もっとも,549
なんだと,550
しょうがない,551
ドレス,552
でございます,553
なり,554
ぶつかる,555
ゆく,556
メンバー,557
フッ,558
わけがない,559
といえば,560
ええっ,561
あはは,562
にしては,563
いよいよ,564
はずがない,565
いくつか,566
ままに,567
みたいです,568
よる,569
プレゼント,570
スキル,571
もうちょっと,572
あくまで,573
あまりに,574
まくる,575
ヤバい,576
わし,577
にゃ,578
ホントに,579
きれい,580
キレイ,581
いいこと,582
たまる,583
このよう,584
もともと,585
メイド,586
ぼんやり,587
そのうち,588
つかむ,589
ナイフ,590
あとで,591
ってば,592
いろんな,593
おっと,594
きつい,595
おかげ,596
ますます,597
ったら,598
ママ,599
ころ,600
どうしようもない,601
やあ,602
ほんの,603
まっすぐ,604
ぶつける,605
ついてくる,606
だけでなく,607
あう,608
からこそ,609
はじめる,610
オレ,611
おれ,612
だいぶ,613
テレビ,614
いくらでも,615
おじさん,616
だらけ,617
こんにちは,618
ていうか,619
ショック,620
ダメージ,621
パーティー,622
わざと,623
いかが,624
くそ,625
おはようございます,626
がんばる,627
ちょっ,628
そしたら,629
ひと,630
だいたい,631
たまたま,632
こっそり,633
だからって,634
おかしな,635
パパ,636
たびに,637
せいか,638
やれやれ,639
なんでもない,640
びっくり,641
こいつら,642
からって,643
ノック,644
うなずく,645
ルール,646
からかう,647
ひとり,648
あらゆる,649
おっしゃる,650
ガキ,651
でしたら,652
ひたすら,653
とやら,654
とおり,655
こりゃ,656
チーム,657
トイレ,658
んな,659
ずつ,660
なり,661
だの,662
ものすごい,663
とっくに,664
もういい,665
とる,666
ふる,667
つらい,668
ですら,669
スカート,670
というのも,671
ついている,672
ドキドキ,673
ホントに,674
ほんとに,675
だっけ,676
そうすれば,677
あえて,678
メール,679
カード,680
たつ,681
ちょうだい,682
なくす,683
たしかに,684
うまくいく,685
あのね,686
ほか,687
イベント,688
おや,689
ったく,690
ポケット,691
とのこと,692
こなす,693
サイズ,694
だもの,695
あがる,696
じゃねぇ,697
どうかした,698
うんうん,699
どうにも,700
あなたたち,701
といっても,702
しゃべる,703
ふたり,704
あちこち,705
ぼく,706
ケーキ,707
いかん,708
らしき,709
いいね,710
となれば,711
データ,712
ポイント,713
なるべく,714
のんびり,715
ほっと,716
てめえ,717
ぎゅっと,718
かもしれん,719
テスト,720
かまう,721
しようとする,722
のう,723
おいで,724
さっぱり,725
いやあ,726
つぶやく,727
なか,728
でし,729
ゼロ,730
もたらす,731
チェック,732
よほど,733
くだる,734
マスター,735
バイト,736
してやる,737
なす,738
つまらない,739
ウソ,740
づらい,741
２つ,742
かねない,743
はーい,744
かく,745
ぜひ,746
いちいち,747
なさそう,748
せいぜい,749
んち,750
いかにも,751
おめでとう,752
つながる,753
つくる,754
よっぽど,755
セリフ,756
いくつも,757
えへへ,758
もったいない,759
どこまでも,760
コーヒー,761
ちっ,762
スピード,763
システム,764
どうしたん,765
そっくり,766
もと,767
どうかな,768
どのよう,769
ページ,770
ギルド,771
ルート,772
どこにも,773
いつもより,774
マシ,775
わかんない,776
バランス,777
おとなしい,778
いっそ,779
ときには,780
だんだん,781
へへ,782
やけに,783
リーダー,784
びっくりした,785
モンスター,786
ギリギリ,787
まあまあ,788
キャラ,789
ミス,790
くっつく,791
セット,792
にしておく,793
ボタン,794
というと,795
キラキラ,796
めちゃくちゃ,797
ごとに,798
いつから,799
もしくは,800
しつこい,801
どおり,802
なんとも,803
ひとまず,804
までもない,805
ちらり,806
もしもし,807
うえ,808
ゆえに,809
そこそこ,810
すげえ,811
とうとう,812
カメラ,813
かつ,814
ランク,815
いったん,816
ホテル,817
きっかけ,818
エネルギー,819
どちらも,820
かもね,821
とある,822
ありえない,823
てっきり,824
ちょうどいい,825
まえ,826
ものになる,827
デザイン,828
いわゆる,829
あり,830
アホ,831
たまる,832
でかい,833
べく,834
ごく,835
によると,836
うふふ,837
やだ,838
ぴったり,839
グループ,840
がたい,841
それどころか,842
これくらい,843
かすか,844
わっ,845
ひょっとして,846
メニュー,847
まいる,848
やたら,849
つうか,850
カップ,851
あちら,852
ずるい,853
おっさん,854
くそっ,855
エッチ,856
さっそく,857
おっぱい,858
かわいそう,859
ボス,860
フォロー,861
くるむ,862
いつだって,863
たび,864
ソファ,865
アイテム,866
そうなんですか,867
がち,868
じっくり,869
できるだけ,870
かなう,871
ケンカ,872
ゴミ,873
グラス,874
すぐさま,875
そうなると,876
しがみつく,877
さすがは,878
ネット,879
こちらこそ,880
だろうに,881
どく,882
こもる,883
ボール,884
ぐっと,885
ドラゴン,886
ふさわしい,887
カウンター,888
まく,889
なぜなら,890
とう,891
どうしたらいい,892
こぼす,893
きっちり,894
よーし,895
ものである,896
にかけて,897
ビル,898
いえいえ,899
いじめる,900
っぱなし,901
かしこまる,902
くる,903
はしゃぐ,904
メッセージ,905
ちがう,906
そうなんです,907
における,908
でござる,909
こぼれる,910
そのあと,911
ガラス,912
いかに,913
ノート,914
かぶる,915
でないと,916
しばし,917
ファン,918
きく,919
プロ,920
ウチ,921
ただでさえ,922
どれくらい,923
かねる,924
よす,925
つる,926
うっかり,927
いざ,928
きみ,929
おしまい,930
うる,931
あたる,932
とて,933
わたしたち,934
それはそれで,935
ようこそ,936
ボロボロ,937
いいところ,938
ごまかす,939
キロ,940
おかえり,941
たとえば,942
にやっ,943
めく,944
パンツ,945
パターン,946
どうするか,947
スープ,948
んで,949
したる,950
ウソ,951
