WORD,FREQUENCY_RANKING
の,1
に,2
を,3
する,4
・,5
が,6
て,7
た,8
と,9
は,10
で,11
こと,12
だ,13
など,14
いる,15
ある,16
や,17
れる,18
一,19
も,20
ない,21
から,22
か,23
ん,24
名,25
もの,26
う,27
り,28
人,29
なる,30
また,31
じ,32
き,33
二,34
その,35
ぬ,36
年,37
さ,38
よう,39
動,40
用いる,41
四,42
つ,43
られる,44
さま,45
いう,46
五,47
下,48
として,49
へ,50
同じ,51
ば,52
せる,53
くる,54
こう,55
たり,56
三,57
す,58
お,59
ため,60
く,61
ご,62
文,63
上,64
ひる,65
ちる,66
ま,67
語,68
ふる,69
中,70
そう,71
め,72
物,73
葉,74
形,75
意,76
え,77
日,78
わ,79
者,80
る,81
み,82
こ,83
ら,84
たい,85
形動,86
かん,87
行う,88
表す,89
みる,90
ける,91
げ,92
花,93
さん,94
ほう,95
万,96
どう,97
によって,98
かい,99
または,100
つける,101
氏,102
より,103
心,104
多い,105
な,106
しん,107
け,108
日本,109
見る,110
まで,111
時,112
ぶる,113
中国,114
とき,115
きょう,116
源,117
ど,118
うち,119
所,120
あ,121
もつ,122
ぞ,123
的,124
目,125
ね,126
六,127
間,128
季,129
仏,130
水,131
よ,132
とう,133
ろ,134
できる,135
家,136
本,137
よい,138
作る,139
国,140
略,141
ちょう,142
けい,143
後,144
だい,145
ラ,146
手,147
特に,148
高い,149
ます,150
くい,151
市,152
大,153
という,154
それ,155
この,156
前,157
法,158
事,159
つく,160
付く,161
書く,162
図,163
かく,164
こい,165
御,166
八,167
とる,168
県,169
記,170
いく,171
浄瑠璃,172
がく,173
方,174
子,175
山,176
出る,177
げん,178
多く,179
により,180
ゆう,181
べ,182
体,183
色,184
出す,185
十,186
神,187
副,188
センチメートル,189
総称,190
物事,191
そ,192
きん,193
ぎょ,194
状態,195
かける,196
小,197
ちゅう,198
さい,199
夏,200
状,201
りょう,202
数,203
他,204
ぼる,205
約,206
七,207
音,208
部,209
ぼう,210
てん,211
木,212
自分,213
入れる,214
なり,215
カウ,216
江戸,217
べし,218
ゆ,219
部分,220
もと,221
ほる,222
女,223
地,224
ぶん,225
代,226
じん,227
相手,228
知る,229
金,230
きゅう,231
秋,232
春,233
える,234
やく,235
江戸時代,236
長い,237
おく,238
しゅう,239
風,240
月,241
これ,242
による,243
取る,244
使う,245
用,246
言う,247
のち,248
道,249
はん,250
受ける,251
可能,252
第,253
内,254
主,255
転,256
場合,257
石,258
に対して,259
町,260
でん,261
一つ,262
行く,263
フランス,264
口,265
ぜん,266
強い,267
じゅう,268
類,269
ほど,270
せい,271
だけ,272
言葉,273
男,274
給,275
中心,276
せき,277
ところ,278
得る,279
科,280
昭和,281
船,282
けり,283
酒,284
もん,285
すい,286
世,287
たん,288
りゅう,289
明治,290
種,291
頃,292
浮世草子,293
著,294
身,295
について,296
おう,297
紙,298
百,299
ドイツ,300
動詞,301
ばん,302
分布,303
頭,304
メートル,305
馬,306
力,307
とも,308
与える,309
川,310
一種,311
および,312
九,313
巻,314
示す,315
字,316
歌,317
面,318
ぜ,319
ほん,320
書,321
天皇,322
かかる,323
ぶつ,324
生まれ,325
研究,326
論,327
性,328
クワ,329
先,330
つくる,331
何,332
おん,333
しき,334
魚,335
話,336
呼ぶ,337
含む,338
いち,339
に対する,340
集,341
ていう,342
化,343
し,344
ろう,345
広い,346
鳥,347
よく,348
声,349
あと,350
似る,351
のみ,352
関係,353
際,354
かた,355
てる,356
近世,357
えん,358
めい,359
普通,360
置く,361
立つ,362
以上,363
新,364
打つ,365
気,366
ほか,367
ごと,368
ねん,369
来る,370
れい,371
竹,372
別名,373
火,374
歌舞伎,375
アメリカ,376
度,377
さす,378
ぞう,379
草,380
平家,381
点,382
糸,383
連語,384
ふく,385
派生,386
世紀,387
京都,388
言,389
ひと,390
外,391
天,392
門,393
きく,394
てい,395
足,396
なす,397
描く,398
長,399
異名,400
板,401
入る,402
他人,403
さく,404
光,405
じゃ,406
ながら,407
一定,408
のう,409
古く,410
米,411
たち,412
運動,413
冬,414
聞く,415
がん,416
おお,417
場所,418
東京,419
とともに,420
って,421
寺,422
方法,423
現在,424
たとえ,425
伴う,426
深い,427
あるいは,428
顔,429
めん,430
会,431
切る,432
姓氏,433
思ふ,434
持つ,435
派,436
いい,437
白,438
夜,439
王,440
やる,441
かむ,442
二つ,443
見える,444
ので,445
地方,446
目的,447
社会,448
立てる,449
ガ,450
たま,451
しょく,452
生,453
玉,454
開く,455
連用形,456
海,457
高,458
布,459
文字,460
成立,461
根,462
気持ち,463
とく,464
大きな,465
がる,466
植物,467
うる,468
女性,469
イギリス,470
結ぶ,471
別,472
節,473
枝,474
人間,475
郡,476
組織,477
りん,478
流,479
そく,480
土地,481
役,482
悪い,483
鏡,484
和,485
まい,486
ちゃ,487
古今,488
狂言,489
生活,490
における,491
千,492
作,493
はい,494
きり,495
まま,496
土,497
神社,498
えい,499
中世,500
あげる,501
僧,502
説,503
諸,504
ひょう,505
設ける,506
位,507
すぐれる,508
思う,509
とり,510
首,511
仕事,512
車,513
雨,514
都,515
において,516
考える,517
にて,518
に関する,519
合,520
以降,521
てく,522
利用,523
島,524
づく,525
起こる,526
生じる,527
かつ,528
太平,529
側,530
存在,531
君,532
枕,533
姿,534
絵,535
世界,536
行,537
まつ,538
せん,539
助動詞,540
サ変,541
変化,542
都市,543
線,544
加える,545
区,546
い,547
ふう,548
空,549
物語,550
分,551
定める,552
ヲ,553
うん,554
初期,555
南,556
おる,557
客,558
つて,559
どく,560
はく,561
はる,562
もち,563
付ける,564
表,565
なか,566
式,567
つき,568
小さい,569
美しい,570
今,571
織る,572
時間,573
曲,574
あい,575
ひく,576
訓,577
位置,578
ひき,579
個,580
単位,581
らん,582
事件,583
衣,584
句,585
帯,586
ばい,587
院,588
すむ,589
にかけて,590
程度,591
座,592
物質,593
いと,594
発達,595
動物,596
こむ,597
子供,598
茎,599
経,600
一部,601
恋,602
びょう,603
分ける,604
南部,605
時代,606
いし,607
葡,608
柱,609
合う,610
滑稽本,611
引く,612
食べる,613
売る,614
初,615
行為,616
卵,617
小説,618
性質,619
明,620
系,621
詩,622
雲,623
もう,624
白色,625
らい,626
うい,627
クワイ,628
成る,629
毛,630
雪,631
ばかり,632
表面,633
ぢ,634
朝,635
しら,636
北,637
親,638
動作,639
薬,640
死ぬ,641
いふ,642
すべて,643
多数,644
必要,645
文章,646
しまう,647
伝える,648
くう,649
妻,650
伝,651
宮,652
実,653
師,654
敵,655
うまい,656
こそ,657
古代,658
昔,659
型,660
油,661
東,662
基づく,663
波,664
人々,665
号,666
髪,667
無,668
ども,669
たて,670
さき,671
設立,672
現象,673
各,674
州,675
鉄,676
意味,677
よる,678
称,679
枚,680
田,681
音楽,682
唐,683
両,684
全体,685
中期,686
屋,687
インド,688
くさい,689
城,690
機関,691
左,692
構成,693
角,694
事柄,695
最も,696
むら,697
影響,698
量,699
金属,700
使用,701
生える,702
模様,703
地域,704
裏,705
あし,706
差,707
我,708
日本書紀,709
ぎん,710
命,711
白い,712
行動,713
国家,714
ねる,715
吹く,716
へる,717
まだ,718
之,719
政治,720
異なる,721
能,722
たつ,723
自然,724
細い,725
銭,726
張る,727
香,728
着る,729
くれる,730
台,731
たけ,732
茶,733
なん,734
全長,735
学問,736
最初,737
低い,738
編,739
星,740
まく,741
現れる,742
まき,743
穴,744
柄,745
作品,746
器,747
あう,748
くろい,749
読む,750
刀,751
横,752
青,753
赤,754
期,755
腰,756
さらに,757
旧,758
くちる,759
草子,760
原産,761
建物,762
様,763
産,764
以後,765
縁,766
楽,767
雑誌,768
中央,769
相,770
多年草,771
けつ,772
合わせる,773
短い,774
罪,775
以外,776
進む,777
きょく,778
西,779
りつ,780
寝る,781
方向,782
内容,783
作用,784
重,785
歩く,786
ちん,787
住む,788
元,789
祭,790
拾遺,791
通称,792
つる,793
有名,794
段,795
考え,796
記す,797
つう,798
焼く,799
食用,800
羽,801
表現,802
ヨーロッパ,803
構造,804
腹,805
ダウ,806
互いに,807
きる,808
料理,809
矢,810
むし,811
乗る,812
歳,813
対象,814
態度,815
飲む,816
舞,817
装置,818
こん,819
端,820
北部,821
一般,822
学,823
薄い,824
ロシア,825
あく,826
発展,827
真,828
転じる,829
材,830
筆,831
がい,832
初め,833
夫,834
戸,835
立,836
漱石,837
組,838
鴎外,839
イタリア,840
です,841
どる,842
ゆく,843
制度,844
場,845
末,846
つつ,847
れん,848
宗,849
箱,850
しか,851
すう,852
続く,853
遠い,854
そこ,855
やすい,856
壁,857
栽培,858
にくい,859
学校,860
病気,861
うり,862
離れる,863
皮,864
らく,865
名詞,866
活動,867
肉,868
黒,869
みち,870
出,871
自由,872
あたり,873
ぼく,874
ゆき,875
次,876
テウ,877
そん,878
残す,879
骨,880
権,881
此,882
言語,883
らしい,884
内外,885
村,886
うける,887
はつ,888
柳,889
ずる,890
清,891
円,892
キロメートル,893
わら,894
大きい,895
官,896
盛ん,897
走る,898
バウ,899
省,900
タル,901
かぶる,902
るい,903
果実,904
平安時代,905
店,906
じゅん,907
後期,908
松,909
がた,910
問題,911
うし,912
左右,913
教育,914
わかる,915
たく,916
ゐる,917
軍,918
品,919
今昔,920
右,921
特定,922
輪,923
ぶす,924
発生,925
彼,926
形式,927
あたる,928
衣服,929
焼,930
蔵,931
網,932
至る,933
しょ,934
徳,935
道具,936
平,937
独立,938
袖,939
かき,940
古,941
死,942
通,943
古事記,944
細長い,945
降る,946
種類,947
会社,948
やう,949
伊勢,950
平安,951
公,952
立場,953
切,954
底,955
生まれる,956
橋,957
父,958
床,959
残る,960
ノ,961
文化,962
銀,963
雑,964
敬う,965
桜,966
させる,967
尾,968
それぞれ,969
末期,970
材料,971
ぬる,972
一方,973
求める,974
経済,975
耳,976
地位,977
弓,978
母,979
大きく,980
小さな,981
紅葉,982
さる,983
胸,984
むく,985
起こす,986
うた,987
回,988
狭い,989
説く,990
集まる,991
保,992
長さ,993
棒,994
殿,995
牛,996
やや,997
中部,998
相撲,999
かりる,1000
取引,1001
洒落本,1002
もる,1003
詩人,1004
額,1005
虫,1006
食,1007
掛,1008
でも,1009
つけ,1010
属する,1011
あま,1012
ごく,1013
ただ,1014
古い,1015
守る,1016
軽い,1017
国際,1018
夢,1019
浮世,1020
づける,1021
娘,1022
激しい,1023
管,1024
商品,1025
徒然,1026
機械,1027
ワ,1028
始める,1029
つぎ,1030
例,1031
認める,1032
言い方,1033
新しい,1034
梅,1035
等,1036
祖,1037
背,1038
仏教,1039
藤原,1040
みょう,1041
奈良,1042
巻く,1043
建築,1044
利益,1045
あら,1046
集める,1047
はじめ,1048
新聞,1049
ほしい,1050
くに,1051
みつ,1052
漢,1053
わく,1054
肩,1055
抄,1056
熱,1057
結果,1058
思想,1059
部屋,1060
カラー,1061
入,1062
振る,1063
職,1064
でる,1065
林,1066
群,1067
コウ,1068
始まる,1069
理論,1070
律令制,1071
書物,1072
和歌,1073
主義,1074
文学,1075
上げる,1076
文書,1077
ぐち,1078
区別,1079
不,1080
直接,1081
ハウ,1082
に対し,1083
当たる,1084
男女,1085
眼,1086
日記,1087
おおう,1088
そのよう,1089
候,1090
動く,1091
おり,1092
しま,1093
塩,1094
壺,1095
あきる,1096
体長,1097
形成,1098
湯,1099
えむ,1100
リウ,1101
能力,1102
しゃく,1103
変わる,1104
感,1105
血,1106
送る,1107
防ぐ,1108
野球,1109
早い,1110
おもい,1111
政府,1112
野,1113
少ない,1114
重要,1115
義,1116
落,1117
反応,1118
基礎,1119
いむ,1120
番,1121
歯,1122
法律,1123
どの,1124
漢字,1125
こく,1126
鎌倉,1127
のり,1128
ぼん,1129
大学,1130
金銭,1131
黄色,1132
うすい,1133
塗る,1134
落ちる,1135
述べる,1136
キウ,1137
正,1138
流れる,1139
まる,1140
北海道,1141
おし,1142
ふじ,1143
原因,1144
原料,1145
形容詞,1146
質,1147
かす,1148
将軍,1149
ちく,1150
なみ,1151
殺す,1152
発見,1153
殻,1154
染,1155
ごろ,1156
少し,1157
其,1158
制,1159
経る,1160
主張,1161
本部,1162
いや,1163
筋,1164
そのもの,1165
ラテン,1166
変える,1167
権利,1168
機,1169
流す,1170
大正,1171
工業,1172
記号,1173
ちょ,1174
小説家,1175
病,1176
あん,1177
かう,1178
太い,1179
打,1180
弁,1181
雄,1182
接尾,1183
最後,1184
液体,1185
そば,1186
まつり,1187
集団,1188
いせる,1189
くじ,1190
しも,1191
数える,1192
綱,1193
付近,1194
政治家,1195
活躍,1196
ラウ,1197
同,1198
散る,1199
縄,1200
除く,1201
自動車,1202
舟,1203
若い,1204
近い,1205
ぽい,1206
行なう,1207
ふん,1208
判断,1209
業,1210
添える,1211
身分,1212
あか,1213
くし,1214
帰る,1215
称す,1216
失う,1217
学ぶ,1218
映画,1219
以下,1220
手紙,1221
指,1222
教,1223
本名,1224
代表作,1225
あつい,1226
びん,1227
仕える,1228
安,1229
私,1230
逆,1231
非常に,1232
戦争,1233
はかる,1234
発する,1235
鬼,1236
屋根,1237
くら,1238
まち,1239
及ぶ,1240
つり,1241
本来,1242
種々,1243
あわせる,1244
もので,1245
機能,1246
籠,1247
同源,1248
逍遥,1249
おい,1250
特別,1251
風呂,1252
ガラス,1253
はっきり,1254
版,1255
分かれる,1256
岩,1257
有,1258
飯,1259
打ち消し,1260
涙,1261
社,1262
うじ,1263
しく,1264
印,1265
掛ける,1266
つかさどる,1267
財産,1268
世間,1269
儀式,1270
未詳,1271
札,1272
へん,1273
感じる,1274
半,1275
制定,1276
支配,1277
自生,1278
かも,1279
内部,1280
尺,1281
図版,1282
朝鮮,1283
げき,1284
三つ,1285
かし,1286
あみ,1287
付,1288
宇治,1289
じき,1290
唱える,1291
年刊,1292
楕円形,1293
シ,1294
像,1295
庭,1296
史,1297
犬,1298
露,1299
向かう,1300
後ろ,1301
押す,1302
うむ,1303
しる,1304
遊女,1305
対,1306
程,1307
紋,1308
終わる,1309
袋,1310
ひん,1311
紅,1312
記録,1313
様子,1314
黄,1315
本州,1316
正月,1317
ころ,1318
事業,1319
味,1320
やす,1321
去る,1322
基準,1323
片,1324
精神,1325
一般に,1326
宿,1327
流れ,1328
込む,1329
わり,1330
今日,1331
幕府,1332
折,1333
がたい,1334
切り,1335
大和,1336
紫,1337
団体,1338
太陽,1339
年間,1340
条件,1341
さし,1342
ずつ,1343
窓,1344
いぬ,1345
丸,1346
地名,1347
宇津,1348
帝,1349
生産,1350
