WORD,FREQUENCY_RANKING
の,1
、,2
。,3
</s>,4
<s>,5
を,6
は,7
に,8
た,9
が,10
て,11
　,12
で,13
し,14
する,15
「,16
」,17
と,18
）,19
（,20
も,21
いる,22
・,23
日,24
から,25
ない,26
な,27
だ,28
こと,29
など,30
さ,31
れ,32
れる,33
年,34
か,35
や,36
日本,37
人,38
なっ,39
なる,40
ある,41
い,42
この,43
円,44
―,45
ため,46
まで,47
という,48
さん,49
へ,50
一,51
よう,52
氏,53
二,54
同,55
東京,56
ば,57
三,58
％,59
その,60
だっ,61
問題,62
＝,63
的,64
について,65
いう,66
１,67
これ,68
２,69
もの,70
約,71
う,72
です,73
者,74
市,75
３,76
時,77
首相,78
四,79
大統領,80
だけ,81
ます,82
き,83
くる,84
政府,85
会,86
回,87
ら,88
経済,89
しかし,90
政治,91
分,92
たい,93
米国,94
五,95
区,96
中,97
県,98
また,99
国,100
各,101
昨年,102
【,103
】,104
第,105
ず,106
ぬ,107
長,108
歳,109
あっ,110
化,111
なかっ,112
側,113
られ,114
られる,115
よる,116
会議,117
改革,118
新,119
自民党,120
世界,121
派,122
午後,123
十,124
なく,125
会長,126
…,127
”,128
“,129
それ,130
国際,131
大,132
できる,133
４,134
による,135
関係,136
六,137
前,138
会社,139
企業,140
代表,141
七,142
事件,143
選挙,144
だろ,145
女性,146
私,147
午前,148
政権,149
調査,150
今年,151
目,152
出,153
出る,154
八,155
おり,156
おる,157
都,158
べき,159
べし,160
議員,161
５,162
まし,163
国連,164
今回,165
ながら,166
九,167
以上,168
お,169
中国,170
間,171
国民,172
部,173
たち,174
なり,175
さらに,176
行わ,177
行う,178
米,179
軍,180
後,181
時代,182
より,183
ところ,184
法,185
自分,186
社会,187
明らか,188
現在,189
ソ連,190
町,191
東,192
ロシア,193
ん,194
全国,195
政策,196
発表,197
大会,198
場合,199
内,200
性,201
６,202
』,203
『,204
元,205
中心,206
協力,207
あり,208
活動,209
環境,210
金,211
そう,212
写真,213
市場,214
社会党,215
初めて,216
国会,217
社長,218
子供,219
に対し,220
◇,221
委員長,222
時間,223
記者,224
生活,225
ので,226
今後,227
いく,228
情報,229
地域,230
委員会,231
でき,232
党,233
受け,234
受ける,235
７,236
せ,237
せる,238
選手,239
声,240
交渉,241
今,242
大学,243
メートル,244
▽,245
１０,246
テレビ,247
たら,248
案,249
開発,250
選,251
どう,252
方針,253
たり,254
に対する,255
副,256
戦争,257
うち,258
多い,259
制度,260
会談,261
ほど,262
ね,263
監督,264
アジア,265
思う,266
大阪,267
韓国,268
病院,269
衆院,270
ドル,271
なけれ,272
キロ,273
国内,274
二十,275
示し,276
示す,277
ほか,278
子,279
力,280
協議,281
計画,282
０,283
位,284
多く,285
カ月,286
外相,287
なら,288
中央,289
首脳,290
必要,291
いい,292
入っ,293
入る,294
よ,295
大きな,296
資金,297
団体,298
８,299
社,300
年間,301
以来,302
研究,303
平和,304
十五,305
十一,306
話,307
北朝鮮,308
地,309
率,310
み,311
みる,312
幹部,313
イラク,314
事業,315
式,316
点,317
同じ,318
作品,319
団,320
対策,321
旧,322
強い,323
決め,324
決める,325
候補,326
男,327
特別,328
影響,329
十二,330
可能性,331
英,332
理事,333
見,334
見る,335
によって,336
求め,337
求める,338
二人,339
建設,340
当時,341
意見,342
行っ,343
銀行,344
対象,345
欧州,346
貿易,347
電話,348
ぶり,349
景気,350
予定,351
思っ,352
員,353
予算,354
にとって,355
支援,356
最高,357
割,358
ごろ,359
９,360
協会,361
教授,362
三十,363
宮沢,364
両,365
とともに,366
映画,367
年度,368
参院,369
手,370
姿勢,371
議長,372
方,373
容疑者,374
一つ,375
状況,376
言っ,377
言う,378
家,379
本部,380
最大,381
わけ,382
価格,383
制,384
自宅,385
理由,386
諸,387
内容,388
上,389
一方,390
指摘,391
戦,392
日本人,393
技術,394
近く,395
参加,396
チーム,397
言葉,398
？,399
ませ,400
審議,401
しか,402
証券,403
持っ,404
持つ,405
機関,406
もう,407
強調,408
教育,409
組織,410
考え,411
述べ,412
述べる,413
結果,414
最近,415
総裁,416
法案,417
まま,418
渡辺,419
新聞,420
責任,421
関連,422
連合,423
