WORD,FREQUENCY_RANKING
て,1
の,2
だ,3
と,4
に,5
は,6
が,7
えー,8
言う,9
ます,10
を,11
た,12
の,13
です,14
為る,15
も,16
で,17
あの,18
まー,19
事,20
有る,21
で,22
か,23
ね,24
って,25
居る,26
けれど,27
其れ,28
か,29
成る,30
てる,31
ない,32
から,33
其の,34
様,35
此の,36
此れ,37
れる,38
思う,39
そう,40
物,41
無い,42
えーと,43
と,44
が,45
行く,46
あー,47
その,48
何,49
こう,50
的,51
一,52
来る,53
見る,54
もう,55
御,56
んー,57
私,58
から,59
出来る,60
時,61
つ,62
人,63
な,64
遣る,65
一寸,66
二,67
良い,68
おー,69
られる,70
ず,71
居る,72
所,73
矢張り,74
訳,75
風,76
方,77
考える,78
今,79
どう,80
まで,81
ば,82
よ,83
たり,84
たい,85
中,86
因る,87
後,88
分かる,89
三,90
場合,91
年,92
自分,93
つく,94
くらい,95
此処,96
語,97
其処,98
さん,99
日本,100
仕舞う,101
使う,102
うー,103
うん,104
十,105
持つ,106
だけ,107
出る,108
一,109
行う,110
先ず,111
非常,112
凄い,113
本当,114
五,115
達,116
者,117
四,118
作る,119
結果,120
又,121
し,122
時間,123
取る,124
例えば,125
対する,126
そして,127
為,128
や,129
於く,130
研究,131
次,132
化,133
問題,134
入る,135
話,136
など,137
音声,138
頂く,139
多い,140
二十,141
書く,142
聞く,143
形,144
一番,145
前,146
性,147
意味,148
目,149
いー,150
良く,151
情報,152
子供,153
致す,154
方,155
データ,156
皆,157
せる,158
此方,159
以上,160
方,161
先程,162
モデル,163
より,164
単語,165
度,166
用いる,167
さ,168
実際,169
感じ,170
ちゃう,171
関係,172
同じ,173
部分,174
説明,175
六,176
実験,177
みたい,178
余り,179
等,180
文,181
学習,182
私,183
へ,184
高い,185
内,186
関する,187
認識,188
数,189
ながら,190
御座る,191
或いは,192
話す,193
点,194
二,195
呉れる,196
結構,197
貰う,198
大きい,199
言語,200
回,201
先生,202
必要,203
学校,204
言葉,205
違う,206
評価,207
色んな,208
はい,209
方法,210
又,211
八,212
迚も,213
大体,214
色々,215
知る,216
第,217
或る,218
上,219
示す,220
人,221
気,222
最初,223
ＤＮＡ,224
今回,225
出す,226
人,227
宇宙,228
上げる,229
そんな,230
システム,231
なんか,232
例,233
と,234
得る,235
大学,236
表現,237
×,238
仕事,239
人間,240
状態,241
率,242
可成,243
日,244
番,245
発表,246
付ける,247
話者,248
他,249
パーセント,250
少し,251
頃,252
何処,253
時代,254
三十,255
発話,256
入れる,257
生活,258
其々,259
九,260
終わる,261
何の,262
何時,263
．,264
生,265
食べる,266
分析,267
特に,268
千,269
音,270
特徴,271
変わる,272
音,273
最後,274
詰まり,275
七,276
知れる,277
小さい,278
住む,279
何,280
変化,281
下さる,282
付く,283
実,284
掛ける,285
御,286
僕,287
表わす,288
ほど,289
最近,290
しか,291
好き,292
法,293
物,294
百,295
比較,296
構造,297
ゼロ,298
英語,299
未だ,300
可能,301
ええ,302
殆ど,303
三,304
社会,305
読む,306
会社,307
昔,308
程度,309
値,310
月,311
大きな,312
基本,313
然し,314
家,315
条件,316
友達,317
現在,318
長い,319
間,320
××,321
トウキョウ,322
普通,323
全て,324
各,325
全部,326
一人,327
所,328
ずっと,329
沢山,330
今度,331
唯,332
分,333
つう,334
別,335
五十,336
侭,337
本,338
調査,339
目的,340
万,341
内容,342
町,343
返る,344
掛かる,345
型,346
所謂,347
教育,348
買う,349
結局,350
利用,351
一緒,352
四十,353
勿論,354
我々,355
差,356
呼ぶ,357
多分,358
テーマ,359
乗る,360
り,361
少ない,362
影響,363
一応,364
母音,365
悪い,366
下,367
パターン,368
受ける,369
始める,370
与える,371
感ずる,372
時,373
全然,374
九百,375
簡単,376
子,377
タイトル,378
全体,379
本,380
こんな,381
量,382
今日,383
周波,384
なんて,385
処理,386
図,387
ページ,388
被験,389
ちゃん,390
九十,391
計算,392
一般,393
式,394
中々,395
状況,396
対象,397
重要,398
遺伝,399
手法,400
てく,401
存在,402
場所,403
世界,404
上,405
検索,406
種類,407
彼れ,408
楽しい,409
生きる,410
個,411
当時,412
不,413
解析,414
平均,415
置く,416
知識,417
歳,418
学,419
残る,420
もっと,421
抽出,422
辺,423
子,424
選ぶ,425
らしい,426
強い,427
名詞,428
環境,429
見える,430
女性,431
中,432
分布,433
全く,434
対応,435
アクセント,436
旨い,437
電話,438
直ぐ,439
名,440
易い,441
述べる,442
どんどん,443
逆,444
小,445
目,446
求める,447
六十,448
気持ち,449
部,450
アメリカ,451
選択,452
金,453
何故,454
値,455
提案,456
高校,457
難しい,458
含む,459
会,460
彼,461
確率,462
手,463
機能,464
早い,465
日,466
二人,467
位置,468
推定,469
駅,470
使用,471
通り,472
誰,473
更に,474
近い,475
丁度,476
分類,477
先,478
経験,479
元,480
刺激,481
傾向,482
要する,483
必ず,484
若し,485
検討,486
水,487
相手,488
調べる,489
切る,490
確認,491
違い,492
体,493
島,494
木,495
どんな,496
新しい,497
低い,498
具体,499
名前,500
家族,501
効果,502
歩く,503
合う,504
面白い,505
ソウ,506
世紀,507
テレビ,508
代,509
××,510
レベル,511
表,512
大変,513
車,514
対話,515
奇麗,516
音楽,517
歴史,518
初めて,519
グループ,520
何方,521
段階,522
親,523
市,524
段々,525
八十,526
勉強,527
幾,528
箇月,529
生成,530
旅行,531
入力,532
音節,533
声,534
約,535
自身,536
構成,537
数,538
七十,539
円,540
テキスト,541
県,542
課題,543
覚える,544
提示,545
大,546
間,547
館,548
パラメーター,549
文章,550
始まる,551
飲む,552
比べる,553
非,554
生まれる,555
中心,556
兎に角,557
今後,558
無人,559
判断,560
方向,561
毎,562
定義,563
以外,564
動詞,565
個人,566
活動,567
国,568
理解,569
心,570
べし,571
教える,572
意識,573
作成,574
単位,575
精度,576
纏める,577
×××,578
済む,579
色々,580
犬,581
関連,582
続く,583
のみ,584
詞,585
大事,586
グラフ,587
学生,588
毎日,589
自動,590
起こる,591
印象,592
文字,593
そう,594
美味しい,595
自然,596
音響,597
映画,598
年間,599
様,600
絶対,601
車,602
異なる,603
機,604
初め,605
従来,606
過ぎる,607
母,608
××××,609
新聞,610
文化,611
距離,612
側,613
雑音,614
一体,615
語彙,616
昨日,617
従う,618
地域,619
国語,620
零,621
クラス,622
空間,623
ばかり,624
彼女,625
時期,626
分ける,627
ユーザー,628
形,629
概念,630
欲しい,631
周り,632
文法,633
項目,634
上がる,635
要約,636
そんな,637
所,638
近く,639
音素,640
資料,641
有名,642
テスト,643
行動,644
現われる,645
より,646
報告,647
変える,648
指導,649
××,650
決定,651
屋,652
内,653
残す,654
ワード,655
要素,656
彼の,657
線,658
当たる,659
申し上げる,660
当然,661
店,662
運動,663
一杯,664
決める,665
遊ぶ,666
ピッチ,667
何れ,668
発見,669
合成,670
設定,671
理由,672
会う,673
頭,674
最大,675
イメージ,676
キー,677
働く,678
多く,679
扱う,680
講演,681
二百,682
ルール,683
変換,684
山,685
男性,686
記述,687
ワン,688
コーパス,689
発声,690
増える,691
自体,692
紹介,693
朝,694
基づく,695
人生,696
同時,697
関数,698
続ける,699
夜,700
感,701
本,702
並べる,703
興味,704
属性,705
用,706
願う,707
以下,708
嬉しい,709
止める,710
若い,711
連れる,712
立つ,713
授業,714
申す,715
病院,716
自由,717
次元,718
辺り,719
ずつ,720
割と,721
ニュース,722
技術,723
開発,724
為さる,725
基準,726
ううん,727
際,728
取り敢えず,729
父,730
質問,731
難い,732
無くなる,733
後,734
喋る,735
参る,736
形式,737
海,738
顔,739
系,740
最も,741
年,742
面,743
大変,744
練習,745
さす,746
丸,747
方言,748
答える,749
正解,750
関わる,751
力,752
口紅,753
結婚,754
捕らえる,755
人々,756
ちゃんと,757
友人,758
日,759
解釈,760
同じ,761
論,762
御覧,763
料理,764
起きる,765
辞書,766
予測,767
健康,768
変数,769
最終,770
期待,771
大切,772
成分,773
急度,774
分,775
直接,776
規則,777
部屋,778
プラス,779
さっき,780
他,781
戻る,782
子音,783
事例,784
加える,785
データーベース,786
忘れる,787
×,788
同様,789
次,790
頻度,791
随分,792
文節,793
計画,794
タイプ,795
うんと,796
走る,797
更に,798
寝る,799
いらっしゃる,800
セット,801
考察,802
両方,803
あっ,804
年齢,805
カテゴリー,806
明らか,807
チュウゴク,808
客,809
隣り,810
正しい,811
会話,812
進む,813
動く,814
節,815
作業,816
場,817
辛い,818
特性,819
短い,820
取れる,821
女の子,822
共通,823
然も,824
記事,825
外国,826
事件,827
フレーム,828
母,829
死ぬ,830
フランス,831
嫌,832
略,833
書,834
ベース,835
力,836
エージェント,837
楽しむ,838
地球,839
唯,840
区,841
見せる,842
様々,843
句,844
共,845
観測,846
複数,847
及び,848
絵,849
広い,850
群,851
反応,852
話題,853
単純,854
奴,855
経つ,856
適応,857
安い,858
移動,859
動物,860
将来,861
引く,862
知覚,863
スペクトル,864
一生,865
川,866
クラスター,867
誤り,868
送る,869
相関,870
姿,871
島,872
形容,873
括弧,874
慣れる,875
地,876
頑張る,877
ベクトル,878
用意,879
形態,880
ツー,881
合わせる,882
区間,883
繰り返す,884
疑問,885
難い,886
貴方,887
似る,888
一致,889
背景,890
要因,891
駄目,892
測定,893
集,894
含める,895
過去,896
電車,897
はっきり,898
外,899
とく,900
後ろ,901
コミュニケーション,902
適用,903
等,904
選手,905
思い,906
道,907
主人,908
能力,909
重み,910
させる,911
期,912
数,913
字,914
猫,915
先行,916
但し,917
タスク,918
昭和,919
歌,920
専門,921
分割,922
長,923
元気,924
週間,925
決まる,926
即ち,927
現象,928
翻訳,929
出力,930
確か,931
原因,932
主義,933
口,934
文書,935
信号,936
企業,937
記憶,938
マイナス,939
流れ,940
探す,941
去年,942
作品,943
過程,944
仮説,945
小さな,946
図書,947
試験,948
夏,949
××,950
代表,951
理論,952
色,953
思い出,954
物凄い,955
分野,956
不思議,957
写真,958
バス,959
わ,960
ホテル,961
家,962
参加,963
有効,964
注意,965
広がる,966
偶々,967
聞こえる,968
動作,969
其方,970
戦争,971
類似,972
出現,973
制約,974
感情,975
野球,976
中学,977
借りる,978
意見,979
売る,980
発音,981
目標,982
ゲノム,983
候補,984
集合,985
形,986
特定,987
通す,988
海外,989
こそ,990
二千,991
何々,992
今年,993
心理,994
女子,995
怖い,996
過ごす,997
終わり,998
経済,999
格,1000
連続,1001
否,1002
通う,1003
コンピューター,1004
足,1005
枚,1006
割,1007
から,1008
家庭,1009
モーラ,1010
付け,1011
一部,1012
永遠,1013
スポーツ,1014
深い,1015
議論,1016
自己,1017
時点,1018
重,1019
メール,1020
向こう,1021
機械,1022
食事,1023
考慮,1024
注目,1025
落ちる,1026
病気,1027
保険,1028
立てる,1029
商品,1030
曲,1031
歌う,1032
聴覚,1033
離れる,1034
五百,1035
範囲,1036
進める,1037
既に,1038
詳しい,1039
スコア,1040
指摘,1041
無,1042
依存,1043
仕様,1044
母親,1045
観察,1046
場面,1047
完全,1048
回る,1049
途中,1050
ＨＭＭ,1051
列,1052
統計,1053
以前,1054
回答,1055
アルゴリズム,1056
実現,1057
存ずる,1058
見付ける,1059
パソコン,1060
待つ,1061
膨張,1062
グラム,1063
構築,1064
集める,1065
氏,1066
教師,1067
飛行,1068
複合,1069
ふん,1070
速度,1071
後,1072
有意,1073
立場,1074
元々,1075
公園,1076
係数,1077
領域,1078
困る,1079
新,1080
互い,1081
男,1082
無し,1083
未だ未だ,1084
バイオ,1085
科,1086
魚,1087
懸命,1088
一昨日,1089
左,1090
解決,1091
精神,1092
検査,1093
花,1094
起こす,1095
番組,1096
場,1097
改善,1098
通る,1099
取り上げる,1100
生ずる,1101
右,1102
行為,1103
悲しい,1104
細かい,1105
是非,1106
用法,1107
最適,1108
標準,1109
素,1110
論文,1111
纏め,1112
雑誌,1113
設計,1114
自転,1115
価値,1116
方式,1117
はあ,1118
九,1119
表示,1120
三百,1121
体系,1122
恐らく,1123
娘,1124
筈,1125
仕方,1126
集まる,1127
層,1128
現実,1129
限る,1130
火,1131
下がる,1132
便利,1133
古い,1134
向かう,1135
地方,1136
再,1137
キロ,1138
仮定,1139
ノード,1140
認知,1141
振り返る,1142
店,1143
園,1144
動き,1145
上る,1146
成す,1147
主に,1148
教科,1149
観点,1150
集団,1151
倍,1152
固有,1153
七,1154
ポイント,1155
オオサカ,1156
中,1157
分かれる,1158
半,1159
多少,1160
秒,1161
教材,1162
夢,1163
常,1164
ビール,1165
箇所,1166
認める,1167
打つ,1168
音韻,1169
らしい,1170
要求,1171
一方,1172
現代,1173
獲得,1174
自然,1175
飼う,1176
きちんと,1177
着く,1178
訓練,1179
通常,1180
話し言葉,1181
分,1182
科学,1183
びっくり,1184
道具,1185
検出,1186
酒,1187
半分,1188
用語,1189
横軸,1190
性能,1191
感覚,1192
発生,1193
役割,1194
越える,1195
表記,1196
伝える,1197
高,1198
心,1199
線,1200
普段,1201
尺度,1202
治療,1203
大会,1204
予稿,1205
女,1206
生徒,1207
音源,1208
ミリセカンド,1209
合い,1210
大人,1211
韻律,1212
事実,1213
納得,1214
真ん中,1215
信頼,1216
最小,1217
一方,1218
成る程,1219
未来,1220
変,1221
卒業,1222
体験,1223
繋がる,1224
探索,1225
関心,1226
調音,1227
未知,1228
素晴らしい,1229
同士,1230
十分,1231
インターネット,1232
敬語,1233
接続,1234
父親,1235
意志,1236
近所,1237
漢字,1238
幅,1239
ライン,1240
可愛い,1241
リスト,1242
思い出す,1243
助詞,1244
若干,1245
ストレス,1246
切っ掛け,1247
機会,1248
日常,1249
楽しみ,1250
性格,1251
共,1252
伴う,1253
向上,1254
反対,1255
室,1256
ゲーム,1257
若しくは,1258
展開,1259
実践,1260
主,1261
結論,1262
否定,1263
ドイツ,1264
流れる,1265
亡くなる,1266
着る,1267
国際,1268
組み合わせ,1269
少年,1270
並ぶ,1271
寒い,1272
御前,1273
つつ,1274
両親,1275
乗せる,1276
政治,1277
何れ,1278
移る,1279
縦軸,1280
フィルター,1281
タグ,1282
制御,1283
談話,1284
漸と,1285
四百,1286
パン,1287
フォルマント,1288
意図,1289
残念,1290
婆,1291
体,1292
街,1293
物,1294
減る,1295
行列,1296
器,1297
発展,1298
上昇,1299
因子,1300
受験,1301
試合,1302
指示,1303
二三,1304
考え,1305
耳,1306
味,1307
区別,1308
医者,1309
ああ,1310
ネットワーク,1311
不安,1312
ヘルツ,1313
ウェブ,1314
船,1315
携帯,1316
キョウト,1317
イギリス,1318
前後,1319
同一,1320
数字,1321
限り,1322
渡る,1323
境界,1324
五,1325
ヨーロッパ,1326
都市,1327
古代,1328
正答,1329
身,1330
段,1331
準備,1332
記号,1333
大,1334
文脈,1335
危ない,1336
周辺,1337
大丈夫,1338
前提,1339
様子,1340
波形,1341
ボール,1342
以降,1343
管理,1344
極く,1345
厳しい,1346
尤度,1347
割合,1348
御飯,1349
心配,1350
赤い,1351
プロ,1352
国民,1353
通ずる,1354
暮らす,1355
父,1356
可笑しい,1357
導入,1358
修飾,1359
形成,1360
発する,1361
雰囲気,1362
困難,1363
全,1364
横,1365
触れる,1366
障害,1367
操作,1368
観,1369
無声,1370
期間,1371
メートル,1372
泣く,1373
一定,1374
者,1375
真,1376
有声,1377
スキー,1378
主張,1379
間,1380
台,1381
の,1382
食べ物,1383
構文,1384
守る,1385
直す,1386
性質,1387
教室,1388
分散,1389
緑,1390
規模,1391
サービス,1392
複雑,1393
払う,1394
記録,1395
支援,1396
田舎,1397
識別,1398
御免,1399
馬,1400
痛い,1401
開く,1402
ホーム,1403
コスト,1404
確り,1405
無理,1406
狭い,1407
役,1408
塵,1409
格好,1410
趣味,1411
論理,1412
寂しい,1413
員,1414
品,1415
総合,1416
独立,1417
番号,1418
取り出す,1419
常識,1420
雨,1421
勝手,1422
類,1423
国家,1424
向ける,1425
宜しく,1426
品詞,1427
ソフト,1428
ピアノ,1429
ピーク,1430
本来,1431
学ぶ,1432
組織,1433
正規,1434
国,1435
プログラム,1436
想像,1437
差す,1438
溢れる,1439
階層,1440
戦後,1441
寿命,1442
順番,1443
発達,1444
社,1445
センチ,1446
整理,1447
就職,1448
親密,1449
間違う,1450
組,1451
作用,1452
件,1453
食,1454
適切,1455
至る,1456
習う,1457
喜ぶ,1458
述語,1459
へえ,1460
タバコ,1461
止まる,1462
登録,1463
素人,1464
提供,1465
育つ,1466
冬,1467
世の中,1468
安定,1469
韓国,1470
成る可く,1471
混合,1472
チーム,1473
赤,1474
代わり,1475
奥,1476
増加,1477
大分,1478
育てる,1479
