WORD,FREQUENCY_RANKING
の,1
と,2
て,3
えー,4
だ,5
に,6
ます,7
を,8
は,9
為る,10
が,11
言う,12
た,13
です,14
の,15
で,16
まー,17
事,18
も,19
有る,20
で,21
あの,22
此の,23
居る,24
様,25
えーと,26
此れ,27
成る,28
れる,29
から,30
物,31
其れ,32
が,33
か,34
的,35
か,36
其の,37
ね,38
けれど,39
と,40
って,41
あー,42
てる,43
ない,44
その,45
一,46
つ,47
無い,48
見る,49
こう,50
られる,51
二,52
場合,53
思う,54
居る,55
因る,56
考える,57
そう,58
出来る,59
おー,60
つく,61
此処,62
風,63
行う,64
行く,65
語,66
結果,67
方,68
訳,69
三,70
来る,71
ず,72
音声,73
研究,74
対する,75
んー,76
者,77
使う,78
於く,79
一寸,80
先ず,81
化,82
どう,83
ば,84
遣る,85
データ,86
所,87
一,88
四,89
用いる,90
分かる,91
単語,92
モデル,93
十,94
中,95
時,96
五,97
性,98
情報,99
うー,100
致す,101
何,102
文,103
実験,104
問題,105
次,106
例えば,107
たい,108
学習,109
又,110
から,111
良い,112
先程,113
まで,114
数,115
認識,116
もう,117
此方,118
為,119
御,120
評価,121
言語,122
時間,123
だけ,124
意味,125
や,126
示す,127
日本,128
部分,129
関係,130
関する,131
非常,132
出る,133
そして,134
今,135
×,136
頂く,137
度,138
説明,139
形,140
実際,141
方法,142
システム,143
持つ,144
点,145
後,146
話者,147
表現,148
例,149
発話,150
率,151
其処,152
目,153
など,154
書く,155
今回,156
二,157
取る,158
発表,159
年,160
人,161
分析,162
等,163
第,164
せる,165
六,166
同じ,167
高い,168
得る,169
．,170
以上,171
或いは,172
いー,173
音,174
パーセント,175
仕舞う,176
特徴,177
二十,178
構造,179
さ,180
くらい,181
何の,182
作る,183
其々,184
八,185
ゼロ,186
値,187
必要,188
表わす,189
××,190
大きい,191
方,192
法,193
比較,194
より,195
本,196
多い,197
九,198
変化,199
条件,200
可能,201
御座る,202
各,203
番,204
矢張り,205
調査,206
詰まり,207
七,208
上,209
話,210
周波,211
状態,212
被験,213
手法,214
り,215
目的,216
パターン,217
或る,218
検索,219
一番,220
音,221
処理,222
上げる,223
差,224
解析,225
抽出,226
計算,227
分布,228
へ,229
対象,230
基本,231
私,232
母音,233
聞く,234
図,235
平均,236
アクセント,237
言葉,238
型,239
値,240
名詞,241
三十,242
さん,243
違う,244
提案,245
確率,246
量,247
ページ,248
付ける,249
程度,250
内容,251
推定,252
回,253
全体,254
与える,255
たり,256
な,257
入る,258
我々,259
前,260
知識,261
最初,262
全て,263
利用,264
百,265
選択,266
大体,267
