WORD,FREQUENCY_RANKING
て,1
だ,2
の,3
と,4
に,5
の,6
た,7
は,8
です,9
が,10
言う,11
も,12
を,13
ます,14
為る,15
えー,16
あの,17
で,18
まー,19
か,20
ね,21
事,22
って,23
けれど,24
で,25
有る,26
てる,27
其れ,28
ない,29
居る,30
思う,31
其の,32
か,33
成る,34
そう,35
行く,36
無い,37
から,38
何,39
もう,40
様,41
と,42
私,43
御,44
れる,45
その,46
物,47
来る,48
が,49
こう,50
此れ,51
な,52
んー,53
人,54
時,55
あー,56
から,57
矢張り,58
一,59
見る,60
良い,61
たり,62
えーと,63
遣る,64
此の,65
自分,66
今,67
一寸,68
出来る,69
よ,70
後,71
所,72
くらい,73
凄い,74
さん,75
たい,76
ず,77
本当,78
ば,79
年,80
まで,81
中,82
仕舞う,83
的,84
訳,85
し,86
其処,87
おー,88
方,89
どう,90
達,91
日本,92
つ,93
持つ,94
二,95
風,96
出る,97
だけ,98
うー,99
作る,100
居る,101
られる,102
非常,103
考える,104
三,105
子供,106
分かる,107
入る,108
十,109
取る,110
話,111
皆,112
感じ,113
方,114
前,115
呉れる,116
迚も,117
良く,118
ちゃう,119
みたい,120
一,121
時間,122
多い,123
一番,124
使う,125
そして,126
聞く,127
結構,128
や,129
又,130
私,131
先ず,132
学校,133
内,134
五,135
など,136
そんな,137
仕事,138
為,139
頃,140
ながら,141
又,142
気,143
余り,144
色んな,145
食べる,146
なんか,147
色々,148
二十,149
方,150
話す,151
生活,152
例えば,153
知る,154
へ,155
人,156
四,157
貰う,158
僕,159
住む,160
日,161
さ,162
いー,163
好き,164
回,165
因る,166
友達,167
会社,168
人,169
終わる,170
せる,171
人間,172
以上,173
出す,174
入れる,175
町,176
つく,177
目,178
大体,179
先生,180
何,181
此処,182
物,183
頂く,184
大学,185
うん,186
返る,187
書く,188
最初,189
形,190
より,191
家,192
者,193
可成,194
買う,195
御座る,196
月,197
生,198
一人,199
時代,200
と,201
次,202
ずっと,203
違う,204
最近,205
知れる,206
場合,207
何時,208
テーマ,209
つう,210
問題,211
何処,212
上げる,213
