WORD,FREQUENCY_RANKING
だ,1
は,2
て,3
の,4
た,5
が,6
の,7
に,8
為る,9
か,10
と,11
ＤＮＡ,12
宇宙,13
有る,14
です,15
って,16
居る,17
言う,18
成る,19
を,20
事,21
其れ,22
で,23
ない,24
まで,25
な,26
遺伝,27
子,28
分かる,29
そう,30
も,31
ます,32
れる,33
から,34
此れ,35
か,36
昨日,37
何時,38
どう,39
何,40
ね,41
達,42
口紅,43
私,44
様,45
人,46
年,47
より,48
因る,49
二十,50
来る,51
けれど,52
的,53
其処,54
よ,55
並べる,56
ゲノム,57
貰う,58
小さい,59
ちゃう,60
膨張,61
持つ,62
日,63
永遠,64
から,65
つく,66
先生,67
ちゃん,68
バイオ,69
昔,70
一体,71
方,72
発見,73
一昨日,74
何処,75
えー,76
んー,77
あー,78
無い,79
二,80
思う,81
今日,82
此の,83
だけ,84
られる,85
言葉,86
たり,87
等,88
館,89
未だ未だ,90
つ,91
仕舞う,92
以上,93
ず,94
気,95
千,96
行く,97
中,98
皆,99
今,100
納得,101
説明,102
変わる,103
一,104
存在,105
期待,106
時,107
広がる,108
変化,109
然し,110
計画,111
観測,112
不思議,113
始まる,114
治療,115
響き,116
去年,117
生きる,118
急度,119
或る,120
生,121
実,122
答える,123
随分,124
元気,125
未来,126
将来,127
疑問,128
素人,129
引き締まる,130
九百,131
体,132
隣り,133
図書,134
徹底,135
老化,136
知る,137
一寸,138
聞く,139
生まれる,140
姿,141
危ない,142
真,143
寿命,144
ギリシャ,145
組み替え,146
天体,147
どんな,148
最大,149
多く,150
人々,151
地球,152
わ,153
古代,154
存続,155
利己,156
企み,157
詰まり,158
住む,159
最近,160
本,161
世紀,162
彼女,163
借りる,164
重,165
極く,166
常識,167
迫る,168
遡る,169
ほら,170
時代,171
確認,172
歴史,173
ビール,174
意志,175
生き物,176
驚き,177
問い,178
一昨,179
螺旋,180
結構,181
女子,182
心,183
発する,184
溢れる,185
怪しい,186
好奇,187
洗剤,188
家,189
沢山,190
女の子,191
大,192
余計,193
バイオテクノロジー,194
上,195
吹き飛ぶ,196
てる,197
様,198
九,199
カナコ,200
うん,201
で,202
一,203
元,204
など,205
文化,206
祭,207
合格,208
私,209
物,210
と,211
四,212
アオモリ,213
うー,214
十,215
県,216
九,217
者,218
トウキョウ,219
心,220
事件,221
警察,222
断層,223
見る,224
たい,225
や,226
パーセント,227
僕,228
クラス,229
捜査,230
警視,231
藤,232
今年,233
おー,234
六十,235
其の,236
出る,237
行う,238
．,239
円,240
機,241
試験,242
市場,243
剤,244
午前,245
が,246
彼,247
三,248
内,249
銭,250
火星,251
高い,252
八,253
時,254
最も,255
死ぬ,256
生徒,257
春,258
記念,259
震災,260
ナガノ,261
覚醒,262
本部,263
タカギ,264
地表,265
率,266
東海,267
二百,268
電力,269
自分,270
回,271
こう,272
出来る,273
所,274
本当,275
為,276
百,277
万,278
九十,279
楽しい,280
日,281
誰,282
為さる,283
年,284
起きる,285
花,286
地方,287
御免,288
なり,289
官,290
両,291
盛り上がる,292
解明,293
強制,294
余り,295
陛下,296
地検,297
歳,298
済む,299
国家,300
医師,301
ノジマ,302
し,303
発表,304
通り,305
顔,306
ドル,307
保存,308
運輸,309
視察,310
賄賂,311
遣る,312
良い,313
矢張り,314
考える,315
ば,316
時間,317
せる,318
さ,319
六,320
ながら,321
人,322
終わる,323
会社,324
現在,325
別,326
一緒,327
四十,328
一般,329
女性,330
アメリカ,331
市,332
箇月,333
七十,334
所,335
資料,336
決める,337
明らか,338
三百,339
通常,340
女,341
物,342
メートル,343
向ける,344
季節,345
号,346
付近,347
裁判,348
体育,349
合唱,350
コンクール,351
判決,352
ミウラ,353
補,354
交際,355
対抗,356
ホッキョク,357
探査,358
いー,359
大,360
あっ,361
警部,362
午後,363
御,364
此処,365
七,366
友達,367
大変,368
一生,369
昭和,370
懸命,371
準備,372
問う,373
企画,374
始まり,375
軌道,376
今月,377
樹齢,378
後,379
くらい,380
使う,381
五,382
作る,383
又,384
入る,385
方,386
感じ,387
部分,388
へ,389
二,390
学校,391
上,392
今回,393
三十,394
最後,395
知れる,396
何,397
法,398
月,399
長い,400
ずっと,401
唯,402
五十,403
内容,404
買う,405
勿論,406
呼ぶ,407
悪い,408
全体,409
残る,410
中,411
会,412
使用,413
経験,414
奇麗,415
初めて,416
国,417
続く,418
そう,419
時期,420
上がる,421
現われる,422
男性,423
人生,424
練習,425
友人,426
年齢,427
作業,428
略,429
楽しむ,430
様々,431
用意,432
させる,433
決まる,434
思い出,435
曲,436
五百,437
進める,438
詳しい,439
回る,440
公園,441
筈,442
キロ,443
動き,444
七,445
一方,446
ゲーム,447
様子,448
以降,449
予定,450
道路,451
空気,452
イベント,453
三千,454
装置,455
特別,456
指定,457
町,458
改める,459
薄い,460
社長,461
自宅,462
公開,463
会場,464
受け取る,465
愈,466
違反,467
胸,468
副,469
放射,470
終える,471
取り引き,472
問,473
ニュー,474
氷,475
到着,476
煙,477
悩み,478
金属,479
円,480
便宜,481
ハンシン,482
覆う,483
書類,484
庁,485
逮捕,486
溶ける,487
被告,488
株式,489
現金,490
切断,491
上回る,492
天然,493
アトラクション,494
全面,495
庭園,496
気象,497
検察,498
ナンキョク,499
原発,500
取り締まり,501
懲役,502
高,503
株価,504
銘柄,505
塵,506
言い渡す,507
乗り出す,508
誇張,509
捜索,510
実刑,511
供与,512
送検,513
カスカベ,514
ＮＡＳＡ,515
ウシジマ,516
当時,517
意識,518
失礼,519
一千,520
ホクダン,521
多い,522
嫌,523
観察,524
並ぶ,525
経理,526
迚も,527
なんか,528
仕事,529
何の,530
侭,531
なんて,532
切る,533
質問,534
無くなる,535
力,536
外国,537
身,538
整理,539
村,540
七百,541
荷物,542
削る,543
原子,544
どんな,545
発電,546
争う,547
イバラキ,548
冷える,549
替え,550
刑事,551
年内,552
春風,553
居る,554
結果,555
取る,556
そして,557
問題,558
話,559
性,560
情報,561
話す,562
呉れる,563
大きい,564
示す,565
人,566
最初,567
頃,568
生活,569
御,570
ほど,571
未だ,572
社会,573
程度,574
全て,575
各,576
分,577
調査,578
多分,579
少ない,580
受ける,581
始める,582
平均,583
電話,584
述べる,585
気持ち,586
部,587
早い,588
更に,589
丁度,590
必ず,591
調べる,592
違い,593
レベル,594
段階,595
八十,596
声,597
数,598
覚える,599
比べる,600
中心,601
今後,602
無人,603
個人,604
活動,605
理解,606
作成,607
関連,608
大事,609
年間,610
側,611
ばかり,612
近く,613
行動,614
決定,615
要素,616
当たる,617
遊ぶ,618
頭,619
同時,620
続ける,621
感,622
本,623
