WORD,FREQUENCY_RANKING
の,1
て,2
えー,3
と,4
だ,5
ます,6
に,7
が,8
は,9
た,10
言う,11
為る,12
を,13
です,14
の,15
で,16
も,17
まー,18
事,19
で,20
あの,21
有る,22
居る,23
ね,24
其れ,25
から,26
けれど,27
成る,28
か,29
此の,30
が,31
様,32
行く,33
か,34
れる,35
ない,36
此れ,37
って,38
其の,39
御,40
と,41
物,42
えーと,43
二,44
的,45
居る,46
語,47
一,48
こう,49
母音,50
見る,51
方,52
そう,53
無い,54
思う,55
てる,56
られる,57
実験,58
三,59
音,60
モデル,61
何,62
あー,63
言語,64
結果,65
来る,66
認識,67
さ,68
ず,69
つ,70
四,71
音声,72
頂く,73
行う,74
所,75
訳,76
者,77
高い,78
分かる,79
つく,80
出来る,81
さん,82
五,83
十,84
その,85
一寸,86
多い,87
致す,88
話者,89
因る,90
率,91
遣る,92
数,93
先ず,94
用いる,95
此処,96
出る,97
グループ,98
など,99
反応,100
まで,101
日本,102
対する,103
コーパス,104
時,105
矢張り,106
例えば,107
或いは,108
もう,109
私,110
から,111
使う,112
場合,113
此方,114
条件,115
刺激,116
講演,117
話し言葉,118
はる,119
研究,120
情報,121
たい,122
関する,123
先生,124
示す,125
今,126
其処,127
良い,128
どう,129
後,130
発話,131
基本,132
人,133
な,134
よ,135
仕舞う,136
音,137
変化,138
被験,139
六,140
年,141
くらい,142
御,143
差,144
テスト,145
中,146
又,147
時間,148
以上,149
学習,150
非常,151
話,152
風,153
日,154
ピッチ,155
一,156
為,157
比較,158
効果,159
長,160
ば,161
説明,162
表現,163
状態,164
長い,165
強い,166
鼻,167
そして,168
方,169
んー,170
化,171
フランス,172
プロジェクト,173
於く,174
目,175
第,176
対話,177
犬,178
カテゴリー,179
大学,180
特に,181
型,182
敬語,183
次,184
考える,185
関係,186
．,187
我々,188
だけ,189
御座る,190
大きい,191
発表,192
要約,193
たり,194
先程,195
余り,196
回,197
程度,198
使用,199
作成,200
層,201
短,202
一番,203
データ,204
同じ,205
カンサイ,206
より,207
等,208
呉れる,209
撮影,210
点,211
持つ,212
や,213
書く,214
へ,215
パターン,216
周波,217
検討,218
のみ,219
発音,220
誤解,221
形,222
度,223
違う,224
パーセント,225
低い,226
人,227
得る,228
×,229
取る,230
二十,231
話す,232
知る,233
なんか,234
と,235
仕事,236
ゼロ,237
内容,238
単位,239
音響,240
適応,241
ウェブ,242
カントウ,243
ドクター,244
し,245
ながら,246
三十,247
其々,248
特徴,249
の,250
凄い,251
問題,252
入る,253
聞く,254
皆,255
分析,256
百,257
全て,258
調査,259
一般,260
作る,261
せる,262
上,263
システム,264
××××,265
形,266
形態,267
測定,268
場面,269
素,270
表記,271
本当,272
部分,273
内,274
そんな,275
各,276
全体,277
図,278
名,279
略,280
長,281
観察,282
漢字,283
同定,284
自分,285
良く,286
みたい,287
私,288
万,289
対象,290
種類,291
対応,292
確認,293
判断,294
グラフ,295
同様,296
トレーニング,297
前,298
方法,299
大体,300
色々,301
終わる,302
勿論,303
簡単,304
状況,305
含む,306
具体,307
学生,308
音素,309
有意,310
パラ,311
必要,312
色んな,313
人,314
最後,315
下さる,316
値,317
返る,318
今日,319
高校,320
難しい,321
続く,322
作業,323
進める,324
速度,325
主に,326
訓練,327
未知,328
キョウト,329
二,330
言葉,331
今回,332
出す,333
可成,334
他,335
生,336
詰まり,337
ほど,338
更に,339
違い,340
非,341
以外,342
文字,343
店,344
大変,345
成分,346
子音,347
頻度,348
進む,349
回答,350
検査,351
歴,352
中年,353
或る,354
最初,355
付ける,356
食べる,357
法,358
大きな,359
少ない,360
時,361
量,362
九十,363
個,364
早い,365
調べる,366
提示,367
×××,368
様,369
御覧,370
正答,371
マーク,372
書き起こす,373
書き起こし,374
待遇,375
性,376
実際,377
又,378
何の,379
変わる,380
知れる,381
一人,382
影響,383
悪い,384
重要,385
平均,386
歳,387
傾向,388
××,389
テキスト,390
県,391
健康,392
共通,393
ベース,394
区間,395
電車,396
心理,397
構築,398
境界,399
診断,400
低高,401
文,402
三,403
月,404
彼,405
課題,406
従来,407
随分,408
動物,409
知覚,410
集,411
有効,412
オオサカ,413
通常,414
出掛ける,415
手掛かり,416
やや,417
統一,418
パープレキシティー,419
高低,420
おー,421
結構,422
貰う,423
何処,424
七,425
付く,426
実,427
しか,428
現在,429
間,430
××,431
乗る,432
受ける,433
大,434
方向,435
地域,436
二百,437
朝,438
嬉しい,439
技術,440
試験,441
聴覚,442
予稿,443
ポーズ,444
フィラー,445
正,446
セッション,447
プリテスト,448
ＢＣ,449
スポン,450
達,451
方,452
感じ,453
ちゃう,454
気,455
上げる,456
少し,457
最近,458
好き,459
物,460
未だ,461
会社,462
本,463
目的,464
四十,465
二人,466
切る,467
