WORD,FREQUENCY_RANKING
の,1
て,2
だ,3
と,4
です,5
言う,6
は,7
ます,8
が,9
の,10
に,11
えー,12
た,13
ね,14
を,15
も,16
為る,17
で,18
有る,19
って,20
あの,21
で,22
事,23
か,24
けれど,25
まー,26
此れ,27
其れ,28
か,29
居る,30
成る,31
と,32
から,33
此の,34
そう,35
ない,36
物,37
無い,38
こう,39
えーと,40
てる,41
様,42
其の,43
よ,44
から,45
来る,46
訳,47
れる,48
あー,49
行く,50
語,51
思う,52
見る,53
が,54
その,55
御,56
風,57
所,58
おー,59
何,60
居る,61
ず,62
どう,63
出る,64
日本,65
的,66
一,67
もう,68
人,69
遣る,70
方,71
つ,72
時,73
書く,74
良い,75
私,76
一寸,77
分かる,78
頂く,79
使う,80
非常,81
此処,82
出来る,83
時代,84
年,85
二,86
今,87
中,88
作る,89
さん,90
例えば,91
考える,92
形容,93
んー,94
そして,95
だけ,96
たい,97
詞,98
達,99
ば,100
一,101
場合,102
な,103
矢張り,104
うー,105
先生,106
まで,107
言葉,108
仕舞う,109
入る,110
良く,111
三,112
くらい,113
形,114
方,115
意味,116
いー,117
十,118
其処,119
番,120
られる,121
前,122
出す,123
動詞,124
違う,125
多い,126
英語,127
持つ,128
先程,129
皆,130
問題,131
方,132
後,133
一番,134
たり,135
或いは,136
表わす,137
付く,138
縄文,139
学校,140
経塚,141
子供,142
話,143
経筒,144
同じ,145
四,146
部分,147
自分,148
詰まり,149
なんか,150
下さる,151
し,152
や,153
音,154
取る,155
人,156
余り,157
大体,158
現在,159
因る,160
時間,161
御,162
次,163
色んな,164
五,165
教育,166
チュウゴク,167
上,168
付ける,169
ソウ,170
本当,171
実,172
城,173
今日,174
教える,175
場所,176
大きな,177
或る,178
形,179
植物,180
副詞,181
祭壇,182
知れる,183
彼れ,184
先ず,185
私,186
文化,187
語彙,188
沢山,189
聞く,190
為,191
少し,192
葬儀,193
化,194
こんな,195
研究,196
はい,197
状態,198
何処,199
知る,200
下,201
図,202
対する,203
学習,204
物,205
六,206
入れる,207
万,208
御座る,209
又,210
城,211
ながら,212
関係,213
らしい,214
者,215
於く,216
目,217
致す,218
生,219
最初,220
読む,221
など,222
此方,223
内,224
点,225
より,226
気,227
そんな,228
もっと,229
又,230
へ,231
音,232
普通,233
全部,234
ずっと,235
地域,236
色々,237
難しい,238
用法,239
堀,240
他,241
なんて,242
名詞,243
遺跡,244
せる,245
高い,246
話す,247
丸,248
ちゃう,249
千,250
所,251
所謂,252
二十,253
別,254
記号,255
エド,256
二,257
複合,258
頃,259
世紀,260
型,261
何,262
本,263
当時,264
丁度,265
県,266
側,267
口蓋,268
みたい,269
変わる,270
最近,271
ページ,272
彼の,273
サクラ,274
国語,275
道具,276
大きい,277
述語,278
性,279
学生,280
参る,281
修飾,282
凄い,283
殆ど,284
単語,285
掛ける,286
理解,287
外国,288
音声,289
度,290
月,291
今度,292
結局,293
表,294
つく,295
回,296
可成,297
母音,298
御覧,299
覚える,300
キュウシュウ,301
特に,302
基本,303
つう,304
乗る,305
字,306
見える,307
一杯,308
第,309
何の,310
資料,311
鏡,312
さ,313
要する,314
舌,315
必要,316
てく,317
残る,318
寒い,319
唯,320
活動,321
時期,322
国際,323
例,324
然し,325
どんな,326
授業,327
期,328
等,329
未だ,330
辺り,331
恐らく,332
実際,333
三十,334
食べる,335
会,336
中心,337
テンス,338
説明,339
子,340
辞典,341
しか,342
世界,343
色々,344
発音,345
地方,346
女,347
キンキ,348
樹,349
行う,350
馬,351
トウキョウ,352
我々,353
あっ,354
感情,355
程度,356
面白い,357
終わる,358
同じ,359
何時,360
学,361
どんどん,362
奇麗,363
幾,364
後ろ,365
船,366
活用,367
絵図,368
若し,369
口,370
申し上げる,371
然も,372
総合,373
貰う,374
最後,375
ほど,376
百,377
少ない,378
中々,379
段々,380
為さる,381
プラス,382
さっき,383
とく,384
針葉,385
呉れる,386
直ぐ,387
何方,388
大変,389
場,390
連体,391
アスペクト,392
大学,393
敬語,394
出し,395
感じ,396
八,397
好き,398
何故,399
似る,400
展示,401
土器,402
結果,403
七,404
侭,405
易い,406
彼,407
違い,408
島,409
年間,410
大変,411
両方,412
男,413
がる,414
と,415
多分,416
難い,417
花,418
無声,419
言語,420
一応,421
教科,422
小さい,423
置く,424
新しい,425
文法,426
イメージ,427
申す,428
次,429
様々,430
存ずる,431
漢字,432
弥生,433
辺,434
必ず,435
変える,436
動作,437
可笑しい,438
韓国,439
尊敬,440
長い,441
いらっしゃる,442
容器,443
歯茎,444
子音,445
正しい,446
道,447
レブン,448
土塁,449
うん,450
特徴,451
掛かる,452
大,453
済む,454
様,455
初め,456
所,457
固い,458
迚も,459
日,460
間,461
一般,462
小,463
続く,464
人々,465
