WORD,FREQUENCY_RANKING
うん,1
だ,2
です,3
の,4
ね,5
て,6
言う,7
と,8
は,9
そう,10
か,11
が,12
た,13
の,14
に,15
も,16
か,17
って,18
あー,19
で,20
為る,21
てる,22
何,23
ない,24
を,25
ます,26
あの,27
よ,28
有る,29
けれど,30
事,31
ええ,32
無い,33
はい,34
其れ,35
で,36
まー,37
こう,38
遣る,39
思う,40
えー,41
成る,42
から,43
矢張り,44
人,45
な,46
どう,47
行く,48
んー,49
ふん,50
と,51
御,52
その,53
良い,54
もう,55
から,56
居る,57
其の,58
時,59
分かる,60
へえ,61
来る,62
喋る,63
一寸,64
自分,65
みたい,66
れる,67
たり,68
成る程,69
いや,70
様,71
凄い,72
ちゃう,73
見る,74
私,75
今,76
くらい,77
結構,78
此れ,79
本当,80
方,81
後,82
し,83
ば,84
聞く,85
所,86
的,87
物,88
出来る,89
はあ,90
例えば,91
研究,92
さん,93
うー,94
違う,95
此の,96
訳,97
一,98
風,99
感じ,100
えーと,101
だけ,102
書く,103
面白い,104
言葉,105
考える,106
人間,107
其処,108
たい,109
余り,110
大変,111
話,112
彼れ,113
出る,114
呉れる,115
使う,116
貰う,117
多分,118
良く,119
仕事,120
知れる,121
話す,122
そんな,123
好き,124
全然,125
難しい,126
難い,127
まで,128
御座る,129
ず,130
作る,131
前,132
皆,133
今日,134
覚える,135
つ,136
中,137
実際,138
色々,139
旨い,140
多い,141
日本,142
持つ,143
取る,144
色んな,145
方,146
気,147
急度,148
所,149
願う,150
此処,151
内,152
最初,153
何処,154
緊張,155
せる,156
他,157
年,158
入る,159
意味,160
子供,161
方,162
より,163
言語,164
僕,165
嫌,166
心理,167
時間,168
一番,169
大体,170
人,171
大学,172
教える,173
顔,174
十,175
出す,176
会社,177
勉強,178
声,179
そう,180
一杯,181
学校,182
又,183
変わる,184
何,185
物,186
相手,187
そんな,188
払う,189
学会,190
派遣,191
英語,192
てく,193
楽しい,194
もっと,195
仕舞う,196
回,197
友達,198
トウキョウ,199
易い,200
ちゃんと,201
さっき,202
二,203
先生,204
レベル,205
いえ,206
語,207
同じ,208
知る,209
終わる,210
音,211
付く,212
分,213
辺,214
興味,215
慣れる,216
聞こえる,217
が,218
られる,219
一,220
音声,221
なんか,222
町,223
掛かる,224
悪い,225
金,226
うんと,227
確か,228
三,229
対する,230
或る,231
人,232
最近,233
昔,234
唯,235
所謂,236
一応,237
こんな,238
様,239
彼の,240
コンピューター,241
オオサカ,242
可笑しい,243
おー,244
達,245
発表,246
しか,247
一人,248
別,249
調べる,250
頭,251
宜しく,252
喋り,253
もの,254
者,255
高い,256
下さる,257
読む,258
ずっと,259
内容,260
子,261
早い,262
誰,263
箇月,264
疲れる,265
非常,266
いー,267
関係,268
何時,269
未だ,270
学,271
見える,272
どんどん,273
気持ち,274
アメリカ,275
初め,276
絵,277
園,278
キョウト,279
五,280
四,281
又,282
為,283
此方,284
必要,285
方法,286
少し,287
特に,288
程度,289
長い,290
全部,291
ちゃん,292
アクセント,293
逆,294
母,295
奴,296
とく,297
互い,298
打つ,299
痛い,300
幼稚,301
誤解,302
場合,303
実験,304
ながら,305
上げる,306
可成,307
食べる,308
掛ける,309
殆ど,310
中々,311
世界,312
日,313
合う,314
割と,315
カンサイ,316
てらっしゃる,317
疲れ,318
うわ,319
大きい,320
日,321
付ける,322
月,323
普通,324
つう,325
一緒,326
始める,327
感ずる,328
電話,329
目,330
奇麗,331
テスト,332
止める,333
安い,334
似る,335
駄目,336
向こう,337
ペット,338
け,339
因る,340
次,341
頂く,342
頃,343
何の,344
最後,345
住む,346
返る,347
買う,348
結局,349
時,350
どんな,351
済む,352
文字,353
絶対,354
忘れる,355
反応,356
頑張る,357
コミュニケーション,358
ああ,359
イギリス,360
つく,361
先ず,362
目,363
部分,364
システム,365
ほど,366
パターン,367
簡単,368
本,369
なんて,370
状況,371
らしい,372
近い,373
切る,374
何方,375
段々,376
年間,377
ばかり,378
練習,379
随分,380
あっ,381
見せる,382
貴方,383
耳,384
伝わる,385
画面,386
早口,387
スキル,388
問題,389
文,390
認識,391
表現,392
実,393
御,394
沢山,395
勿論,396
テーマ,397
選ぶ,398
直ぐ,399
二人,400
先,401
×××,402
学生,403
印象,404
文化,405
屋,406
何れ,407
部屋,408
タイプ,409
動く,410
企業,411
メール,412
機械,413
歌う,414
元々,415
準備,416
大丈夫,417
登録,418
採用,419
建築,420
猿,421
旦那,422
さ,423
弁,424
二,425
入れる,426
変化,427
基本,428
家,429
受ける,430
計算,431
生きる,432
全く,433
幾,434
××××,435
側,436
会う,437
講演,438
朝,439
感,440
辺り,441
為さる,442
系,443
大変,444
答える,445
場,446
取れる,447
外国,448
感情,449
借りる,450
発音,451
無し,452
獲得,453
びっくり,454
感覚,455
普段,456
大人,457
性格,458
御免,459
発達,460
テニス,461
意外,462
幾ら,463
漫画,464
兄弟,465
北,466
法律,467
喧嘩,468
振り,469
姉,470
インタビュー,471
分間,472
仮想,473
ねた,474
於く,475
二十,476
性,477
説明,478
等,479
或いは,480
迚も,481
上,482
小さい,483
法,484
下,485
一般,486
強い,487
何故,488
若し,489
家族,490
歩く,491
テレビ,492
代,493
対話,494
初めて,495
意識,496
自然,497
機,498
所,499
近く,500
働く,501
夜,502
技術,503
難い,504
同じ,505
計画,506
いらっしゃる,507
会話,508
フランス,509
翻訳,510
不思議,511
売る,512
海外,513
こそ,514
終わり,515
途中,516
伝える,517
変,518
試合,519
父,520
確り,521
気付く,522
間違い,523
通信,524
楽,525
間違える,526
営業,527
男の子,528
バイト,529
返す,530
肉,531
赤ちゃん,532
約束,533
業界,534
補助,535
スクール,536
敏感,537
短大,538
ドラえもん,539
卒論,540
市長,541
澱粉,542
ヨゼフ,543
ミナミ,544
情報,545
単語,546
六,547
へ,548
時代,549
三十,550
分析,551
詰まり,552
大きな,553
間,554
侭,555
我々,556
上,557
知識,558
残る,559
元,560
低い,561
円,562
犬,563
大事,564
昨日,565
国語,566
内,567
遊ぶ,568
扱う,569
ルール,570
取り敢えず,571
進む,572
はっきり,573
決まる,574
口,575
分野,576
わ,577
其方,578
形,579
怖い,580
足,581
仕様,582
パソコン,583
精神,584
集まる,585
中,586
生徒,587
同士,588
室,589
流れる,590
着る,591
御前,592
二三,593
記号,594
ボール,595
発する,596
間,597
サービス,598
就職,599
怒る,600
脳,601
院,602
録音,603
本人,604
嫌い,605
彼処,606
優しい,607
テープ,608
制限,609
ショック,610
暑い,611
かしら,612
ぱっ,613
恥ずかしい,614
得意,615
業,616
ギター,617
スタッフ,618
不味い,619
レジュメ,620
優勝,621
目立つ,622
マニュアル,623
下手,624
時計,625
却って,626
メモ,627
単なる,628
見学,629
不明,630
黙る,631
最悪,632
わあ,633
英文,634
家具,635
鶏,636
騙す,637
泥,638
頷く,639
磁石,640
土木,641
公,642
督促,643
や,644
形,645
さ,646
関する,647
数,648
評価,649
八,650
第,651
例,652
目的,653
教育,654
少ない,655
影響,656
処理,657
種類,658
小,659
高校,660
丁度,661
水,662
効果,663
親,664
数,665
課題,666
文章,667
判断,668
以外,669
国,670
続く,671
自動,672
映画,673
母,674
時期,675
周り,676
有名,677
合成,678
理由,679
イメージ,680
増える,681
自体,682
紹介,683
立つ,684
質問,685
力,686
結婚,687
最終,688
分,689
客,690
作業,691
然も,692
経つ,693
一生,694
字,695
探す,696
物凄い,697
偶々,698
今年,699
女子,700
以前,701
下がる,702
便利,703
分かれる,704
夢,705
大会,706
インターネット,707
並ぶ,708
婆,709
限り,710
役,711
趣味,712
習う,713
初期,714
仲間,715
暫く,716
偶に,717
気分,718
ほら,719
視覚,720
焼く,721
ゆっくり,722
重視,723
時々,724
ハワイ,725
努力,726
要る,727
アルバイト,728
積り,729
他人,730
や,731
挨拶,732
魅力,733
超,734
社員,735
部活,736
社長,737
上手,738
タイミング,739
夏休み,740
あれ,741
料金,742
会場,743
弁当,744
加減,745
原子,746
研修,747
給料,748
芸術,749
誘う,750
ナゴヤ,751
此の間,752
癖,753
あんな,754
長期,755
植える,756
口調,757
任せる,758
あら,759
突き込む,760
固まる,761
とんでも,762
ハード,763
義務,764
久しい,765
チョウフ,766
団子,767
灰,768
中期,769
秘書,770
ジャガ芋,771
アニメーション,772
人前,773
うっかり,774
ＧＲＥ,775
セメント,776
たまごっち,777
など,778
点,779
生活,780
其々,781
今度,782
調査,783
り,784
式,785
遺伝,786
検索,787
個,788
不,789
歳,790
環境,791
中,792
部,793
会,794
通り,795
経験,796
要する,797
必ず,798
違い,799
木,800
新しい,801
名前,802
音楽,803
歴史,804
自身,805
館,806
比べる,807
非,808
兎に角,809
べし,810
グラフ,811
毎日,812
美味しい,813
過ぎる,814
欲しい,815
文法,816
上がる,817
変える,818
決める,819
人生,820
同時,821
続ける,822
若い,823
授業,824
ずつ,825
基準,826
日,827
加える,828
走る,829
セット,830
短い,831
力,832
移動,833
送る,834
用意,835
背景,836
電車,837
能力,838
流れ,839
バス,840
野球,841
候補,842
二千,843
家庭,844
落ちる,845
曲,846
聴覚,847
離れる,848
範囲,849
公園,850
懸命,851
細かい,852
論文,853
雑誌,854
九,855
筈,856
仕方,857
火,858
地方,859
振り返る,860
ポイント,861
話し言葉,862
女,863
繋がる,864
素晴らしい,865
ストレス,866
五,867
都市,868
御飯,869
雰囲気,870
主張,871
の,872
格好,873
寧ろ,874
当然,875
如何に,876
宗教,877
弱い,878
伝達,879
余計,880
失敗,881
パワー,882
バンド,883
低,884
捨てる,885
笑う,886
労働,887
南,888
酷い,889
犯罪,890
頼む,891
月,892
イタリア,893
村,894
瞬間,895
ぞ,896
校,897
適当,898
西,899
地震,900
忙しい,901
爺,902
工場,903
暗い,904
スピーカー,905
スタート,906
仲良く,907
抜ける,908
職業,909
一杯,910
姉,911
馬鹿,912
甘い,913
嘘,914
若者,915
妹,916
分解,917
セッション,918
裁判,919
司会,920
受け入れる,921
余裕,922
勝ち,923
溜まる,924
反省,925
洋服,926
きつい,927
受け取る,928
実用,929
偉い,930
美術,931
教会,932
商売,933
毎回,934
幾ら,935
相槌,936
直る,937
パート,938
どんな,939
益々,940
曲がる,941
ガラス,942
放射,943
波,944
御洒落,945
子育て,946
人種,947
ロンドン,948
思い付く,949
規制,950
ばらばら,951
抵抗,952
命令,953
真似,954
すら,955
恐ろしい,956
憧れ,957
トラブル,958
定着,959
玩具,960
くっ付ける,961
債務,962
ショット,963
がっかり,964
キャラクター,965
ノウハウ,966
だらだら,967
トーク,968
本音,969
グラフィック,970
プライド,971
子猫,972
総務,973
ミヤザキ,974
バレー,975
社交,976
差さる,977
会費,978
ヒューマン,979
発条,980
水素,981
似せる,982
ゴスペル,983
すぱ,984
質素,985
ダブルス,986
漫才,987
声質,988
国研,989
スクーリング,990
すらすら,991
貸し金,992
肉離れ,993
ホリエ,994
右脳,995
結果,996
化,997
致す,998
先程,999
度,1000
状態,1001
率,1002
パーセント,1003
九,1004
生,1005
比較,1006
構造,1007
条件,1008
全て,1009
本,1010
万,1011
乗る,1012
母音,1013
与える,1014
量,1015
九十,1016
対象,1017
場所,1018
置く,1019
女性,1020
求める,1021
選択,1022
更に,1023
傾向,1024
具体,1025
ソウ,1026
グループ,1027
段階,1028
旅行,1029
入力,1030
大,1031
始まる,1032
生まれる,1033
中心,1034
毎,1035
個人,1036
理解,1037
心,1038
纏める,1039
起こる,1040
一体,1041
語彙,1042
従う,1043
指導,1044
決定,1045
要素,1046
線,1047
発見,1048
ワン,1049
以下,1050
嬉しい,1051
連れる,1052
病院,1053
ううん,1054
さす,1055
丸,1056
方言,1057
関わる,1058
起きる,1059
大切,1060
規則,1061
更に,1062
寝る,1063
年齢,1064
辛い,1065
共通,1066
楽しむ,1067
唯,1068
句,1069
広い,1070
単純,1071
引く,1072
合わせる,1073
繰り返す,1074
集,1075
後ろ,1076
歌,1077
週間,1078
原因,1079
夏,1080
色,1081
ホテル,1082
有効,1083
目標,1084
通す,1085
連続,1086
枚,1087
モーラ,1088
スポーツ,1089
深い,1090
自己,1091
立てる,1092
無,1093
待つ,1094
男,1095
未だ未だ,1096
左,1097
解決,1098
起こす,1099
是非,1100
設計,1101
限る,1102
向かう,1103
動き,1104
倍,1105
認める,1106
一方,1107
通常,1108
用語,1109
発生,1110
越える,1111
線,1112
治療,1113
予稿,1114
合い,1115
体験,1116
近所,1117
漢字,1118
ライン,1119
思い出す,1120
反対,1121
若しくは,1122
結論,1123
つつ,1124
体,1125
ヨーロッパ,1126
身,1127
段,1128
大,1129
以降,1130
厳しい,1131
プロ,1132
通ずる,1133
導入,1134
横,1135
触れる,1136
期間,1137
食べ物,1138
直す,1139
記録,1140
無理,1141
論理,1142
向ける,1143
間違う,1144
至る,1145
止まる,1146
素人,1147
育つ,1148
大分,1149
育てる,1150
遅い,1151
手紙,1152
建物,1153
種,1154
大好き,1155
息子,1156
なり,1157
利く,1158
位,1159
沢山,1160
驚く,1161
電気,1162
バック,1163
長,1164
枠組み,1165
苦労,1166
勤める,1167
先輩,1168
交換,1169
アンド,1170
増やす,1171
行成,1172
留学,1173
核,1174
こんな,1175
付き合い,1176
連絡,1177
動かす,1178
勧める,1179
進化,1180
主語,1181
温かい,1182
カード,1183
泊まる,1184
出身,1185
安全,1186
主体,1187
特別,1188
短,1189
季節,1190
匂い,1191
自信,1192
確か,1193
当てる,1194
休み,1195
夫婦,1196
触る,1197
週,1198
語る,1199
主婦,1200
習得,1201
最高,1202
折角,1203
半年,1204
肢,1205
向く,1206
裏,1207
体力,1208
権,1209
メーン,1210
業務,1211
接する,1212
服,1213
逃げる,1214
元々,1215
抜く,1216
日々,1217
負担,1218
案内,1219
弟,1220
デザイン,1221
英,1222
ブーム,1223
橋,1224
ファースト,1225
物質,1226
栄養,1227
一人一人,1228
油,1229
三角,1230
アナウンス,1231
模擬,1232
ずれ,1233
大手,1234
繋ぐ,1235
違反,1236
尚且つ,1237
嵌まる,1238
外れる,1239
仕組み,1240
とる,1241
追う,1242
副,1243
サラリーマン,1244
正直,1245
聞き取る,1246
纏まる,1247
保証,1248
濃い,1249
姿勢,1250
煩い,1251
只,1252
いざ,1253
ざっ,1254
契約,1255
一旦,1256
トマト,1257
金額,1258
耐える,1259
手間,1260
方面,1261
諦める,1262
土曜,1263
再び,1264
そろそろ,1265
容器,1266
キリスト,1267
某,1268
手伝い,1269
厳密,1270
噛む,1271
化学,1272
ルート,1273
恵まれる,1274
勢い,1275
只管,1276
募集,1277
金属,1278
コート,1279
訳す,1280
終らす,1281
間に合う,1282
笑い,1283
表,1284
学部,1285
柄,1286
カフェ,1287
人形,1288
縁,1289
漠然,1290
控える,1291
葉書,1292
一々,1293
術,1294
手軽,1295
ブラック,1296
締まる,1297
スムーズ,1298
カルチャー,1299
冗談,1300
すっ,1301
プレッシャー,1302
フラット,1303
散らし,1304
専攻,1305
ど,1306
スウェーデン,1307
トータル,1308
私立,1309
フード,1310
こつ,1311
丸める,1312
今月,1313
ケア,1314
徒歩,1315
ボード,1316
書き,1317
ポスト,1318
金曜,1319
態と,1320
支払い,1321
ニーズ,1322
突く,1323
絵画,1324
演習,1325
真っ暗,1326
指揮,1327
柿,1328
さっぱり,1329
精,1330
アニメ,1331
向き,1332
意地,1333
テクニック,1334
楽譜,1335
余計,1336
偏見,1337
ケン,1338
助手,1339
賢い,1340
ローン,1341
抱っこ,1342
コンクリート,1343
モノローグ,1344
二三十,1345
思い込む,1346
落ち着き,1347
毎年,1348
アルト,1349
外資,1350
光る,1351
雑貨,1352
顧問,1353
セーター,1354
鏝,1355
目茶苦茶,1356
持ち上げる,1357
乾かす,1358
クレーム,1359
ちら,1360
壺,1361
インテリア,1362
相性,1363
炉,1364
域,1365
揉む,1366
スペシャル,1367
螺子,1368
フィッシュ,1369
卒,1370
商工,1371
密閉,1372
咄嗟,1373
がかる,1374
何ぼ,1375
気質,1376
理工,1377
臨機,1378
おろおろ,1379
選抜,1380
狡い,1381
出出し,1382
応変,1383
解雇,1384
作り込む,1385
物書き,1386
ずるずる,1387
天辺,1388
右足,1389
出費,1390
配管,1391
殿,1392
アドリブ,1393
学食,1394
にこ,1395
突っ込み,1396
月末,1397
ウラン,1398
威圧,1399
跳ね返る,1400
ぴんぽん,1401
相乗り,1402
金色,1403
左脳,1404
予行,1405
ナンバ,1406
湿布,1407
立ち話,1408
ウメダ,1409
ダベンポート,1410
脅迫,1411
モモタロウ,1412
夜光,1413
日の目,1414
びよん,1415
発育,1416
ＧＭＡＴ,1417
虚像,1418
貸し倒れ,1419
ほえ,1420
シンサイバシ,1421
御三,1422
ぴっぴ,1423
流量,1424
演台,1425
行う,1426
そして,1427
学習,1428
今回,1429
と,1430
得る,1431
番,1432
発話,1433
千,1434
音,1435
百,1436
三,1437
各,1438
五十,1439
四十,1440
差,1441
呼ぶ,1442
タイトル,1443
全体,1444
周波,1445
重要,1446
存在,1447
対応,1448
六十,1449
彼,1450
手,1451
機能,1452
体,1453
市,1454
間,1455
飲む,1456
今後,1457
色々,1458
音響,1459
距離,1460
クラス,1461
彼女,1462
分ける,1463
項目,1464
要約,1465
資料,1466
現われる,1467
××,1468
ワード,1469
当たる,1470
店,1471
設定,1472
最大,1473
キー,1474
男性,1475
発声,1476
本,1477
自由,1478
次元,1479
開発,1480
父,1481
面,1482
正解,1483
捕らえる,1484
人々,1485
料理,1486
辞書,1487
健康,1488
直接,1489
データーベース,1490
両方,1491
チュウゴク,1492
正しい,1493
特性,1494
女の子,1495
記事,1496
死ぬ,1497
略,1498
ベース,1499
区,1500
複数,1501
話題,1502
動物,1503
将来,1504
知覚,1505
川,1506
地,1507
形態,1508
疑問,1509
一致,1510
外,1511
適用,1512
等,1513
選手,1514
道,1515
させる,1516
猫,1517
但し,1518
タスク,1519
元気,1520
現象,1521
文書,1522
信号,1523
記憶,1524
代表,1525
理論,1526
写真,1527
家,1528
集合,1529
否,1530
通う,1531
割,1532
から,1533
一部,1534
議論,1535
食事,1536
商品,1537
五百,1538
進める,1539
既に,1540
母親,1541
完全,1542
回る,1543
実現,1544
存ずる,1545
見付ける,1546
構築,1547
集める,1548
立場,1549
困る,1550
科,1551
魚,1552
検査,1553
番組,1554
場,1555
生ずる,1556
悲しい,1557
価値,1558
三百,1559
娘,1560
店,1561
上る,1562
七,1563
多少,1564
