WORD,FREQUENCY_RANKING
だ,1
うん,2
です,3
の,4
ね,5
た,6
て,7
は,8
言う,9
と,10
の,11
に,12
も,13
が,14
か,15
そう,16
ええ,17
って,18
か,19
で,20
あの,21
あー,22
為る,23
を,24
てる,25
まー,26
ます,27
ない,28
はい,29
けれど,30
何,31
で,32
其れ,33
無い,34
有る,35
事,36
ううん,37
よ,38
行く,39
遣る,40
其の,41
えー,42
こう,43
から,44
思う,45
もう,46
ふん,47
矢張り,48
から,49
居る,50
んー,51
成る程,52
どう,53
な,54
御,55
時,56
くらい,57
その,58
へえ,59
成る,60
人,61
一,62
良い,63
えーと,64
一寸,65
凄い,66
来る,67
と,68
私,69
れる,70
見る,71
後,72
様,73
所,74
分かる,75
たり,76
感じ,77
本当,78
たい,79
結構,80
いや,81
みたい,82
方,83
方,84
今,85
はあ,86
聞く,87
自分,88
的,89
其処,90
し,91
物,92
ちゃう,93
人,94
さん,95
訳,96
話,97
日本,98
此れ,99
年,100
三,101
風,102
ば,103
余り,104
此の,105
作る,106
皆,107
が,108
出る,109
違う,110
出来る,111
二,112
だけ,113
入る,114
そんな,115
まで,116
十,117
子供,118
回,119
知れる,120
うー,121
好き,122
普通,123
多分,124
つ,125
ず,126
中,127
一番,128
食べる,129
願う,130
例えば,131
内,132
色々,133
大学,134
彼れ,135
られる,136
方,137
学校,138
どんな,139
そんな,140
野球,141
御座る,142
何,143
多い,144
良く,145
全然,146
より,147
何処,148
僕,149
語,150
取る,151
気,152
仕事,153
つう,154
宜しく,155
考える,156
非常,157
楽しい,158
一杯,159
仕舞う,160
先ず,161
前,162
貰う,163
先生,164
人,165
住む,166
別,167
急度,168
持つ,169
達,170
呉れる,171
頃,172
一緒,173
面白い,174
ずっと,175
難い,176
不思議,177
一,178
大体,179
可成,180
他,181
生,182
友達,183
所,184
大変,185
親,186
美味しい,187
話す,188
何時,189
英語,190
子,191
部屋,192
寝る,193
時間,194
研究,195
又,196
付く,197
未だ,198
会社,199
家,200
てく,201
らしい,202
直ぐ,203
フランス,204
弾く,205
又,206
同じ,207
間,208
唯,209
旨い,210
割と,211
安い,212
怖い,213
番組,214
チーム,215
使う,216
ながら,217
知る,218
買う,219
結局,220
機,221
止める,222
中国,223
色んな,224
日,225
音,226
実,227
御,228
一人,229
始める,230
名前,231
勉強,232
け,233
楽器,234
履く,235
為,236
二十,237
大きい,238
最初,239
しか,240
読む,241
アメリカ,242
高校,243
箇月,244
旅行,245
兎に角,246
教える,247
為さる,248
駄目,249
海外,250
イギリス,251
うわ,252
問題,253
頂く,254
変わる,255
物,256
月,257
全部,258
もっと,259
強い,260
印象,261
周り,262
うんと,263
者,264
上,265
なんか,266
人間,267
付ける,268
何の,269
下さる,270
最近,271
トウキョウ,272
乗る,273
受ける,274
難しい,275
違い,276
音楽,277
技術,278
料理,279
バイオリン,280
おー,281
因る,282
対する,283
出す,284
少し,285
入れる,286
生活,287
返る,288
勿論,289
一応,290
残る,291
家族,292
そう,293
練習,294
嫌,295
週間,296
オオサカ,297
工場,298
かしら,299
いえ,300
場合,301
四,302
先程,303
実際,304
殆ど,305
時,306
中々,307
全く,308
気持ち,309
二人,310
歩く,311
何れ,312
働く,313
忘れる,314
あっ,315
曲,316
変,317
両親,318
員,319
部活,320
意味,321
部分,322
関する,323
言葉,324
と,325
特に,326
小さい,327
百,328
所謂,329
悪い,330
合う,331
彼の,332
頭,333
取り敢えず,334
さっき,335
こそ,336
飛行,337
同士,338
大丈夫,339
横,340
テニス,341
トイレ,342
営業,343
きつい,344
有り難う,345
畳,346
スニーカー,347
五,348
目,349
せる,350
終わる,351
長い,352
置く,353
辺,354
水,355
切る,356
何方,357
毎日,358
電車,359
企業,360
偶々,361
其方,362
元々,363
暮らす,364
伯父,365
スーパー,366
仰る,367
てらっしゃる,368
公務,369
指揮,370
着陸,371
修士,372
水洗,373
六,374
状態,375
五十,376
侭,377
感ずる,378
本,379
なんて,380
ちゃん,381
場所,382
当時,383
女性,384
対応,385
部,386
日,387
丁度,388
レベル,389
飲む,390
欲しい,391
理由,392
興味,393
喋る,394
ちゃんと,395
確か,396
記憶,397
借りる,398
売る,399
形,400
向こう,401
待つ,402
半分,403
生徒,404
大人,405
担当,406
向く,407
コウベ,408
金属,409
出張,410
胡瓜,411
此処,412
関係,413
等,414
へ,415
八,416
或る,417
時代,418
三十,419
ほど,420
昔,421
沢山,422
簡単,423
全体,424
逆,425
小,426
近い,427
経験,428
初めて,429
円,430
覚える,431
以外,432
年間,433
初め,434
線,435
会う,436
イメージ,437
朝,438
続ける,439
夜,440
連れる,441
答える,442
結婚,443
外国,444
楽しむ,445
頑張る,446
互い,447
ヨーロッパ,448
の,449
痛い,450
ピアノ,451
手術,452
院,453
入院,454
驚く,455
バンド,456
ハワイ,457
相談,458
留学,459
人数,460
瞬間,461
甘い,462
商売,463
実習,464
僕,465
突き込む,466
三味,467
銭湯,468
モバラ,469
ブラス,470
ＩＣＵ,471
ウェールズ,472
イーグル,473
書く,474
度,475
高い,476
必要,477
最後,478
社会,479
町,480
少ない,481
知識,482
目,483
先,484
若し,485
具体,486
テレビ,487
車,488
声,489
新聞,490
地域,491
時期,492
近く,493
屋,494
遊ぶ,495
自体,496
分,497
いらっしゃる,498
隣り,499
母,500
奴,501
経つ,502
試験,503
ホテル,504
終わり,505
家庭,506
一部,507
深い,508
見付ける,509
教師,510
店,511
中,512
打つ,513
試合,514
御飯,515
役,516
想像,517
電気,518
事故,519
本人,520
地元,521
俺,522
風呂,523
泊まる,524
キュウシュウ,525
激しい,526
不味い,527
親父,528
アパート,529
玄関,530
腰,531
三四,532
板,533
握る,534
クラシック,535
コーチ,536
寮,537
叱る,538
バレエ,539
ピュア,540
オケ,541
椎間,542
いー,543
二,544
方法,545
第,546
上げる,547
其々,548
基本,549
利用,550
こんな,551
今日,552
生きる,553
歳,554
選ぶ,555
何故,556
彼,557
早い,558
駅,559
誰,560
相手,561
代,562
奇麗,563
学生,564
絶対,565
××××,566
運動,567
本,568
嬉しい,569
若い,570
無くなる,571
海,572
力,573
力,574
慣れる,575
はっきり,576
決まる,577
聞こえる,578
足,579
離れる,580
回る,581
仕方,582
集まる,583
倍,584
多少,585
びっくり,586
可笑しい,587
雰囲気,588
馬,589
狭い,590
件,591
大分,592
がる,593
怒る,594
実家,595
答え,596
遠い,597
演奏,598
頼む,599
要る,600
現地,601
紙,602
神経,603
休み,604
レストラン,605
珍しい,606
欧米,607
嵌まる,608
熟す,609
草,610
某,611
衝撃,612
羨ましい,613
緊急,614
もの,615
シャンハイ,616
カボチャ,617
バラエティー,618
訛る,619
押し入れ,620
次,621
此方,622
或いは,623
番,624
掛ける,625
比較,626
程度,627
大きな,628
万,629
影響,630
与える,631
図,632
一般,633
種類,634
電話,635
名,636
易い,637
金,638
会,639
手,640
必ず,641
体,642
新しい,643
大,644
館,645
活動,646
済む,647
起こる,648
一体,649
ばかり,650
当然,651
決める,652
男性,653
人生,654
用,655
立つ,656
授業,657
病院,658
自由,659
質問,660
系,661
年,662
関わる,663
同じ,664
子音,665
然も,666
広い,667
去年,668
感情,669
コンピューター,670
商品,671
母親,672
通る,673
地方,674
振り返る,675
園,676
主に,677
七,678
分,679
卒業,680
素晴らしい,681
父親,682
可愛い,683
思い出す,684
切っ掛け,685
流れる,686
少年,687
受験,688
ああ,689
不安,690
プロ,691
父,692
主張,693
台,694
整理,695
冬,696
予定,697
大好き,698
マンション,699
現場,700
茶,701
勝つ,702
観光,703
ラジオ,704
出会う,705
楽,706
暑い,707
忙しい,708
オーストラリア,709
買い物,710
伯母,711
確か,712
空港,713
触る,714
週,715
最高,716
魅力,717
原理,718
ボランティア,719
一杯,720
業,721
詰まる,722
嘘,723
上手,724
揃う,725
喧嘩,726
一時,727
チーズ,728
削る,729
パリ,730
研修,731
布団,732
洗濯,733
部品,734
分間,735
枠,736
シフト,737
靴,738
ばらばら,739
土曜,740
ダンス,741
毎週,742
任せる,743
あら,744
旦那,745
貝,746
勿体,747
俳優,748
二十歳,749
ニュージーランド,750
打ち合わせ,751
代理,752
コンクール,753
謎,754
物価,755
ラブ,756
拭く,757
鐘,758
ラケット,759
ダイレン,760
トチギ,761
ミヤザキ,762
笛,763
ロケ,764
探知,765
ちょん,766
医大,767
根っ子,768
餡こ,769
シニア,770
自炊,771
貝独楽,772
除夜,773
雪掻き,774
ヘルニア,775
つく,776
や,777
音声,778
形,779
致す,780
以上,781
点,782
評価,783
迚も,784
九,785
千,786
音,787
変化,788
可能,789
全て,790
今度,791
分,792
目的,793
内容,794
掛かる,795
状況,796
中,797
グループ,798
幾,799
比べる,800
生まれる,801
意識,802
色々,803
車,804
過ぎる,805
母,806
側,807
彼女,808
有名,809
テスト,810
行動,811
指導,812
紹介,813
辺り,814
父,815
後,816
直接,817
タイプ,818
進む,819
場,820
取れる,821
事件,822
死ぬ,823
唯,824
引く,825
地,826
合わせる,827
似る,828
主人,829
歌,830
口,831
夏,832
意見,833
目標,834
自己,835
病気,836
五百,837
詳しい,838
仕様,839
パソコン,840
場,841
是非,842
標準,843
価値,844
三百,845
向かう,846
感覚,847
普段,848
治療,849
近所,850
御前,851
残念,852
器,853
味,854
ボール,855
無声,856
期間,857
食べ物,858
田舎,859
塵,860
格好,861
品,862
類,863
食,864
習う,865
代わり,866
奥,867
遅い,868
当然,869
階,870
態度,871
君,872
アップ,873
感動,874
利く,875
ワイン,876
特殊,877
捨てる,878
嫌い,879
幾ら,880
付き合い,881
後半,882
信ずる,883
毎年,884
値段,885
固い,886
緊張,887
付き合う,888
人気,889
年代,890
余り,891
出身,892
ソース,893
成績,894
や,895
ケーキ,896
当てる,897
決して,898
販売,899
スター,900
流石,901
製品,902
抜ける,903
半年,904
メーン,905
接する,906
掃除,907
城,908
社長,909
ブロック,910
億,911
タイミング,912
弟,913
暇,914
剤,915
対策,916
太る,917
一人一人,918
レコード,919
構う,920
ガイド,921
繋ぐ,922
回路,923
痛み,924
方針,925
壊れる,926
纏まる,927
直る,928
顕著,929
針,930
耐える,931
ニューヨーク,932
コーナー,933
強化,934
真面目,935
平気,936
貸す,937
真剣,938
文句,939
恵まれる,940
農家,941
スクール,942
教員,943
トラブル,944
建て,945
笑い,946
発信,947
フライ,948
妙,949
活発,950
グラウンド,951
コーラス,952
あんな,953
すっきり,954
鯵,955
台所,956
団子,957
トータル,958
視聴,959
週末,960
大人しい,961
博士,962
溶かす,963
甲子,964
運命,965
修学,966
クライアント,967
余暇,968
泥,969
バット,970
もてる,971
物作り,972
モダン,973
審判,974
クローン,975
チューター,976
歯磨き,977
ショッキング,978
ベルサイユ,979
ハーモニー,980
和らぐ,981
平然,982
吹き上がる,983
ムール,984
冷笑,985
甲殻,986
全権,987
半間,988
ファゴット,989
コントレックス,990
そして,991
化,992
性,993
さ,994
言語,995
率,996
詰まり,997
七,998
三,999
現在,1000
教育,1001
下,1002
九十,1003
上,1004
個,1005
不,1006
学,1007
環境,1008
どんどん,1009
求める,1010
通り,1011
更に,1012
元,1013
調べる,1014
効果,1015
ソウ,1016
段々,1017
八十,1018
自身,1019
数,1020
県,1021
始まる,1022
個人,1023
国,1024
心,1025
纏める,1026
自動,1027
様,1028
文化,1029
昨日,1030
上がる,1031
内,1032
残す,1033
要素,1034
当たる,1035
二百,1036
増える,1037
ずつ,1038
大変,1039
丸,1040
友人,1041
日,1042
健康,1043
プラス,1044
戻る,1045
随分,1046
両方,1047
年齢,1048
客,1049
会話,1050
動く,1051
女の子,1052
書,1053
見せる,1054
反応,1055
移動,1056
動物,1057
送る,1058
姿,1059
集,1060
とく,1061
させる,1062
数,1063
専門,1064
長,1065
元気,1066
原因,1067
思い出,1068
集合,1069
今年,1070
格,1071
から,1072
スポーツ,1073
時点,1074
落ちる,1075
立てる,1076
無,1077
途中,1078
以前,1079
存ずる,1080
集める,1081
新,1082
男,1083
検査,1084
悲しい,1085
細かい,1086
雑誌,1087
半,1088
認める,1089
一方,1090
きちんと,1091
女,1092
体験,1093
関心,1094
意志,1095
漢字,1096
ライン,1097
助詞,1098
機会,1099
反対,1100
否定,1101
着る,1102
意図,1103
婆,1104
街,1105
二三,1106
以降,1107
管理,1108
心配,1109
有声,1110
スキー,1111
間,1112
国,1113
差す,1114
センチ,1115
就職,1116
喜ぶ,1117
止まる,1118
韓国,1119
全国,1120
手紙,1121
仲間,1122
全員,1123
建物,1124
押す,1125
弱い,1126
植物,1127
なり,1128
気分,1129
空気,1130
開ける,1131
突然,1132
監督,1133
野菜,1134
夫,1135
落とす,1136
笑う,1137
時々,1138
勤める,1139
住宅,1140
酷い,1141
彼処,1142
ぽい,1143
ペット,1144
金融,1145
事務,1146
残り,1147
優しい,1148
核,1149
運転,1150
こんな,1151
散歩,1152
抑,1153
アジア,1154
幸せ,1155
メンバー,1156
ツアー,1157
商店,1158
勧める,1159
生かす,1160
アルバイト,1161
許す,1162
学年,1163
荷物,1164
批判,1165
適当,1166
希望,1167
タイム,1168
ショック,1169
診断,1170
特別,1171
映像,1172
帰り,1173
リズム,1174
他人,1175
落ち着く,1176
とも,1177
男の子,1178
自信,1179
遠く,1180
叩く,1181
和,1182
エネルギー,1183
兄弟,1184
挨拶,1185
サイタマ,1186
飽くまで,1187
ぱっ,1188
スピーチ,1189
サークル,1190
汚い,1191
伸ばす,1192
変更,1193
一切,1194
社員,1195
得意,1196
共同,1197
インターフェース,1198
杯,1199
肉,1200
抜く,1201
ギター,1202
老人,1203
国内,1204
付属,1205
窓,1206
案内,1207
病,1208
休む,1209
遊び,1210
光,1211
夕方,1212
ファースト,1213
挟む,1214
縦,1215
勝ち,1216
油,1217
活躍,1218
骨,1219
調子,1220
出会い,1221
見掛ける,1222
美術,1223
尚且つ,1224
親戚,1225
交代,1226
投げる,1227
大,1228
オブ,1229
繋がり,1230
受かる,1231
説得,1232
サラリーマン,1233
正直,1234
晩,1235
幹線,1236
航空,1237
どんな,1238
痩せる,1239
閉じる,1240
配慮,1241
棒,1242
計,1243
看護,1244
婦,1245
育成,1246
軍,1247
丸い,1248
素敵,1249
無音,1250
庫,1251
リーグ,1252
揃える,1253
踊る,1254
十,1255
空く,1256
運,1257
系統,1258
さあ,1259
親切,1260
冷蔵,1261
民間,1262
口調,1263
そこそこ,1264
落ち込む,1265
のんびり,1266
潰す,1267
懐かしい,1268
水分,1269
貴重,1270
必死,1271
爆発,1272
終らす,1273
ジュース,1274
作り上げる,1275
膝,1276
疑い,1277
土日,1278
やばい,1279
大雑把,1280
振り,1281
吐く,1282
ニイガタ,1283
毎月,1284
スーツ,1285
同級,1286
大陸,1287
管,1288
聞かす,1289
部長,1290
家賃,1291
たっぷり,1292
弁,1293
何百,1294
本部,1295
注射,1296
どころ,1297
上級,1298
溶ける,1299
ブラウン,1300
絶える,1301
新人,1302
配達,1303
残業,1304
ケア,1305
色,1306
大家,1307
地味,1308
攻める,1309
預かる,1310
勝負,1311
ベランダ,1312
ＯＳ,1313
フルート,1314
食堂,1315
コイル,1316
向き,1317
本社,1318
大騒ぎ,1319
編成,1320
焦げる,1321
インパクト,1322
ペキン,1323
わいわい,1324
即,1325
扉,1326
才能,1327
パスポート,1328
デート,1329
ディスカッション,1330
向き,1331
キッチン,1332
公式,1333
いいえ,1334
枕,1335
空ける,1336
地獄,1337
オーケストラ,1338
日間,1339
都立,1340
春休み,1341
訛り,1342
転職,1343
増幅,1344
丸切り,1345
外資,1346
急遽,1347
のめり込む,1348
ヒップ,1349
駐在,1350
思い返す,1351
入浴,1352
勘,1353
養成,1354
商,1355
軟骨,1356
絵の具,1357
収納,1358
コンデンサー,1359
バケツ,1360
コンサルタント,1361
無茶苦茶,1362
米語,1363
流し,1364
留年,1365
病室,1366
病名,1367
フォーク,1368
切れ目,1369
高原,1370
セレクション,1371
プレー,1372
住人,1373
痛み止め,1374
排泄,1375
半々,1376
中一,1377
成り立ち,1378
ヒタチ,1379
引き込む,1380
チェロ,1381
原っぱ,1382
気質,1383
明け,1384
話し合い,1385
転向,1386
エンジニア,1387
プロフェッショナル,1388
遣らせ,1389
スコットランド,1390
帯,1391
ばら,1392
尾,1393
雪国,1394
裁量,1395
切羽,1396
戦力,1397
しっくり,1398
波乱,1399
取っ手,1400
退任,1401
ＥＳＬ,1402
駐輪,1403
ちん,1404
半畳,1405
寝返る,1406
溶液,1407
連む,1408
ロジカル,1409
ビオラ,1410
満席,1411
一辺倒,1412
ソトボウ,1413
革靴,1414
満室,1415
シニカル,1416
介類,1417
癒着,1418
造影,1419
夜勤,1420
順繰り,1421
万丈,1422
クリーミー,1423
怒鳴り合い,1424
俵形,1425
居る,1426
結果,1427
於く,1428
など,1429
説明,1430
学習,1431
私,1432
数,1433
今回,1434
システム,1435
得る,1436
表現,1437
特徴,1438
構造,1439
然し,1440
××,1441
型,1442
四十,1443
差,1444
テーマ,1445
パターン,1446
九百,1447
子,1448
量,1449
周波,1450
式,1451
重要,1452
遺伝,1453
世界,1454
名詞,1455
見える,1456
アクセント,1457
六十,1458
選択,1459
含む,1460
確率,1461
要する,1462
低い,1463
××,1464
歴史,1465
段階,1466
市,1467
構成,1468
間,1469
中心,1470
毎,1471
理解,1472
べし,1473
単位,1474
続く,1475
大事,1476
映画,1477
距離,1478
国語,1479
クラス,1480
ユーザー,1481
所,1482
資料,1483
変える,1484
店,1485
扱う,1486
ルール,1487
ワン,1488
同時,1489
感,1490
際,1491
難い,1492
顔,1493
面,1494
方言,1495
正解,1496
人々,1497
最終,1498
期待,1499
大切,1500
加える,1501
カテゴリー,1502
明らか,1503
正しい,1504
作業,1505
短い,1506
記事,1507
略,1508
話題,1509
単純,1510
一生,1511
貴方,1512
一致,1513
含める,1514
外,1515
後ろ,1516
思い,1517
道,1518
字,1519
但し,1520
信号,1521
探す,1522
図書,1523
色,1524
物凄い,1525
分野,1526
家,1527
中学,1528
発音,1529
候補,1530
何々,1531
過ごす,1532
連続,1533
否,1534
議論,1535
重,1536
機械,1537
食事,1538
範囲,1539
立場,1540
魚,1541
懸命,1542
解決,1543
精神,1544
設計,1545
自転,1546
筈,1547
現実,1548
下がる,1549
古い,1550
再,1551
成す,1552
ポイント,1553
夢,1554
ビール,1555
箇所,1556
着く,1557
通常,1558
道具,1559
酒,1560
性能,1561
伝える,1562
心,1563
合い,1564
事実,1565
繋がる,1566
インターネット,1567
幅,1568
日常,1569
性格,1570
共,1571
向上,1572
室,1573
展開,1574
主,1575
亡くなる,1576
並ぶ,1577
寒い,1578
つつ,1579
乗せる,1580
移る,1581
漸と,1582
四百,1583
指示,1584
耳,1585
携帯,1586
前後,1587
限り,1588
渡る,1589
五,1590
身,1591
危ない,1592
周辺,1593
極く,1594
厳しい,1595
通ずる,1596
触れる,1597
観,1598
泣く,1599
者,1600
守る,1601
直す,1602
サービス,1603
払う,1604
御免,1605
開く,1606
確り,1607
無理,1608
趣味,1609
寂しい,1610
総合,1611
取り出す,1612
勝手,1613
向ける,1614
ソフト,1615
学ぶ,1616
組織,1617
プログラム,1618
順番,1619
組,1620
適切,1621
素人,1622
育つ,1623
世の中,1624
赤,1625
育てる,1626
材料,1627
アプローチ,1628
チェック,1629
寧ろ,1630
所為,1631
遡る,1632
中,1633
菓子,1634
成長,1635
気付く,1636
しも,1637
下りる,1638
偶に,1639
四,1640
客観,1641
目指す,1642
ほら,1643
春,1644
画像,1645
様,1646
伸びる,1647
当たり前,1648
イベント,1649
交通,1650
成立,1651
張る,1652
通信,1653
迎える,1654
大量,1655
負ける,1656
閉鎖,1657
正確,1658
労働,1659
軽い,1660
順,1661
イコール,1662
先輩,1663
犯罪,1664
正に,1665
壁,1666
見付かる,1667
アンド,1668
クラブ,1669
流す,1670
行成,1671
機関,1672
出来事,1673
振る,1674
連絡,1675
急,1676
カンサイ,1677
方々,1678
単に,1679
努力,1680
動かす,1681
秋,1682
消費,1683
温かい,1684
明るい,1685
ぞ,1686
協力,1687
校,1688
団体,1689
幼稚,1690
カード,1691
西,1692
重い,1693
電子,1694
未だ,1695
除く,1696
軒,1697
盛ん,1698
引っ越す,1699
十分,1700
ドラマ,1701
把握,1702
メーカー,1703
昼,1704
