WORD,FREQUENCY_RANKING
（,1
の,2
）,3
、,4
に,5
て,6
だ,7
は,8
！,9
を,10
た,11
為る,12
が,13
と,14
ます,15
で,16
・,17
一,18
も,19
です,20
の,21
二,22
　,23
ゼロ,24
居る,25
」,26
ない,27
有る,28
御,29
言う,30
三,31
／,32
事,33
「,34
れる,35
成る,36
か,37
てる,38
か,39
が,40
無い,41
から,42
…,43
四,44
ず,45
ね,46
五,47
って,48
さん,49
よ,50
＃,51
見る,52
思う,53
良い,54
〓〓〓,55
出来る,56
六,57
けれど,58
其の,59
様,60
八,61
＆,62
九,63
〓〓〓,64
此の,65
七,66
な,67
行く,68
来る,69
や,70
何,71
〓〓〓〓,72
物,73
：,74
と,75
♪,76
から,77
的,78
下さる,79
】,80
～,81
Ｂ,82
ば,83
御,84
まで,85
此れ,86
＾,87
者,88
たい,89
など,90
へ,91
場合,92
』,93
人,94
年,95
Ｒ,96
私,97
【,98
Ｗ,99
だけ,100
時,101
因る,102
為,103
ー,104
其れ,105
Ｏ,106
第,107
Ａ,108
Ｃ,109
方,110
つく,111
〓〓,112
等,113
せる,114
Ｐ,115
笑い,116
Ｔ,117
Ｄ,118
っ,119
，,120
Ｍ,121
Ｓ,122
人,123
遣る,124
られる,125
ちゃん,126
☆,127
又,128
使う,129
『,130
月,131
様,132
情報,133
より,134
今,135
日本,136
分かる,137
仕舞う,138
どう,139
頂く,140
し,141
前,142
〓〓〓〓,143
気,144
時間,145
日,146
出る,147
｀,148
Ｉ,149
Ｖ,150
書く,151
日,152
自分,153
写真,154
呉れる,155
及び,156
中,157
他,158
さ,159
｜,160
たり,161
〜,162
※,163
商品,164
ちゃう,165
ブログ,166
＞,167
使用,168
〓〓,169
もう,170
そう,171
取る,172
達,173
★,174
所,175
´,176
性,177
［,178
］,179
知る,180
くらい,181
持つ,182
入る,183
読む,184
つ,185
必要,186
今日,187
Ｅ,188
零,189
後,190
大,191
中,192
円,193
聞く,194
皆,195
そう,196
一寸,197
作る,198
Ｎ,199
回,200
此方,201
本当,202
話,203
ω,204
好き,205
可能,206
関する,207
居る,208
買う,209
時,210
Ｇ,211
ながら,212
此処,213
度,214
会,215
゜,216
無料,217
利用,218
＿,219
方法,220
何時,221
考える,222
用,223
感じ,224
以上,225
御座る,226
入れる,227
”,228
行う,229
サイト,230
Ｌ,231
貰う,232
置く,233
未だ,234
みたい,235
食べる,236
会社,237
←,238
Ｋ,239
多い,240
可愛い,241
Ｆ,242
過ぎる,243
凄い,244
方,245
貴方,246
後,247
メール,248
等,249
訳,250
ページ,251
目,252
方,253
人気,254
化,255
於く,256
なんて,257
問題,258
付ける,259
Ｕ,260
君,261
紹介,262
出す,263
記事,264
市,265
内容,266
Ｈ,267
付く,268
子供,269
意味,270
仕事,271
世界,272
上,273
そんな,274
しか,275
法,276
受ける,277
関係,278
全て,279
矢張り,280
∀,281
万,282
対する,283
良く,284
そして,285
子,286
不,287
内,288
画像,289
わ,290
違う,291
勿論,292
今回,293
知れる,294
高い,295
俺,296
＜,297
掛かる,298
個人,299
ほど,300
表示,301
書,302
確認,303
の,304
県,305
り,306
勧める,307
手,308
→,309
内,310
Ｘ,311
曲,312
系,313
少し,314
サービス,315
購入,316
まあ,317
品,318
新,319
コメント,320
有り難う,321
点,322
女性,323
販売,324
因み,325
セット,326
願う,327
のみ,328
同じ,329
誰,330
版,331
日,332
別,333
頑張る,334
サイズ,335
管理,336
侭,337
こんな,338
先,339
対応,340
客,341
何処,342
感,343
又,344
名,345
クリック,346
動画,347
致す,348
部,349
分,350
ゲーム,351
号,352
欲しい,353
＝,354
車,355
僕,356
易い,357
目,358
生,359
上,360
以外,361
ダイエット,362
参加,363
部分,364
変わる,365
掛ける,366
早い,367
大きい,368
らしい,369
映画,370
無し,371
設定,372
続き,373
一,374
探す,375
送料,376
アップ,377
ぁ,378
学校,379
状態,380
嬉しい,381
トウキョウ,382
変更,383
んー,384
何,385
超,386
携帯,387
教える,388
作品,389
一緒,390
上げる,391
以下,392
含む,393
Ｙ,394
事業,395
カード,396
迚も,397
●,398
他,399
美味しい,400
登場,401
一番,402
見える,403
データ,404
通り,405
店,406
保険,407
得る,408
楽しい,409
次,410
実際,411
式,412
■,413
彼,414
付き,415
＋,416
名前,417
；,418
↑,419
直ぐ,420
所,421
可成,422
悪い,423
結果,424
ネット,425
待つ,426
文字,427
テレビ,428
べし,429
枚,430
最近,431
ぃ,432
言葉,433
声,434
登録,435
予定,436
更新,437
明日,438
で,439
料,440
効果,441
有り,442
条,443
余り,444
者,445
感ずる,446
機能,447
