WORD,FREQUENCY_RANKING
の,1
を,2
に,3
する,4
が,5
て,6
た,7
は,8
と,9
こと,10
で,11
だ,12
など,13
ある,14
名,15
れる,16
や,17
一,18
ない,19
も,20
いる,21
から,22
また,23
もの,24
なる,25
人,26
二,27
年,28
その,29
か,30
られる,31
よう,32
ぬ,33
として,34
三,35
五,36
用いる,37
さ,38
たり,39
四,40
ため,41
さま,42
へ,43
下,44
う,45
いう,46
ん,47
語,48
せる,49
中,50
ば,51
上,52
意,53
他,54
という,55
頃,56
形,57
き,58
読み方,59
者,60
日,61
物,62
多い,63
または,64
ひる,65
後,66
お,67
一つ,68
り,69
じ,70
行う,71
略,72
六,73
同じ,74
日本,75
時,76
によって,77
くる,78
動,79
ま,80
見る,81
まで,82
より,83
心,84
できる,85
国,86
八,87
自,88
ふる,89
花,90
意味,91
本,92
事,93
つ,94
七,95
とき,96
文,97
別,98
特に,99
前,100
表記,101
つける,102
所,103
的,104
書く,105
市,106
葉,107
形動,108
間,109
それ,110
使う,111
高い,112
みる,113
物事,114
九,115
記,116
表現,117
ご,118
この,119
中国,120
よい,121
場合,122
十,123
なり,124
ら,125
作る,126
家,127
第,128
部,129
レ,130
言う,131
水,132
自分,133
目,134
表す,135
状態,136
うち,137
とも,138
つく,139
そう,140
昭和,141
約,142
出る,143
方,144
県,145
集,146
による,147
な,148
もつ,149
大,150
万,151
べし,152
手,153
子,154
知る,155
とる,156
ところ,157
え,158
御,159
により,160
法,161
ます,162
相手,163
め,164
こう,165
出す,166
ちる,167
す,168
色,169
ぞ,170
もと,171
部分,172
音,173
総称,174
数,175
多く,176
たい,177
山,178
明治,179
これ,180
主,181
入れる,182
代,183
く,184
用,185
島,186
あ,187
受ける,188
江戸,189
内,190
について,191
副,192
字,193
状,194
だけ,195
女,196
いく,197
よ,198
長い,199
町,200
科,201
之,202
何,203
類,204
得る,205
風,206
持つ,207
に対して,208
神,209
体,210
強い,211
浄瑠璃,212
世,213
地,214
身,215
ほど,216
ていう,217
含む,218
小,219
ける,220
口,221
わ,222
かける,223
ね,224
示す,225
たとえ,226
給,227
行く,228
仏,229
木,230
道,231
世紀,232
平成,233
書,234
おく,235
げ,236
江戸時代,237
月,238
指す,239
および,240
中心,241
メートル,242
金,243
位置,244
取る,245
以上,246
呼ぶ,247
ほう,248
け,249
力,250
のち,251
物語,252
来る,253
百,254
東京,255
ど,256
補説,257
サ変,258
一種,259
つくる,260
声,261
男,262
にて,263
転じる,264
こ,265
現在,266
性,267
研究,268
種,269
言葉,270
川,271
よく,272
際,273
与える,274
広い,275
俳諧,276
ほか,277
利用,278
関係,279
酒,280
先,281
目的,282
似る,283
春,284
描く,285
ラ,286
植物,287
さん,288
付く,289
秋,290
気,291
画,292
船,293
化,294
場所,295
馬,296
見える,297
話,298
思う,299
ながら,300
る,301
伝,302
頭,303
都市,304
どう,305
センチメートル,306
新,307
置く,308
表わす,309
点,310
面,311
に関する,312
度,313
み,314
ほる,315
けり,316
石,317
女性,318
州,319
において,320
かかる,321
変化,322
立つ,323
入る,324
地方,325
かく,326
光,327
夜,328
魚,329
王,330
初,331
かん,332
一定,333
生じる,334
他人,335
あと,336
巻,337
様子,338
紙,339
夏,340
歌,341
ろ,342
すぐれる,343
等,344
なす,345
天皇,346
伴う,347
外,348
今,349
深い,350
熟語,351
鳥,352
に対する,353
詩,354
考える,355
生まれ,356
顔,357
歌舞伎,358
ゆ,359
しん,360
悪い,361
方法,362
における,363
足,364
同,365
せい,366
がる,367
二つ,368
米,369
開く,370
組織,371
さす,372
必要,373
のみ,374
ので,375
ごと,376
火,377
論,378
使用,379
抄,380
起こる,381
万葉集,382
打つ,383
源氏物語,384
京都,385
あるいは,386
いい,387
聞く,388
時代,389
人間,390
時間,391
フランス,392
生活,393
区点,394
仕事,395
末,396
作品,397
ことば,398
ヲ,399
行なう,400
動詞,401
まま,402
玉,403
べ,404
天,405
結ぶ,406
浮世草子,407
大きな,408
思ふ,409
云,410
とともに,411
やる,412
和,413
例,414
此,415
かい,416
号,417
型,418
海,419
いふ,420
草,421
土地,422
定める,423
普通,424
都,425
そ,426
長,427
こい,428
千,429
切る,430
ぶる,431
句,432
区,433
古い,434
ゆう,435
加える,436
ぼる,437
分,438
氏,439
其,440
一部,441
言,442
程度,443
読む,444
昔,445
社会,446
源,447
ドイツ,448
門,449
地域,450
小さい,451
君,452
竹,453
にかけて,454
近世,455
文字,456
分布,457
日葡辞書,458
説,459
元,460
鏡,461
立てる,462
運動,463
世界,464
小説,465
会,466
性質,467
美しい,468
作,469
姿,470
設ける,471
候,472
しまう,473
南,474
南部,475
動物,476
へる,477
糸,478
回,479
線,480
存在,481
成立,482
也,483
位,484
対象,485
行為,486
著,487
高,488
白い,489
ゐる,490
し,491
すべて,492
客,493
季夏,494
生,495
単位,496
くい,497
文章,498
基づく,499
ひと,500
白,501
がく,502
ばかり,503
食べる,504
表面,505
けい,506
枚,507
死ぬ,508
各,509
首,510
毛,511
一般,512
北,513
だい,514
