WORD,FREQUENCY_RANKING
為る,1
居る,2
言う,3
無い,4
有る,5
事,6
成る,7
其れ,8
俺,9
其の,10
様,11
来る,12
何,13
そう,14
達,15
良い,16
行く,17
御,18
此の,19
私,20
見る,21
思う,22
さん,23
出来る,24
物,25
一,26
此れ,27
様,28
どう,29
分かる,30
呉れる,31
今,32
仕舞う,33
遣る,34
そう,35
そんな,36
目,37
為,38
魔法,39
時,40
者,41
気,42
手,43
人,44
前,45
中,46
自分,47
顔,48
聞く,49
的,50
使う,51
所,52
此処,53
二,54
持つ,55
話,56
もう,57
等,58
方,59
考える,60
出る,61
訳,62
彼,63
つ,64
言葉,65
後,66
声,67
其処,68
知る,69
少し,70
三,71
彼女,72
まあ,73
置く,74
入る,75
侭,76
僕,77
取る,78
出す,79
貰う,80
二人,81
さ,82
知れる,83
男,84
人,85
度,86
作る,87
彼の,88
筈,89
世界,90
此方,91
御前,92
時間,93
力,94
本当,95
上げる,96
ちゃん,97
掛ける,98
頭,99
一,100
者,101
見える,102
剣,103
口,104
誰,105
未だ,106
何時,107
人間,108
相手,109
魔力,110
体,111
一人,112
因る,113
騎士,114
一寸,115
姿,116
皆,117
冒険,118
上,119
何処,120
貴方,121
居る,122
強い,123
魔物,124
必要,125
御,126
悪い,127
直ぐ,128
戻る,129
違う,130
付く,131
部屋,132
五,133
みたい,134
向かう,135
奴,136
こう,137
場所,138
下さる,139
矢張り,140
過ぎる,141
問題,142
攻撃,143
待つ,144
四,145
以上,146
間,147
同じ,148
スキル,149
他,150
始める,151
付ける,152
大きい,153
確か,154
こんな,155
通り,156
先,157
良く,158
彼れ,159
可能,160
零,161
表情,162
変わる,163
全て,164
受ける,165
つく,166
食べる,167
向ける,168
感ずる,169
今日,170
早い,171
笑う,172
様子,173
見せる,174
視線,175
入れる,176
存在,177
若し,178
続ける,179
高い,180
呼ぶ,181
大丈夫,182
返る,183
動く,184
一緒,185
得る,186
多い,187
気付く,188
ギルド,189
又,190
性,191
別,192
戦う,193
国,194
意味,195
流石,196
切る,197
君,198
首,199
凄い,200
何,201
貴族,202
何故,203
魔王,204
話す,205
年,206
子供,207
死ぬ,208
終わる,209
欲しい,210
次,211
確認,212
頷く,213
大,214
立つ,215
竜,216
情報,217
対する,218
子,219
普通,220
積り,221
今回,222
程度,223
仕事,224
敵,225
身,226
神,227
家,228
全く,229
余り,230
少女,231
街,232
掛かる,233
御座る,234
心,235
済む,236
止める,237
頂く,238
開く,239
倒す,240
理由,241
王,242
既に,243
不,244
歩く,245
日,246
村,247
レベル,248
勿論,249
ゼロ,250
音,251
内,252
腕,253
答える,254
数,255
状況,256
感じ,257
場,258
名前,259
第,260
大きな,261
共,262
魔,263
驚く,264
殺す,265
理解,266
先ず,267
六,268
方,269
女,270
足,271
光,272
女性,273
