WORD,FREQUENCY_RANKING
の,1
だ,2
は,3
た,4
に,5
を,6
が,7
て,8
する,9
ない,10
よ,11
と,12
で,13
か,14
も,15
てる,16
ん,17
です,18
ます,19
ね,20
いる,21
な,22
から,23
何,24
う,25
私,26
ある,27
こと,28
わ,29
れる,30
いい,31
そう,32
なる,33
人,34
じゃ,35
俺,36
言う,37
この,38
たい,39
って,40
やる,41
これ,42
行く,43
君,44
分かる,45
ば,46
くれる,47
それ,48
ぞ,49
でも,50
見る,51
どう,52
来る,53
くる,54
お前,55
さん,56
けど,57
お,58
思う,59
もう,60
その,61
や,62
できる,63
あなた,64
さ,65
だけ,66
我,67
僕,68
あっ,69
ここ,70
へ,71
ああ,72
的,73
せる,74
よう,75
彼,76
あ,77
まで,78
今,79
られる,80
たち,81
知る,82
時,83
誰,84
え,85
あの,86
聞く,87
はい,88
出る,89
話,90
年,91
く,92
前,93
ため,94
待つ,95
音,96
どこ,97
気,98
中,99
なぜ,100
彼女,101
そんな,102
うん,103
違う,104
大丈夫,105
ぬ,106
自分,107
なんて,108
是,109
のに,110
男,111
いく,112
よい,113
まだ,114
し,115
他,116
ありがとう,117
家,118
ちょっと,119
また,120
みんな,121
やめる,122
いや,123
かも,124
手,125
日,126
悪い,127
死ぬ,128
一,129
いう,130
だって,131
早い,132
みたい,133
時間,134
みる,135
もの,136
えっ,137
話す,138
声,139
了,140
すごい,141
ダメ,142
殺す,143
くださる,144
戻る,145
なんだ,146
持つ,147
帰る,148
こんな,149
だから,150
目,151
ら,152
今日,153
入る,154
仕事,155
よく,156
女,157
必要,158
好き,159
ちゃん,160
ちゃう,161
より,162
考える,163
会う,164
不,165
子,166
じゃあ,167
食べる,168
同じ,169
ねえ,170
はず,171
ええ,172
という,173
あれ,174
おい,175
本当に,176
あと,177
あんた,178
使う,179
とか,180
分,181
もらう,182
ぜ,183
ほう,184
次,185
先生,186
作る,187
さあ,188
すぐ,189
問題,190
すぎる,191
様,192
ご,193
バカ,194
だが,195
入れる,196
者,197
心配,198
出す,199
信じる,200
頼む,201
車,202
電話,203
そして,204
まあ,205
なさる,206
子供,207
後,208
好,209
ただ,210
私たち,211
お願い,212
一緒に,213
しか,214
べし,215
見える,216
力,217
わけ,218
こっち,219
上,220
として,221
どうも,222
人間,223
ママ,224
忘れる,225
有,226
友達,227
呼ぶ,228
もっと,229
方,230
顔,231
最高,232
しまう,233
うち,234
飲む,235
こう,236
つく,237
取る,238
つける,239
ウソ,240
そこ,241
教える,242
なんか,243
女性,244
たり,245
助ける,246
万,247
俺たち,248
少し,249
回,250
心,251
世界,252
でる,253
何だ,254
うる,255
家族,256
おく,257
名前,258
娘,259
ちゃ,260
いつも,261
もん,262
ごめん,263
あいつ,264
歳,265
本当,266
逃げる,267
最後,268
頭,269
せい,270
奴,271
ま,272
在,273
生きる,274
かける,275
無理,276
ほら,277
パパ,278
見せる,279
事,280
関係,281
先,282
うまい,283
それで,284
どんな,285
め,286
どうぞ,287
守る,288
場所,289
ござる,290
下,291
相手,292
我々,293
終わる,294
ので,295
大,296
あげる,297
体,298
変わる,299
寝る,300
買う,301
ずっと,302
ほしい,303
絶対,304
神,305
以上,306
部屋,307
会,308
彼ら,309
１つ,310
全部,311
頑張る,312
道,313
明日,314
ほど,315
よし,316
強い,317
物,318
怖い,319
どうして,320
第,321
金,322
もちろん,323
本,324
楽しい,325
すべて,326
去る,327
夢,328
息子,329
おる,330
うわ,331
始める,332
来,333
まさか,334
らしい,335
つもり,336
とき,337
所,338
見つける,339
要,340
人生,341
初めて,342
いつ,343
起きる,344
結婚,345
店,346
とる,347
大変,348
では,349
愛す,350
覚える,351
がる,352
元気,353
続ける,354
なあ,355
意味,356
警察,357
国,358
用,359
父,360
黙る,361
こいつ,362
かい,363
とく,364
まま,365
やつ,366
書く,367
乗る,368
など,369
しれる,370
そういう,371
言葉,372
一緒,373
皆,374
しかし,375
理由,376
元,377
気持ち,378
きっと,379
受ける,380
真,381
ひどい,382
母,383
外,384
言える,385
決める,386
空,387
最初,388
やっぱり,389
うつ,390
どういう,391
犬,392
ドル,393
準備,394
夜,395
男性,396
こそ,397
変,398
数,399
命,400
番,401
仲間,402
敵,403
かしら,404
き,405
王,406
昔,407
感じる,408
危険,409
水,410
怒る,411
なんで,412
つ,413
写真,414
連絡,415
大事,416
ところ,417
愛,418
くらい,419
別,420
確かに,421
送る,422
急ぐ,423
り,424
一番,425
海,426
うれしい,427
いける,428
どうか,429
名,430
約束,431
動く,432
口,433
ばかり,434
ハッ,435
許す,436
多い,437
没,438
イヤ,439
おお,440
選ぶ,441
とおり,442
天,443
かかる,444
妻,445
消える,446
度,447
止める,448
ハア,449
悟,450
残る,451
今度,452
何で,453
件,454
そうね,455
何でも,456
学校,457
こちら,458
一体,459
欲しい,460
ちる,461
全員,462
探す,463
おいしい,464
点,465
幸せ,466
いいえ,467
走る,468
任せる,469
行う,470
面白い,471
わかる,472
ちゃんと,473
星,474
間,475
開く,476
はっ,477
開ける,478
笑い声,479
うい,480
さっき,481
伝える,482
ながら,483
じ,484
感じ,485
新しい,486
船,487
野郎,488
父親,489
高い,490
戦う,491
料理,492
夫,493
母親,494
驚く,495
事件,496
調べる,497
とても,498
チーム,499
やあ,500
今回,501
得る,502
勝つ,503
情報,504
死,505
失う,506
痛い,507
姿,508
全て,509
なに,510
父さん,511
捜す,512
これから,513
終わり,514
変える,515
今夜,516
失礼,517
もし,518
到る,519
看る,520
普通,521
連れる,522
それに,523
嫌,524
小,525
あー,526
お母さん,527
合う,528
座る,529
方法,530
あんな,531
つまり,532
ドア,533
母さん,534
クソ,535
マジ,536
切る,537
酒,538
撃つ,539
聞こえる,540
確認,541
える,542
フッ,543
読む,544
はあ,545
よろしく,546
一同,547
都,548
落ちる,549
簡単,550
花,551
状況,552
感謝,553
銃,554
なん,555
負ける,556
必ず,557
立つ,558
気分,559
なんです,560
ごめんなさい,561
なれる,562
み,563
る,564
冗談,565
捨てる,566
すみません,567
残念,568
そ,569
おっ,570
わし,571
全然,572
なるほど,573
皆さん,574
町,575
想,576
殴る,577
かわいい,578
犯人,579
実は,580
ふる,581
泣く,582
まったく,583
也,584
血,585
質問,586
落ち着く,587
服,588
とにかく,589
離れる,590
二,591
困る,592
あら,593
病院,594
最近,595
隠す,596
について,597
んで,598
長い,599
足,600
頃,601
お金,602
食う,603
返す,604
遅い,605
ゲーム,606
ホント,607
成功,608
当然,609
気づく,610
売る,611
渡す,612
可,613
こ,614
結果,615
了解,616
ちまう,617
什,618
楽しむ,619
働く,620
すむ,621
平気,622
存在,623
映画,624
け,625
見つかる,626
まず,627
認める,628
与える,629
馬,630
会社,631
お父さん,632
計画,633
先輩,634
木,635
にとって,636
きれい,637
じゃん,638
説明,639
ど,640
会える,641
良い,642
街,643
おかげ,644
始まる,645
救う,646
ぐらい,647
本気,648
週間,649
薬,650
妹,651
大きな,652
難しい,653
社長,654
笑う,655
しっかり,656
月,657
食事,658
失敗,659
おはよう,660
とこ,661
朝,662
位,663
選手,664
向かう,665
火,666
あの子,667
昨日,668
結構,669
払う,670
似る,671
要る,672
証拠,673
奪う,674
秘密,675
身,676
理解,677
村,678
置く,679
光,680
つらい,681
通り,682
着る,683
攻撃,684
答える,685
手伝う,686
優しい,687
用意,688
以外,689
今まで,690
銀,691
決まる,692
ろ,693
試合,694
おかしい,695
いただく,696
アメリカ,697
味,698
住む,699
別に,700
弟,701
但,702
いろいろ,703
たくさん,704
さすが,705
そんなに,706
持,707
島,708
生活,709
上げる,710
求める,711
美しい,712
ジョン,713
邪魔,714
曲,715
軍,716
本物,717
てめえ,718
号,719
とも,720
助かる,721
よる,722
す,723
罪,724
パーティー,725
特別,726
未来,727
すばらしい,728
撮る,729
何とか,730
親,731
キス,732
まるで,733
調子,734
州,735
させる,736
急,737
協力,738
ファン,739
おう,740
無事,741
十分,742
おめでとう,743
客,744
行ける,745
っていう,746
もらえる,747
忙しい,748
生徒,749
ン,750
２つ,751
戦い,752
大学,753
歌,754
キロ,755
貸す,756
若い,757
っす,758
狙う,759
大好き,760
経験,761
人々,762
過去,763
くん,764
友人,765
安全,766
ステキ,767
もしもし,768
思い出す,769
気に入る,770
どれ,771
ほる,772
歩く,773
続く,774
練習,775
女の子,776
僕ら,777
こんにちは,778
嫌い,779
台,780
止まる,781
盗む,782
逮捕,783
不要,784
音楽,785
間違い,786
チャンス,787
最悪,788
いえ,789
生まれる,790
南,791
恋人,792
オレ,793
太,794
兄,795
だったら,796
三,797
重要,798
里,799
どっち,800
風,801
進む,802
腕,803
歌う,804
生,805
ひる,806
デート,807
考え,808
安心,809
だい,810
やっと,811
毎日,812
飛ぶ,813
どの,814
ゆっくり,815
近く,816
色,817
息,818
目的,819
ったら,820
危ない,821
室,822
記憶,823
秒,824
諦める,825
絵,826
テレビ,827
現れる,828
済む,829
貴様,830
疲れる,831
追う,832
命令,833
そっち,834
作戦,835
べ,836
連中,837
正直,838
謝る,839
こういう,840
すいません,841
携帯,842
得,843
可能性,844
真実,845
剣,846
新,847
あそこ,848
多く,849
聖,850
勝手,851
行動,852
子供たち,853
番組,854
遊ぶ,855
まずは,856
奴ら,857
之,858
山,859
ナレーション,860
地,861
かなり,862
深い,863
超,864
くせ,865
正しい,866
完璧,867
上がる,868
ケンカ,869
完全,870
わっ,871
希望,872
宇宙,873
兵士,874
もう一度,875
場合,876
マン,877
望む,878
楽しみ,879
楽,880
ナレーター,881
只,882
休む,883
あたし,884
面,885
十,886
大切,887
責任,888
患者,889
事故,890
触る,891
大人,892
戦争,893
さくら,894
自由,895
そりゃ,896
胸,897
ちょ,898
警官,899
確か,900
残す,901
別れる,902
魔法,903
助け,904
个,905
報告,906
紹介,907
首,908
消す,909
状態,910
いくら,911
再,912
城,913
引く,914
期待,915
っけ,916
部,917
フン,918
雪,919
弁護士,920
観客,921
打つ,922
ほか,923
キム,924
時代,925
着く,926
組,927
使える,928
勉強,929
興味,930
バレる,931
後ろ,932
肉,933
会長,934
様子,935
兄弟,936
親父,937
傷,938
たって,939
なら,940
倒す,941
イカ,942
くい,943
もう少し,944
襲う,945
病気,946
起こす,947
美,948
千,949
うるさい,950
陛下,951
小さい,952
捕まえる,953
メール,954
突然,955
原因,956
