WORD,FREQUENCY_RANKING
の,1
を,2
に,3
て,4
する,5
だ,6
た,7
は,8
が,9
と,10
で,11
か,12
ない,13
ます,14
いる,15
も,16
です,17
れる,18
から,19
ん,20
ある,21
生命体,22
機械,23
よ,24
ね,25
なる,26
何,27
事,28
な,29
この,30
てる,31
敵,32
これ,33
ぬ,34
達,35
そう,36
その,37
お,38
くれる,39
ヨルハ,40
へ,41
どう,42
ば,43
データ,44
よう,45
って,46
それ,47
アンドロイド,48
部隊,49
情報,50
私,51
ここ,52
僕,53
いい,54
言う,55
せる,56
くる,57
ああ,58
ッ,59
こと,60
くださる,61
さん,62
ら,63
見る,64
確認,65
行く,66
いう,67
為,68
よる,69
ポッド,70
出来る,71
やる,72
人類,73
攻撃,74
思う,75
レジスタンス,76
できる,77
今,78
気,79
また,80
破壊,81
中,82
私達,83
たい,84
けど,85
必要,86
来る,87
聞く,88
時,89
もう,90
ユニット,91
機,92
パスカル,93
あの,94
機体,95
推奨,96
廃墟,97
場所,98
られる,99
人,100
ありがとう,101
戦闘,102
械,103
武器,104
持つ,105
砂漠,106
わかる,107
いく,108
アクセス,109
しまう,110
了解,111
まで,112
おく,113
村,114
報告,115
世界,116
あれ,117
だけ,118
森,119
ため,120
こんな,121
良い,122
王,123
ハッキング,124
入手,125
君,126
殺す,127
みる,128
待つ,129
ダメージ,130
兵器,131
そんな,132
より,133
はい,134
大型,135
システム,136
記録,137
知る,138
戦う,139
彼,140
お前,141
戻る,142
回復,143
後,144
つく,145
死ぬ,146
もの,147
記憶,148
工場,149
なん,150
キャンプ,151
攻撃力,152
前,153
渡す,154
体,155
塔,156
自分,157
調査,158
さ,159
チップ,160
作戦,161
バンカー,162
ござる,163
時間,164
らしい,165
奴,166
全て,167
通信,168
願う,169
向かう,170
なんて,171
我々,172
ぞ,173
受ける,174
話,175
本当,176
状態,177
まだ,178
仲間,179
ちょっと,180
助ける,181
他,182
地上,183
月,184
様,185
倒す,186
一,187
みたい,188
方,189
ハ,190
オペレーター,191
こちら,192
おる,193
子,194
依頼,195
行う,196
そこ,197
完了,198
どこ,199
無い,200
任務,201
ノ,202
手,203
以上,204
作る,205
探す,206
都市,207
物,208
地帯,209
いつ,210
あ,211
少し,212
アイテム,213
彼女,214
守る,215
素材,216
欲しい,217
俺,218
見つける,219
ヲ,220
や,221
操作,222
頼む,223
次,224
資材,225
出る,226
型,227
者,228
機能,229
司令官,230
仕事,231
ボク,232
モデル,233
ポイント,234
戦い,235
じゃ,236
我,237
可能,238
個体,239
一体,240
存在,241
警告,242
反応,243
掟,244
貴方,245
いいえ,246
計画,247
ロボ,248
もし,249
つける,250
じゃあ,251
ロボット,252
ご,253
セーブ,254
装備,255
エミール,256
協力,257
日,258
使用,259
ゲーム,260
上昇,261
用,262
カミ,263
生きる,264
行動,265
入る,266
大丈夫,267
支援,268
回収,269
ネットワーク,270
誰,271
使う,272
悪い,273
修理,274
復讐,275
転送,276
ダ,277
試練,278
マーク,279
最後,280
家族,281
遊園地,282
メール,283
こんにちは,284
たち,285
教える,286
勝負,287
ところ,288
もらう,289
強い,290
強化,291
開始,292
危険,293
え,294
い,295
ニ,296
巨大,297
本,298
タイプ,299
目標,300
発見,301
信号,302
飛行,303
年,304
ブラック,305
大変,306
マップ,307
すむ,308
射撃,309
いや,310
しれる,311
よく,312
皆,313
まま,314
ボックス,315
命,316
わ,317
壊れる,318
デボル,319
理由,320
しかし,321
アネモネ,322
人間,323
移動,324
君達,325
全部,326
収集,327
ガ,328
義,329
倍,330
オート,331
もっと,332
つ,333
続ける,334
イヴ,335
汚染,336
女性,337
連絡,338
二,339
お礼,340
捜索,341
やめる,342
修行,343
早い,344
集める,345
意味,346
ちゃう,347
回路,348
ウィルス,349
解析,350
命令,351
暴走,352
与える,353
動物,354
よろしく,355
涙,356
不明,357
当該,358
あなた,359
地点,360
解除,361
サーバー,362
過去,363
起動,364
リーダー,365
多い,366
心,367
姿,368
自室,369
神,370
べし,371
資源,372
先,373
司令部,374
最近,375
会う,376
し,377
判る,378
エネルギー,379
撃破,380
受け取る,381
プラグイン,382
以下,383
一緒,384
別,385
死,386
対する,387
成功,388
上,389
号,390
そして,391
栄光,392
う,393
内,394
効果,395
呼ぶ,396
こいつ,397
停止,398
とる,399
国,400
みんな,401
なあ,402
目,403
すぐ,404
現在,405
目的,406
ショップ,407
状況,408
声,409
始める,410
身,411
ながら,412
防衛,413
終了,414
整備,415
メンテナンス,416
同じ,417
花,418
失う,419
届ける,420
荷物,421
昔,422
今日,423
問題,424
ダメ,425
従う,426
終わる,427
高い,428
考える,429
伝える,430
子供,431
取る,432
施設,433
はず,434
怖い,435
一度,436
モノ,437
お願い,438
大,439
一人,440
足,441
ランク,442
大きな,443
旧,444
似る,445
装置,446
こそ,447
多数,448
自我,449
ただ,450
近接,451
回避,452
修復,453
コノ,454
ぜ,455
感情,456
今度,457
いける,458
共,459
残る,460
スル,461
クソッ,462
現れる,463
写真,464
好き,465
手伝う,466
かける,467
