WORD,FREQUENCY_RANKING
、,1
の,2
。,3
だ,4
た,5
て,6
は,7
に,8
を,9
が,10
　,11
と,12
する,13
「,14
」,15
ない,16
で,17
も,18
いる,19
…,20
か,21
から,22
ある,23
こと,24
れる,25
ます,26
です,27
なる,28
いう,29
その,30
？,31
よう,32
それ,33
そう,34
ん,35
ぬ,36
─,37
！,38
言う,39
よ,40
お,41
ば,42
くる,43
この,44
さん,45
人,46
一,47
思う,48
私,49
もの,50
何,51
ね,52
な,53
られる,54
見る,55
てる,56
へ,57
だけ,58
まで,59
どう,60
せる,61
や,62
自分,63
これ,64
たち,65
いい,66
って,67
できる,68
しまう,69
中,70
ながら,71
『,72
』,73
彼,74
俺,75
目,76
）,77
（,78
いく,79
顔,80
・,81
たい,82
者,83
的,84
そんな,85
やる,86
手,87
日,88
くれる,89
前,90
二,91
声,92
さ,93
もう,94
けど,95
来る,96
気,97
今,98
ところ,99
行く,100
彼女,101
ため,102
方,103
なん,104
時,105
知る,106
あの,107
わかる,108
出る,109
つ,110
三,111
男,112
そして,113
つく,114
僕,115
年,116
し,117
考える,118
聞く,119
より,120
ら,121
そこ,122
まま,123
とき,124
話,125
しかし,126
など,127
ここ,128
ほど,129
また,130
上,131
言葉,132
わ,133
!,134
っ,135
様,136
家,137
入る,138
たり,139
わけ,140
いつ,141
持つ,142
度,143
みる,144
口,145
見える,146
後,147
出す,148
らしい,149
わたし,150
誰,151
あなた,152
頭,153
間,154
ちゃん,155
少し,156
心,157
女,158
人間,159
十,160
おく,161
よる,162
まだ,163
どこ,164
しれる,165
なんて,166
二人,167
君,168
こんな,169
力,170
時間,171
事,172
かける,173
同じ,174
なに,175
はず,176
こう,177
よい,178
すぐ,179
五,180
ただ,181
姿,182
いや,183
部屋,184
ああ,185
本当,186
月,187
しか,188
とる,189
第,190
四,191
世界,192
おる,193
日本,194
子,195
音,196
ぞ,197
相手,198
よく,199
笑う,200
?,201
あ,202
悪い,203
ちょっと,204
けれど,205
使う,206
お前,207
ばかり,208
),209
(,210
一人,211
待つ,212
みたい,213
立つ,214
本,215
うち,216
ほう,217
分かる,218
感ずる,219
くらい,220
ご,221
じゃ,222
べし,223
っつう,224
違う,225
体,226
あと,227
大,228
〇,229
先,230
意味,231
もらう,232
仕事,233
身,234
気持ち,235
今日,236
とも,237
くださる,238
続ける,239
もし,240
戻る,241
他,242
必要,243
死ぬ,244
帰る,245
達,246
下,247
大きい,248
首,249
強い,250
呼ぶ,251
向かう,252
表情,253
以上,254
身体,255
数,256
なり,257
話す,258
胸,259
先生,260
歩く,261
開く,262
父,263
つける,264
場所,265
始める,266
ござる,267
あれ,268
六,269
対する,270
入れる,271
こそ,272
性,273
向ける,274
八,275
書く,276
あげる,277
次,278
上げる,279
関係,280
分,281
母,282
取る,283
置く,284
～,285
良い,286
一緒,287
変わる,288
好き,289
問題,290
答える,291
え,292
不,293
さま,294
七,295
早い,296
大きな,297
あまり,298
車,299
足,300
作る,301
神,302
ちゃう,303
〝,304
〟,305
少女,306
外,307
はい,308
受ける,309
別,310
国,311
九,312
存在,313
視線,314
女性,315
ひと,316
夜,317
見せる,318
所,319
なさる,320
まあ,321
こちら,322
場,323
高い,324
生,325
多い,326
様子,327
子供,328
あたし,329
どんな,330
金,331
長い,332
いま,333
部,334
店,335
生きる,336
通り,337
風,338
殺す,339
なぜ,340
名,341
すべて,342
すぎる,343
.,344
つもり,345
食べる,346
聞こえる,347
動く,348
腕,349
得る,350
確か,351
さらに,352
い,353
御,354
ぼく,355
まるで,356
光,357
かかる,358
奥,359
出来る,360
〉,361
場合,362
〈,363
くん,364
おれ,365
兄,366
ずっと,367
電話,368
可能,369
り,370
感,371
会う,372
道,373
いける,374
肩,375
走る,376
もっと,377
娘,378
気づく,379
魔法,380
深い,381
腰,382
最後,383
色,384
みんな,385
敵,386
もちろん,387
見つめる,388
実,389
息,390
意識,391
頃,392
うん,393
やら,394
驚く,395
終わる,396
理由,397
名前,398
機,399
水,400
無,401
げ,402
最初,403
ー,404
さえ,405
振る,406
歳,407
室,408
自身,409
大丈夫,410
指,411
つまり,412
物,413
二十,414
長,415
つう,416
山,417
せい,418
小さな,419
学校,420
忘れる,421
耳,422
，,423
読む,424
つつ,425
夢,426
唇,427
きっと,428
おまえ,429
残る,430
まず,431
時代,432
空,433
まったく,434
形,435
とても,436
心配,437
白い,438
万,439
開ける,440
瞬間,441
姉,442
やはり,443
説明,444
軍,445
もん,446
飲む,447
若い,448
情報,449
離れる,450
同時,451
じゃあ,452
事件,453
花,454
内,455
教える,456
初めて,457
