word,frequency,zipf_frequency
の,0.0525,7.72
に,0.0331,7.52
て,0.0302,7.48
は,0.0288,7.46
が,0.0269,7.43
た,0.0257,7.41
を,0.0257,7.41
で,0.0204,7.31
し,0.0166,7.22
と,0.0162,7.21
な,0.0117,7.07
ない,0.011,7.04
も,0.011,7.04
だ,0.00955,6.98
か,0.00871,6.94
ん,0.00794,6.9
から,0.00631,6.8
です,0.00617,6.79
する,0.00575,6.76
よ,0.0055,6.74
ます,0.00525,6.72
さ,0.00479,6.68
こと,0.00468,6.67
いる,0.00457,6.66
れ,0.00447,6.65
ね,0.00427,6.63
てる,0.00417,6.62
ある,0.00398,6.6
う,0.00389,6.59
い,0.0038,6.58
人,0.00363,6.56
1,0.00275,6.44
や,0.00269,6.43
2,0.0024,6.38
日,0.0024,6.38
いい,0.00234,6.37
なっ,0.00234,6.37
まし,0.00229,6.36
この,0.00224,6.35
そう,0.00224,6.35
って,0.00224,6.35
たら,0.00214,6.33
ば,0.00214,6.33
お,0.00209,6.32
けど,0.00209,6.32
これ,0.00204,6.31
よう,0.00204,6.31
3,0.00195,6.29
じゃ,0.00195,6.29
年,0.00186,6.27
その,0.00178,6.25
たい,0.0017,6.23
だけ,0.0017,6.23
まで,0.00166,6.22
的,0.00166,6.22
なる,0.00162,6.21
なら,0.00158,6.2
者,0.00158,6.2
月,0.00155,6.19
だっ,0.00151,6.18
見,0.00151,6.18
という,0.00148,6.17
中,0.00145,6.16
それ,0.00141,6.15
でも,0.00141,6.15
何,0.00141,6.15
れる,0.00135,6.13
だろ,0.00132,6.12
なく,0.00132,6.12
私,0.00132,6.12
ため,0.00129,6.11
わ,0.00126,6.1
時,0.00126,6.1
あり,0.00123,6.09
もの,0.00123,6.09
4,0.0012,6.08
へ,0.0012,6.08
一,0.0012,6.08
あっ,0.00117,6.07
さん,0.00117,6.07
ので,0.00117,6.07
今,0.00117,6.07
方,0.00117,6.07
き,0.00115,6.06
せ,0.00115,6.06
として,0.00115,6.06
5,0.00112,6.05
日本,0.00112,6.05
でき,0.0011,6.04
ませ,0.0011,6.04
やっ,0.0011,6.04
など,0.00107,6.03
思っ,0.00102,6.01
自分,0.00102,6.01
なかっ,0.001,6.0
られ,0.001,6.0
ー,0.000977,5.99
より,0.000955,5.98
とか,0.000933,5.97
俺,0.000933,5.97
前,0.000933,5.97
気,0.000912,5.96
時間,0.000891,5.95
どう,0.000871,5.94
でしょ,0.000832,5.92
また,0.000832,5.92
もう,0.000832,5.92
目,0.000813,5.91
言っ,0.000813,5.91
え,0.000794,5.9
できる,0.000794,5.9
なり,0.000776,5.89
話,0.000776,5.89
くれ,0.000759,5.88
事,0.000759,5.88
出,0.000759,5.88
ず,0.000724,5.86
思う,0.000724,5.86
8,0.000661,5.82
かも,0.000661,5.82
分,0.000661,5.82
家,0.000661,5.82
6,0.000646,5.81
たり,0.000646,5.81
ご,0.000631,5.8
み,0.000631,5.8
円,0.000631,5.8
7,0.000617,5.79
後,0.000617,5.79
のに,0.000603,5.78
みたい,0.000603,5.78
ください,0.000589,5.77
たち,0.000589,5.77
二,0.000589,5.77
好き,0.000589,5.77
良い,0.000589,5.77
ここ,0.000575,5.76
ぞ,0.000575,5.76
大,0.000575,5.76
性,0.000575,5.76
9,0.000562,5.75
上,0.000562,5.75
回,0.000562,5.75
考え,0.000562,5.75
感じ,0.00055,5.74
数,0.00055,5.74
必要,0.000537,5.73
行っ,0.000537,5.73
♪,0.000525,5.72
そんな,0.000525,5.72
なんて,0.000525,5.72
ら,0.000525,5.72
万,0.000525,5.72
来,0.000525,5.72
ちょっと,0.000513,5.71
世界,0.000513,5.71
他,0.000513,5.71
本,0.000513,5.71
誰,0.000513,5.71
ありがとう,0.000501,5.7
あれ,0.000501,5.7
つ,0.000501,5.7
でし,0.00049,5.69
よく,0.00049,5.69
化,0.00049,5.69
第,0.00049,5.69
ああ,0.000479,5.68
しか,0.000479,5.68
ところ,0.000479,5.68
仕事,0.000479,5.68
言う,0.000479,5.68
